# 3rd/rsprot/gen/packet_versions.txt -- RSProt packet LAYOUT-VERSION ledger
#
# GENERATED FILE. Do not hand-edit.
#   generator : tools/rsprot_version_ledger.py
#   regenerate: python3 tools/rsprot_version_ledger.py
#   source    : /Users/matthewevers/Documents/git_repos/rsprot
#   revisions : osrs-221 .. osrs-239 (19 vendored)
#
# VERSION NUMBERS ARE APPEND-ONLY.
#   A (CLASS, DIR, HASH) triple keeps its VER forever. New layouts get the next
#   free number; existing numbers are never reassigned, renumbered or reused.
#   The generator aborts rather than change one, so C tables and generated
#   codecs can hard-code these numbers. Each class numbers its layouts 1..N in
#   ascending order of the revision that first introduced them.
#
# HASH is the first 12 hex digits of the SHA-256 of the normalised bodies of
# every function declared in the codec's .kt file, in source order: comments
# stripped, revision tokens folded to "osrsREV", whitespace collapsed. Nothing
# outside a function body contributes (no package, imports, class header, prot
# property or companion constants). Private same-file helpers ARE included --
# NpcHitEncoder.encode is a two-line dispatcher into pHits()/pHeadBars(), and an
# entry-point-only hash would report 1 layout for 221-236 instead of 16.
# A layout change living entirely in a CROSS-FILE helper (LoginBlockDecoder,
# PlayerInfo bit-packing, JagByteBuf) does NOT move this hash.
# HASH e3b0c44298fc is the empty body: a zero-payload packet
# (NoOpMessageEncoder) or a body-less interface declaration.
#
# DIR is RSProt-relative (RSProt is a server library):
#   out = *Encoder.kt = server -> client
#   in  = *Decoder.kt = client -> server
#
# REVS lists the revisions whose module contains that exact layout, as ranges
# (e.g. "221-230,233"). RETIRED means the layout is no longer present in any
# vendored revision; its number stays reserved.
#
# Columns are tab-separated:
#   CLASS  DIR  MODULE  VER  HASH  REVS
#
# SUMMARY
#   classes (class,dir pairs)  : 423
#     out (encoders)           : 278
#     in  (decoders)           : 145
#   distinct layouts           : 2490
#     out                      : 1616
#     in                       : 874
#   layouts per class          : min 1, max 19, mean 5.89
#   classes with 1 layout      : 198   (never change across their revisions)
#   classes changing every rev : 69
#   classes whose every layout : 348
#     is one contiguous run       (their C table row is a single range)
#   contiguous revision runs   : 2834
#     total, i.e. what a naive per-revision-run scheme would need. Deduplicating
#     recurring layouts by hash saves 344 codec bodies. Recurrence is real:
#     IfOpenTopEncoder cycles p2/p2Alt1/p2Alt2/p2Alt3 over 13 runs but only 4
#     distinct layouts, and revs 223-224 and 227-230 are byte-identical files.
CLASS	DIR	MODULE	VER	HASH	REVS
AccountFlagsEncoder	out	desktop	1	1a0a809d0562	233-239
AffinedClanSettingsAddBannedFromChannelDecoder	in	desktop	1	d1871f7ebdae	221-239
AffinedClanSettingsSetMutedFromChannelDecoder	in	desktop	1	de0d08a01b1c	221-239
AmbientSoundStartEncoder	out	desktop	1	a757c485f42d	238-239
AmbientSoundStopEncoder	out	desktop	1	ee5feae2d860	238
AmbientSoundStopEncoder	out	desktop	2	b78f6c7284ff	239
AnimSpecificEncoder	out	desktop	1	fdebb6afbbd2	221,239
AnimSpecificEncoder	out	desktop	2	14aa5149bf2b	222
AnimSpecificEncoder	out	desktop	3	c60787e3f814	223
AnimSpecificEncoder	out	desktop	4	9aaa719113f3	224
AnimSpecificEncoder	out	desktop	5	303078266321	225
AnimSpecificEncoder	out	desktop	6	f143d4529c34	226
AnimSpecificEncoder	out	desktop	7	f3ef902e0d26	227
AnimSpecificEncoder	out	desktop	8	43e4110c27d3	228
AnimSpecificEncoder	out	desktop	9	2dbb1f28af45	229,237
AnimSpecificEncoder	out	desktop	10	c62939229b39	230
AnimSpecificEncoder	out	desktop	11	5f19682c93ee	231-232
AnimSpecificEncoder	out	desktop	12	fe7dbff5f8b6	233
AnimSpecificEncoder	out	desktop	13	3f9201c9f3ca	234
AnimSpecificEncoder	out	desktop	14	4a3b276d9de0	235
AnimSpecificEncoder	out	desktop	15	856d692c3e07	236,238
BugReportDecoder	in	desktop	1	a25abd1f6cbb	221
BugReportDecoder	in	desktop	2	50b76b80ff2c	222-239
CamLookAtCyclesEncoder	out	desktop	1	6043ad37feb1	239
CamLookAtEasedAngleAbsoluteEncoder	out	desktop	1	413083768e38	221-222
CamLookAtEasedAngleRelativeEncoder	out	desktop	1	413083768e38	221-222
CamLookAtEncoder	out	desktop	1	e4ac093b55fb	221-222
CamLookAtEncoder	out	desktop	2	2c8c7faa986f	223-235
CamLookAtV1Encoder	out	desktop	1	2c8c7faa986f	236
CamLookAtV2Encoder	out	desktop	1	ff279c41bc69	236
CamLookAtV2Encoder	out	desktop	2	1ada458430e4	237
CamLookAtV2Encoder	out	desktop	3	a53439ad0233	238
CamLookAtV2Encoder	out	desktop	4	6268cbc5a28d	239
CamLookAtV3Encoder	out	desktop	1	1167a96c36e2	239
CamModeEncoder	out	desktop	1	649b7c6d0362	221-239
CamMoveToArcV1Encoder	out	desktop	1	12dfb0b70eb8	236
CamMoveToArcV2Encoder	out	desktop	1	446ccd9f526b	236
CamMoveToArcV2Encoder	out	desktop	2	87a6cb30cb0e	237
CamMoveToArcV2Encoder	out	desktop	3	15f6efd3b957	238
CamMoveToArcV2Encoder	out	desktop	4	6b03b6182714	239
CamMoveToArcV3Encoder	out	desktop	1	ca462e9dd49f	239
CamMoveToCyclesEncoder	out	desktop	1	4209b71b353d	223-235
CamMoveToCyclesV1Encoder	out	desktop	1	4209b71b353d	236
CamMoveToCyclesV2Encoder	out	desktop	1	253398511719	236
CamMoveToCyclesV2Encoder	out	desktop	2	285913f29dc0	237
CamMoveToCyclesV2Encoder	out	desktop	3	6770495ca66a	238
CamMoveToCyclesV2Encoder	out	desktop	4	cae772c884a7	239
CamMoveToCyclesV3Encoder	out	desktop	1	3620e442f7f5	239
CamMoveToEasedCircularEncoder	out	desktop	1	8942ab027162	221-222
CamMoveToEasedEncoder	out	desktop	1	f27c1784da39	221-222
CamMoveToEncoder	out	desktop	1	e4ac093b55fb	221-222
CamMoveToEncoder	out	desktop	2	2c8c7faa986f	223-235
CamMoveToV1Encoder	out	desktop	1	2c8c7faa986f	236
CamMoveToV2Encoder	out	desktop	1	6f70b878d8d9	236
CamMoveToV2Encoder	out	desktop	2	6db17ab7994e	237
CamMoveToV2Encoder	out	desktop	3	635dbe988e31	238
CamMoveToV2Encoder	out	desktop	4	4e74bbd012b4	239
CamMoveToV3Encoder	out	desktop	1	c679a4e83374	239
CamResetEncoder	out	desktop	1	e3b0c44298fc	221-239
CamRotateByEncoder	out	desktop	1	fc6e5b26ac86	223-239
CamRotateToCoordinateEncoder	out	desktop	1	2ab7ed4a6f65	221-222
CamRotateToCoordinateEncoder	out	desktop	2	2ce48a537b3c	223-235
CamRotateToCoordinateV1Encoder	out	desktop	1	2ce48a537b3c	236
CamRotateToCoordinateV2Encoder	out	desktop	1	fa9d35f3d09b	236
CamRotateToCoordinateV2Encoder	out	desktop	2	77e48f704423	237
CamRotateToCoordinateV2Encoder	out	desktop	3	ae6e2f0cf3f2	238
CamRotateToCoordinateV2Encoder	out	desktop	4	ed5479388150	239
CamRotateToCoordinateV3Encoder	out	desktop	1	14b968afbf9d	239
CamRotateToEncoder	out	desktop	1	fc6e5b26ac86	223-239
CamShakeEncoder	out	desktop	1	a8187a632aa8	221-222
CamShakeEncoder	out	desktop	2	2cd716954471	223-239
CamSkyboxEncoder	out	desktop	1	55f0a4f1ac04	238
CamSkyboxEncoder	out	desktop	2	e36890db800b	239
CamSmoothResetEncoder	out	desktop	1	91bfe71d8abb	221-239
CamTargetEncoder	out	desktop	1	8dbf283ade23	222
CamTargetEncoder	out	desktop	2	782a24ee5b37	223-225
CamTargetOldEncoder	out	desktop	1	ddc9d0f23750	223-225
CamTargetV1Encoder	out	desktop	1	e4d73c6b92cb	226
CamTargetV2Encoder	out	desktop	1	5ccd9d95971a	226-228
CamTargetV3Encoder	out	desktop	1	13cd845e68e4	229-239
CamTargetV4Encoder	out	desktop	1	a67dda3cd547	238
CamTargetV4Encoder	out	desktop	2	9e388fd1cb79	239
CamUnlockEncoder	out	desktop	1	c29e08983e50	238
CamUnlockEncoder	out	desktop	2	ca0cfa37d1ca	239
ChatFilterSettingsEncoder	out	desktop	1	50c134910c35	221
