# round-trip: 9615/9725 decompiled, 9610 compiled, 9161 same-length, 8540 exact
script_id	stage	detail
0	decompile	script 0 is not in this cache
3	diff	same length, different bytes
8	diff	same length, different bytes
15	diff	35 bytes vs 38
19	diff	6843 bytes vs 6825
23	diff	same length, different bytes
74	diff	2004 bytes vs 1998
79	diff	512 bytes vs 506
84	decompile	script 84 pc 421: opcode 34 expected a int on the operand stack
89	decompile	script 89 pc 379: opcode 34 expected a int on the operand stack
90	diff	same length, different bytes
91	diff	552 bytes vs 546
100	diff	same length, different bytes
125	diff	3435 bytes vs 3423
166	diff	610 bytes vs 604
172	diff	1119 bytes vs 1113
179	diff	453 bytes vs 447
185	diff	164 bytes vs 158
192	decompile	script 192 pc 48: opcode 34 expected a int on the operand stack
193	diff	same length, different bytes
206	diff	same length, different bytes
210	diff	same length, different bytes
212	diff	same length, different bytes
234	diff	same length, different bytes
247	diff	same length, different bytes
252	diff	same length, different bytes
279	diff	same length, different bytes
323	diff	101 bytes vs 98
376	diff	135 bytes vs 120
386	diff	5399 bytes vs 5396
403	diff	same length, different bytes
413	diff	584 bytes vs 578
417	diff	same length, different bytes
438	diff	same length, different bytes
445	diff	same length, different bytes
451	diff	same length, different bytes
452	diff	same length, different bytes
464	diff	same length, different bytes
506	diff	same length, different bytes
514	diff	same length, different bytes
568	diff	same length, different bytes
572	diff	357 bytes vs 351
607	diff	same length, different bytes
633	diff	same length, different bytes
653	diff	same length, different bytes
660	diff	833 bytes vs 827
661	diff	819 bytes vs 813
663	decompile	script 663 pc 29: opcode 34 expected a int on the operand stack
667	diff	1086 bytes vs 1080
671	diff	1154 bytes vs 1148
675	diff	same length, different bytes
677	diff	643 bytes vs 637
702	diff	same length, different bytes
708	diff	same length, different bytes
747	diff	1212 bytes vs 1215
758	diff	same length, different bytes
763	diff	same length, different bytes
823	diff	250 bytes vs 244
824	diff	same length, different bytes
892	diff	4371 bytes vs 4365
900	diff	same length, different bytes
921	diff	same length, different bytes
922	diff	same length, different bytes
961	diff	same length, different bytes
974	diff	same length, different bytes
1002	diff	795 bytes vs 789
1063	diff	877 bytes vs 871
1064	diff	1117 bytes vs 1111
1090	diff	same length, different bytes
1105	diff	same length, different bytes
1128	diff	same length, different bytes
1129	diff	same length, different bytes
1181	diff	same length, different bytes
1189	decompile	script 1189 pc 125: return leaves 10 values, the script declares 0
1196	diff	242 bytes vs 227
1202	decompile	script 1202 pc 76: opcode 1132 was given an argument of the wrong stack type
1205	diff	same length, different bytes
1211	decompile	script 1211 pc 125: return leaves 5 values, the script declares 0
1212	decompile	script 1212 pc 18: opcode 1132 was given an argument of the wrong stack type
1216	diff	same length, different bytes
1217	diff	same length, different bytes
1260	diff	same length, different bytes
1292	diff	109 bytes vs 136
1324	diff	same length, different bytes
1351	diff	same length, different bytes
1353	diff	same length, different bytes
1406	diff	same length, different bytes
1411	diff	334 bytes vs 319
1442	diff	same length, different bytes
1443	diff	189 bytes vs 186
1445	diff	same length, different bytes
1447	diff	same length, different bytes
1448	diff	same length, different bytes
1450	diff	same length, different bytes
1452	diff	same length, different bytes
1456	diff	same length, different bytes
1479	diff	same length, different bytes
1484	diff	633 bytes vs 627
1560	diff	332 bytes vs 323
1599	diff	same length, different bytes
1629	diff	99 bytes vs 78
1630	diff	99 bytes vs 78
1658	diff	4527 bytes vs 4503
