# index-11 archive id -> name, and how it was established.
# See tools/gen_jingle_names.py for the method.
id	name	evidence
0	the_guests_are_free_recipe_for_disaster	wiki
1	a_diving_sail_recipe_for_disaster_freeing_pirate_pete	wiki
2	a_light_flight_tears_of_guthix	wiki
3	gnomeball_goal	wiki+midi
4	the_banquet_recipe_for_disaster	wiki
5	ruined_potion_black_knights_fortress	wiki
6	the_face_of_a_king_the_giant_dwarf	wiki
7	audience_of_nature	wiki
8	garden_tour_garden_of_tranquillity	wiki
9	a_healthy_cactus	wiki
10	farming_level_up	wiki
11	farming_level_up_unlocks	wiki
12	a_forgettable_puzzle_forgettable_tale	wiki
13	sigmund_s_plan_death_to_the_dorgeshuun	wiki
14	domain_of_the_vampyres_darkness_of_hallowvale	wiki
15	vanstrom_darkness_of_hallowvale	wiki
16	tropical_wood_entrance_poh	wiki
17	jingle_17	none
18	whitewashed_stone_entrance_poh	wiki
19	fremennik_style_wood_entrance_poh	wiki
20	basic_wood_entrance_poh	wiki
21	basic_stone_entrance_poh	wiki
22	fancy_stone_entrance_poh	wiki
23	lumbridge_entrance_poh	wiki
24	safe_cracked_rogues_den	wiki
25	rune_casket_open_rogue_trader	wiki
26	billy_bob_garden_of_tranquillity	wiki
27	zanik_s_theme_death_to_the_dorgeshuun	wiki
28	agility_level_up	wiki
29	attack_level_up	wiki+midi
30	attack_level_up_unlocks	wiki
31	construction_level_up	wiki
32	construction_level_up_every_10th	wiki
33	cooking_level_up	wiki+midi
34	cooking_level_up_unlocks	wiki+midi
35	crafting_level_up	wiki+midi
36	crafting_level_up_unlocks	wiki+midi
37	defence_level_up	wiki+midi
38	defence_level_up_unlocks	wiki+midi
39	firemaking_level_up	wiki
40	firemaking_level_up_unlocks	wiki
41	fishing_level_up	wiki+midi
42	fishing_level_up_unlocks	wiki+midi
43	fletching_level_up	wiki+midi
44	fletching_level_up_unlocks	wiki+midi
45	herblore_level_up	wiki
46	herblore_level_up_unlocks	wiki+midi
47	hitpoints_level_up_2_49	wiki+midi
48	hitpoints_level_up_50_99	wiki+midi
49	hunter_level_up_even	wiki
50	hunter_level_up_odd	wiki
51	magic_level_up	wiki+midi
52	magic_level_up_unlocks	wiki+midi
53	mining_level_up	wiki+midi
54	mining_level_up_unlocks	wiki+midi
55	prayer_level_up	wiki+midi
56	prayer_level_up_unlocks	wiki+midi
57	ranged_level_up	wiki+midi
58	ranged_level_up_unlocks	wiki+midi
59	runecraft_level_up	wiki+midi
60	runecraft_level_up_unlocks	wiki+midi
61	slayer_level_up	wiki+midi
62	slayer_level_up_unlocks	wiki+midi
63	smithing_level_up	wiki+midi
64	smithing_level_up_unlocks	wiki+midi
65	strength_level_up_2_49	wiki+midi
66	strength_level_up_50_99	wiki+midi
67	thieving_level_up	wiki+midi
68	thieving_level_up_unlocks	wiki+midi
69	woodcutting_level_up	wiki+midi
70	woodcutting_level_up_unlocks	wiki+midi
71	tagged_a_ticket_brimhaven_agility_arena	wiki
72	happy_organ	wiki
73	moody_organ	wiki
74	spooky_organ	wiki
75	last_man_standing_fight_pits	wiki
76	the_fight_continues_fight_cave	wiki
77	grave_robber_barrows	wiki
78	the_grand_opening_another_slice_of_h_a_m	wiki
79	captain_braindeath_rum_deal	wiki
80	draw_castle_wars	wiki+midi
81	slaughtered_castle_wars	wiki
82	victory_castle_wars	wiki+midi
83	rat_beats_cat_rat_pits	wiki
84	rat_goes_splat_rat_pits	wiki
85	a_new_champion_champion_s_challenge	wiki
86	grand_transaction	wiki
87	making_sense_of_dwarven_schematics_between_a_rock	wiki
88	fire_contact	wiki
89	oh_dear	wiki+midi
90	you_are_dead	wiki+midi
91	evil_introduction_shadow_of_the_storm	wiki
92	assassin_attack_devious_minds	wiki
93	bad_roll_death_plateau	wiki
94	lucky_win_death_plateau	wiki
95	reflection_lunar_diplomacy	wiki
96	dream_world_lunar_diplomacy	wiki
97	commence_the_fight_duel_arena	wiki+midi
98	you_are_victorious_emir_s_arena	wiki+midi
99	scape_scrambled_easter_2005	wiki
100	elf_singing	wiki+midi
101	evil_twin_caught	wiki
102	the_fairy_dragon_appears_recipe_for_disaster_sir_amik_varze	wiki
103	first_sunshine_death_to_the_dorgeshuun	wiki
104	beer_kebabs_forgettable_tale	wiki
105	kebabsh_forgettable_tale	wiki
106	a_tale_forgettable_tale	wiki
107	gadderanks_in_aid_of_the_myreque	wiki
108	draw_burthorpe_games_room	wiki+midi
109	defeat_burthorpe_games_room	wiki+midi
110	victory_burthorpe_games_room	wiki+midi
111	gnome_delivery_gnome_restaurant	wiki
112	deathly_mansion_entrance_poh	wiki
113	correct_recipe_for_disaster_lumbridge_guide	wiki
114	bert_s_lovely_sand_hand_in_the_sand	wiki
115	hawaii_5_ogre_recipe_for_disaster_skrach_uglogwee	wiki
116	burning_experiments_enlightened_journey	wiki
117	maze_centre	wiki+midi
118	a_hot_air_journey_enlightened_journey	wiki
119	welcome_to_the_moon_clan_lunar_diplomacy	wiki
120	cadava_potion_romeo_juliet	wiki
121	loss_keldagrim_trading	wiki
122	profit_keldagrim_trading	wiki
123	king_rat_is_dead_ratcatchers	wiki
124	long_live_the_rat_king_ratcatchers	wiki
125	a_temple_for_my_lord_enakhra_s_lament	wiki
126	failed_weapons_enakhra_s_lament	wiki
127	the_avarrockians_enakhra_s_lament	wiki
128	zamorkian_lie_enakhra_s_lament	wiki
129	entrapment_enakhra_s_lament	wiki
130	akthanakos_freed_enakhra_s_lament	wiki
131	improvisation_recruitment_drive	wiki
132	magic_carpet_ride	wiki
133	mizgog_s_beads_imp_catcher	wiki
134	mission_over_monkey_madness	wiki+midi
135	meanwhile_monkey_madness	wiki+midi
136	new_chapter_monkey_madness	wiki+midi
137	the_last_sail_in_search_of_the_myreque	wiki
138	an_ogre_sail	wiki
139	the_chest_of_light_mourning_s_end_part_ii	wiki
140	osman_the_spymaster_contact	wiki
141	the_outpost_making_history	wiki
142	honourable_victory_barbarian_assault	wiki
143	the_penance_queen_barbarian_assault	wiki
144	void_knight_defeated_pest_control	wiki
145	pest_controlled_pest_control	wiki
146	petra_freed_one_small_favour	wiki
147	pied_piper_ratcatchers	wiki
148	it_s_pete_postie_pete	wiki
149	wrong_key_prison_pete	wiki
150	freedom_at_last_prison_pete	wiki
151	top_of_the_pyramid	wiki
152	quest_complete_1	wiki+midi
153	quest_complete_2	wiki+midi
154	quest_complete_3	wiki+midi
155	logic_recruitment_drive	wiki
156	memory_recruitment_drive	wiki
157	gift_of_peace_stronghold_of_security	wiki
158	cradle_of_life_stronghold_of_security	wiki
159	observation_recruitment_drive	wiki
160	order_recruitment_drive	wiki
161	patience_recruitment_drive	wiki
162	wisdom_recruitment_drive	wiki
163	perfectly_tuned_fremennik_trials	wiki
164	ballad_refrain_fremennik_trials	wiki+midi
165	ballad_opening_fremennik_trials	wiki+midi
166	echo_of_beauty_mountain_daughter	wiki+midi
167	ready_to_fire_between_a_rock	wiki
168	romeo_falls_in_love_romeo_juliet	wiki
169	a_long_royal_plan_royal_trouble	wiki
170	a_royal_plan_royal_trouble	wiki
171	quick_sail	wiki+midi
172	sailing_journey	wiki
173	silence_25_seconds	wiki
174	skullball_goal	wiki+midi
175	snake_charming_pyramid_plunder	wiki
176	snake_charming_the_feud	wiki+midi
177	box_of_health_stronghold_of_security	wiki
178	jingle_178	none
179	grain_of_plenty_stronghold_of_security	wiki
180	angry_a_soul_s_bane	wiki
181	confused_a_soul_s_bane	wiki
182	fear_a_soul_s_bane	wiki
183	hopeless_a_soul_s_bane	wiki
184	a_monster_a_soul_s_bane	wiki
185	too_slow_speedy_gnome	wiki
186	faster_than_gnome_speedy_gnome	wiki
187	tale_of_the_wise_old_man_swan_song	wiki
188	tinsay_satisfied_tai_bwo_wannai_trio	wiki+midi
189	tiadeche_thankful_tai_bwo_wannai_trio	wiki+midi
190	tamayu_slays_the_shaikahan_tai_bwo_wannai_trio	wiki+midi
191	flamtaer_restored	wiki+midi
192	icthlarin_s_little_puzzle	wiki
193	treasure_treasure_trails	wiki+midi
194	trek_destination_temple_trekking	wiki
195	dangers_of_morytania_temple_trekking	wiki
196	danger_evaded_temple_trekking	wiki
197	trek_continues_temple_trekking	wiki
198	cat_gets_lazy	wiki
199	cat_gets_wily	wiki
200	vampyre_assault_in_aid_of_the_myreque	wiki
201	a_thing_under_the_bed	wiki
202	zanik_lives_again_death_to_the_dorgeshuun	wiki
203	rum_for_the_dumb_rum_deal	wiki
204	stealing_from_the_godfather_a_fairy_tale_part_ii	wiki
205	fairy_queen_awakens_a_fairy_tale_part_ii	wiki
206	the_battle_of_atarisundri_the_eyes_of_glouphrie	wiki
207	gnomes_goblins_the_eyes_of_glouphrie	wiki
208	invincible_army_the_eyes_of_glouphrie	wiki
209	goblin_retreat_the_eyes_of_glouphrie	wiki
210	oaknock_calls_the_eyes_of_glouphrie	wiki
211	the_illusion_the_eyes_of_glouphrie	wiki
212	of_glouphrie_the_eyes_of_glouphrie	wiki
213	secrets_the_eyes_of_glouphrie	wiki
214	healthorg_s_rule_the_eyes_of_glouphrie	wiki
215	glouphrie_s_watching_the_eyes_of_glouphrie	wiki
216	expulsion_the_eyes_of_glouphrie	wiki
217	the_expulsion_of_glouphrie_the_eyes_of_glouphrie	wiki
218	machine_fixed_the_eyes_of_glouphrie	wiki
219	izzie_no_more_the_eyes_of_glouphrie	wiki
220	oaknock_s_machine_the_eyes_of_glouphrie	wiki
221	story_for_brimstal_the_eyes_of_glouphrie	wiki
222	the_machine_is_broken_the_eyes_of_glouphrie	wiki
223	gnome_sabotage_the_eyes_of_glouphrie	wiki
224	a_shadow_passes_the_eyes_of_glouphrie	wiki
225	sudden_cry_the_eyes_of_glouphrie	wiki
226	argento_the_eyes_of_glouphrie	wiki
227	morytanian_mystery_darkness_of_hallowvale	wiki
228	welcome_to_the_family_the_slug_menace	wiki
229	the_slug_prince_the_slug_menace	wiki
230	mother_mallum_the_slug_menace	wiki
231	cape_of_accomplishment_jingle	wiki
