# js5 index-6 archive id -> the archive's own name, recovered from the
# reference table's name hash (h = h*31 + c over the lowercased name).
# A row is here only because a candidate string reproduced the stored
# hash exactly, so these are proofs rather than guesses. Candidates came
# from docs/audio/music_tracks_osrs239.tsv (DBTable 44) and
# docs/audio/music_regions.tsv (Kronos's archive-name column).
# 499 of cache.osrs239's 885 archives; the rest keep song_<id>.
archive_id	archive_name
0	scape main
1	iban
2	autumn voyage
3	unknown land
4	hells bells
5	sad meadow
7	overture
8	wildwood
9	kingdom
10	moody
11	spooky2
12	long way home
13	mage arena
14	witching
15	workshop
17	escape
18	horizon
19	arabique
20	lullaby
21	monarch waltz
22	gnome king
23	fe fi fo fum
24	attack1
25	attack2
26	attack3
27	attack4
28	attack5
29	attack6
30	voodoo cult
32	voyage
33	gnome village
34	wonder
35	sea shanty2
36	arabian
37	deep wildy
38	trawler
41	expecting
42	wilderness2
43	wilderness3
45	venture2
46	harmony2
47	duel arena
48	morytania
49	wander
50	al kharid
51	trawler minor
52	serene
53	royale
54	scape soft
55	high seas
56	doorways
57	rune essence
58	nomad
59	cursed
60	lasting
61	village
62	newbie melody
63	chain of command
64	book of spells
65	miracle dance
66	legion
67	close quarters
68	cavern
69	egypt
70	upcoming
71	chompy hunt
72	fanfare
74	lightwalk
75	venture
76	harmony
77	splendour
78	reggae
79	the desert
80	soundscape
81	wonderous
82	waterfall
83	big chords
84	dead quiet
85	vision
87	ice melody
88	twilight
89	reggae2
90	ambient jungle
91	riverside
92	sea shanty
93	parade
94	tribal2
95	intrepid
96	inspiration
97	hermit
98	forever
99	baroque
100	beyond
101	gnome village2
102	alone
103	oriental
104	camelot
105	tomorrow
106	expanse
107	miles away
108	starlight
109	theme
110	serenade
111	still night
112	gnomeball
113	lightness
114	jungly1
115	jungly2
116	greatness
117	jungly3
118	faerie
119	fishing
120	shining
121	forbidden
122	shine
123	arabian2
124	arabian3
125	garden
126	we are the fairies
127	nightfall
128	grumpy
129	spookyjungle
130	tree spirits
131	understanding
132	breeze
133	the tower
138	emperor
140	talking forest
141	barbarianism
142	complication
143	down to earth
144	scape cave
145	yesteryear
146	zealot
148	emotion
149	principality
150	mouse trap
151	start
152	ballad of enchantment
153	expedition
154	bone dance
155	neverland
156	mausoleum
157	medieval
158	quest
159	gaol
160	army of darkness
161	long ago
162	tribal background
164	landlubber
165	tribal
166	fanfare2
167	fanfare3
168	lonesome
169	crystal sword
170	the shadow
172	jungle island
173	dunjun
174	desert voyage
175	spirit
176	undercurrent
177	adventure
178	courage
179	underground
180	attention
181	crystal cave
182	dangerous
183	troubled
184	magical journey
185	magic dance
186	arrival
187	tremble
188	in the manor
190	heart and mind
191	knightly
192	trinity
193	mellow
197	lament of meiyerditch
198	dagannoth dawn
200	the mollusc menace
201	slug a bug ball
202	prime time
203	my arms journey
204	roc and roll
205	high spirits
206	floating free
207	scape hunter
208	jungle island xmas
209	jungle bells
210	sea shanty xmas
211	pirates of penance
213	labyrinth
214	undead dungeon
216	espionage
217	have an ice day
220	island of the trolls
221	jester minute
222	major miner
223	norse code
224	ogre the top
225	volcanic vikings
234	creature cruelty
235	magic magic magic
236	mutant medley
237	work work work
238	zombiism
241	stagnant
242	time out
243	stratosphere
244	waterlogged
245	natural
246	grotto
247	artistry
248	aztec
251	forest
252	elven mist
253	lost soul
254	meridian
255	woodland
256	overpass
257	sojourn
258	contest
259	crystal castle
260	insect queen
261	marzipan
262	righteousness
263	bandit camp
264	mad eadgar
265	superstition
266	bone dry
267	sunburn
268	everywhere
269	competition
270	exposed
271	well of voyage
272	alternative root
274	rising damp
275	slice of station
277	haunted mine
278	deep down
279	ham attack
281	slice of silent movie
282	chamber
284	miscellania
285	etcetera
286	shadowland
287	lair
288	deadlands
289	rellekka
290	saga
291	borderland
292	stranded
293	legend
294	frostbite
295	warrior
296	technology
301	down and out
302	on the up
303	monkey madness
304	marooned
305	anywhere
306	island life
307	temple
308	suspicious
309	looking back
310	dwarf theme
311	showdown
312	find my way
313	goblin village
314	castlewars
316	the navigator
317	melodrama
318	ready for battle
319	stillness
320	lighthouse
321	scape scared
322	out of the deep
324	background
325	cave background
326	dark
327	dream
328	march
329	regal
330	cellar song
331	scape sad
332	scape wild
333	spooky
334	pirates of peril
335	romancing the crone
336	dangerous road
337	faithless
338	tiptoe
339	the terrible tower
340	masquerade
341	the slayer
342	body parts
343	monster melee
345	barking mad
346	goblin game
347	fruits de mer
348	narnode's theme
350	crest of a wave
351	dynasty
352	scarab
353	shipwrecked
354	phasmatys
355	the other side
356	settlement
357	cave of beasts
358	dragontooth island
359	sarcophagus
361	down below
362	karamja jam
364	pathways
367	barb wire
369	time to mine
370	in between
371	schools out
372	far away
373	claustrophobia
374	knightmare
375	fight or flight
376	temple of light
377	the golem
378	forgotten
379	throne of the demon
380	dance of the undead
381	dangerous way
382	lore and order
383	city of the dead
