dbrow_id	display_name	sort_name	unlock_hint	col3_unknown	song_archive_id	unlock_varp,bit
2	Oh Rats!	Oh Rats!	while fighting Scurrius, the Rat King.	480	777	24,4
2511	7th Realm	7th Realm	in Brimhaven Dungeon.	535	363	9,29
2512	Farmer's Grind, A	A Farmer's Grind	in the Farming Guild.	514	609	19,6
2513	Adventure	Adventure	in Varrock.	259	177	1,0
2514	Al Kharid	Al Kharid	in Al Kharid.	333	50	1,1
2515	Alchemical Attack	Alchemical Attack!	while fighting the Alchemical Hydra.	633	598	19,3
2516	All's Fairy in Love & War	All's Fairy in Love & War	during the Fairytale II - Cure a Queen quest.	347	73	14,20
2517	Alone	Alone	at Ice Mountain.	348	102	1,2
2518	Altar Ego	Altar Ego	in the Ourania Cave.	499	486	17,4
2519	Alternative Root	Alternative Root	during the What Lies Below quest.	350	272	15,21
2520	Thrall of the Devourer	Thrall of the Devourer	during the Beneath Cursed Sands quest.	588	726	22,25
2521	Ambient Jungle	Ambient Jungle	in Shilo Village.	438	90	1,3
2522	Mystics of Nature	Mystics of Nature	in Prifddinas.	738	655	19,22
2523	Ancient Prison, The	The Ancient Prison	in the God Wars Dungeon.	219	709	21,19
2524	Anywhere	Anywhere	on Ape Atoll.	402	305	8,16
2525	Arabian	Arabian	in Al Kharid.	236	36	1,4
2526	Arabian 2	Arabian 2	in Al Kharid.	306	123	1,5
2527	Arabian 3	Arabian 3	in the Kharidian Desert.	244	124	1,6
2528	Arabique	Arabique	in Taverley Dungeon.	375	19	1,7
2529	Itsy Bitsy...	Itsy Bitsy...	during the A Night at the Theatre quest.	466	702	21,12
2530	Arboretum	Arboretum	during the Sins of the Father quest.	360	670	20,8
2531	Arcane	Arcane	in Arceuus.	283	455	5,24
2532	Not a Moment of Relief	Not a Moment of Relief	north of Arceuus.	450	705	21,14
2533	Armadyl Alliance	Armadyl Alliance	in the God Wars Dungeon.	300	414	16,13
2534	Armageddon	Armageddon	in the God Wars Dungeon.	409	404	16,14
2535	Army of Darkness	Army of Darkness	in the Wilderness.	261	160	1,8
2536	Arrival	Arrival	in Falador.	168	186	1,9
2537	Artistry	Artistry	during the Mime random event.	361	247	7,8
2538	Ascent	Ascent	at Mount Quidamortem.	682	494	17,11
2539	Assault and Battery	Assault and Battery	during the Barbarian Assault minigame.	372	604	13,23
2540	Athletes Foot	Athletes Foot	somewhere.	318	415	
2541	Attack 1	Attack 1	at the Khazard Battlefield.	215	24	1,10
2542	Attack 2	Attack 2	during the Dragon Slayer I quest.	253	25	1,11
2543	Attack 3	Attack 3	in the Lava Maze dungeon.	294	26	1,12
2544	Attack 4	Attack 4	during the Fight Arena quest.	251	27	1,13
2545	Attack 5	Attack 5	while fighting the King Black Dragon.	213	28	1,14
2546	Attack 6	Attack 6	at Gu'Tanoth.	258	29	1,15
2547	Attention	Attention	in Rimmington.	283	180	1,16
2548	Autumn in Bridgelum	Autumn in Bridgelum	somewhere.	347	538	
2549	Autumn Voyage	Autumn Voyage	in Lumbridge.	229	2	1,17
2550	Aye Car Rum Ba	Aye Car Rum Ba	on Braindeath Island.	425	497	11,31
2551	Aztec	Aztec	in the Brimhaven Agility Arena.	352	248	7,9
2552	Back to Life	Back to Life	in Sophanem.	400	616	13,30
2553	Background	Background	on Entrana.	405	324	1,18
2554	Bait	Bait	during the A Taste of Hope quest.	337	563	18,5
2555	Ballad of Enchantment	Ballad of Enchantment	south of Ardougne.	348	152	1,19
2556	Bandit Camp	Bandit Camp	at the Kharidian Bandit Camp.	302	263	7,22
2557	Bandos Battalion	Bandos Battalion	in the God Wars Dungeon.	320	408	16,12
2558	Cain's Tutorial	Cain's Tutorial	during the Barbarian Assault tutorial.	425	212	22,0
2559	Barb Wire	Barb Wire	in the Ancient Cavern.	350	367	15,25
2560	Barbarianism	Barbarianism	at Barbarian Village.	455	141	9,1
2561	Barking Mad	Barking Mad	at the Werewolf Agility Course.	300	345	17,5
2562	Baroque	Baroque	in East Ardougne.	215	99	1,20
2563	Brain Battle	Brain Battle	during The Great Brain Robbery quest.	235	239	22,5
2564	Barren Land	Barren Land	in the icy lands around Weiss.	536	585	18,23
2565	Ballad of the Basilisk	Ballad of the Basilisk	during The Fremennik Exiles quest.	396	139	20,7
2566	Fight of the Basilisk	Fight of the Basilisk	during The Fremennik Exiles quest.	529	31	20,5
2567	Jaws of the Basilisk	Jaws of the Basilisk	during The Fremennik Exiles quest.	501	135	20,3
2568	Lair of the Basilisk	Lair of the Basilisk	during The Fremennik Exiles quest.	467	136	20,4
2569	Reign of the Basilisk	Reign of the Basilisk	during The Fremennik Exiles quest.	625	199	20,6
2570	On the Frontline	On the Frontline	on the Kebos Battlefront.	475	605	19,11
2571	Beetle Juice	Beetle Juice	during the Contact! quest.	244	615	13,29
2572	Beneath the Stronghold	Beneath the Stronghold	in the Gnome Stronghold Slayer Cave.	283	417	15,31
2573	Fremennik Kings, The	The Fremennik Kings	during The Fremennik Isles quest.	296	227	22,2
2574	Beyond	Beyond	under White Wolf Mountain.	279	100	1,21
2575	Big Chords	Big Chords	in and around Yanille.	248	83	1,22
2576	Barbarian Workout	Barbarian Workout	during the Below Ice Mountain quest.	265	689	21,2
2577	Blistering Barnacles	Blistering Barnacles	on Braindeath Island.	395	498	12,0
2578	Bloodbath	Bloodbath	in Slepe.	285	557	18,7
2579	Bob's on Holiday	Bob's on Holiday	during the A Tail of Two Cats quest.	254	484	22,4
2580	Body Parts	Body Parts	in Fenkenstrain's Dungeon.	468	342	9,14
2581	Bone Dance	Bone Dance	west of Mort'ton.	310	154	6,23
2582	Bone Dry	Bone Dry	in the Pollnivneach Smoke Dungeon.	549	266	7,24
2583	Book of Spells	Book of Spells	in Lumbridge.	546	64	1,23
2584	Borderland	Borderland	in the area around Rellekka.	309	291	8,9
2585	Box of Delights	Box of Delights	in the Mimic Chest.	295	637	19,14
2586	Breeze	Breeze	in Isafdar.	344	132	7,2
2587	Brew Hoo Hoo!	Brew Hoo Hoo!	in the Port Phasmatys brewery.	431	471	11,18
2588	Brimstail's Scales	Brimstail's Scales	in Brimstail's cave.	332	194	14,27
2589	Bubble and Squeak	Bubble and Squeak	in the Keldagrim Rat Pits.	318	489	11,27
2590	Bunny's Sugar Rush	Bunny's Sugar Rush	during an Easter event.	414	437	11,0
2591	Burning Desire	Burning Desire	at Mount Karuulm.	681	629	19,2
2592	Cabin Fever	Cabin Fever	during the Cabin Fever quest.	293	545	12,27
2593	Ruins of Camdozaal, The	The Ruins of Camdozaal	during the Below Ice Mountain quest.	368	691	21,0
2594	Race Against the Clock	Race Against the Clock	in the Camdozaal Vault.	107	690	21,1
2595	Camelot	Camelot	at Camelot.	250	104	1,24
2596	Castle Wars	Castle Wars	during the Castle Wars minigame.	379	314	8,23
2597	Catacombs and Tombs	Catacombs and Tombs	during the Land of the Goblins quest.	444	715	21,22
2598	Catch Me If You Can	Catch Me If You Can	in the Ardougne Rat Pits.	356	481	11,24
2599	Cave Background	Cave Background	in the Dwarven Mine.	433	325	1,25
2600	Cave of Beasts	Cave of Beasts	during the Mountain Daughter quest.	593	357	9,24
2601	Cave of the Goblins	Cave of the Goblins	beneath Lumbridge Swamp.	465	389	10,16
2602	Cavern	Cavern	in the Yanille Agility dungeon.	343	68	1,26
2603	Cellar Song	Cellar Song	beneath the Varrock west bank.	232	330	6,13
2604	Chain of Command	Chain of Command	during the Temple of Ikov quest.	493	63	1,27
2605	Chamber	Chamber	in the Haunted Mine.	432	282	8,1
2606	Chef Surprise	Chef Surprise	during the Recipe for Disaster quest.	260	583	13,15
2607	Chickened Out	Chickened Out	in the Evil Chicken's Lair.	306	575	13,11
2608	Chompy Hunt	Chompy Hunt	in the Feldip Hills.	312	71	6,18
2609	Elven Guardians	Elven Guardians	in Prifddinas.	633	647	19,30
2610	City of the Dead	City of the Dead	in Sophanem.	649	383	10,12
2611	Clanliness	Clanliness	in a Clan Hall.	482	693	21,3
2612	Clan Wars	Clan Wars	during the Clan Wars minigame.	552	428	16,22
2613	Claustrophobia	Claustrophobia	during the Between a Rock quest.	531	373	10,3
2614	Close Quarters	Close Quarters	in the Wilderness.	327	67	6,15
2615	Coil	Coil	while fighting Zulrah.	489	432	14,0
2616	Competition	Competition	in the Burthorpe Games Room.	500	269	7,25
2617	Complication	Complication	at the Chaos Altar.	284	142	9,2
2618	Confrontation	Confrontation	during the A Kingdom Divided quest.	400	701	21,5
2619	Conspiracy	Conspiracy	during the A Taste of Hope quest.	428	561	18,4
2620	Contest	Contest	in southern Troll Country.	266	258	7,16
2621	Regal Pomp	Regal Pomp	during the A Kingdom Divided quest.	264	697	21,11
2622	Corporal Punishment	Corporal Punishment	during the Drill Demon random event.	448	418	11,3
2623	Bane	Bane	while fighting the Corporeal Beast.	830	430	16,25
2624	Corridors of Power	Corridors of Power	during the Royal Trouble quest.	540	509	12,6
2625	Courage	Courage	in Taverley Dungeon.	410	178	9,4
2626	Creature Cruelty	Creature Cruelty	during the Tower of Life quest.	483	234	15,20
2627	Crest of a Wave	Crest of a Wave	automatically.	174	350	27,2
2628	Seed of Crwys, The	The Seed of Crwys	in Prifddinas.	598	659	19,23
2629	Crystal Castle	Crystal Castle	south of Prifddinas.	608	259	7,18
2630	Crystal Cave	Crystal Cave	in Zanaris.	388	181	1,28
2631	Crystal Sword	Crystal Sword	in the Wilderness.	285	169	1,29
2632	Cursed	Cursed	during the Underground Pass quest.	282	59	6,26
2633	Dagannoth Dawn	Dagannoth Dawn	in the Waterbirth Island Dungeon.	331	198	12,13
2634	Dance of Death	Dance of Death	in the Stronghold of Security.	475	560	13,6
2635	Dance of the Meilyr	Dance of the Meilyr	in Prifddinas.	481	660	19,20
2636	Dance of the Undead	Dance of the Undead	at the Barrows.	397	380	10,10
2637	Dangerous	Dangerous	in the Wilderness.	222	182	1,30
2638	Dangerous Road	Dangerous Road	beneath Crandor.	349	336	9,7
2639	Dangerous Way	Dangerous Way	in the Barrows.	555	381	10,11
2640	Dark	Dark	in the Wilderness.	290	326	1,31
2641	Darkly Altared	Darkly Altared	while fighting Skotizo.	473	472	5,30
2642	Darkmeyer	Darkmeyer	during the Sins of the Father quest.	883	671	20,9
2643	Darkness in the Depths	Darkness in the Depths	in the Chasm of Fire.	510	499	17,12
2644	Davy Jones' Locker	Davy Jones' Locker	during the Recipe for Disaster quest.	301	576	13,10
2645	Dead Can Dance	Dead Can Dance	in the Wilderness.	369	476	11,21
2646	Dead Quiet	Dead Quiet	in Mort Myre Swamp.	694	84	6,21
2647	Deadlands	Deadlands	in the Haunted Woods.	446	288	8,6
2648	Deep Down	Deep Down	in the Haunted Mine.	614	278	8,0
2649	Deep Wildy	Deep Wildy	in the Wilderness.	255	37	2,0
2650	Delrith	Delrith	during the Demon Slayer quest.	131	195	22,18
2651	Desert Heat	Desert Heat	in the Kharidian Desert.	440	465	11,13
2652	Desert Voyage	Desert Voyage	in the Kharidian Desert.	513	174	2,1
2653	Desolate Mage, The	The Desolate Mage	at Mount Quidamortem.	667	495	17,8
2654	Devils May Care	Devils May Care	in the Smoke Devil Dungeon.	371	424	16,20
2655	Diango's Little Helpers	Diango's Little Helpers	during a Christmas event.	383	532	12,19
2656	Dies Irae	Dies Irae	during a Halloween event.	547	442	12,25
2657	Dimension X	Dimension X	at the Gorak Plane.	252	86	14,19
2658	Distant Land	Distant Land	in Burgh de Rott.	603	501	12,1
2659	Distillery Hilarity	Distillery Hilarity	outside the Trouble Brewing minigame.	422	610	13,25
2660	Dogs of War	Dogs of War	in the Stronghold of Security.	576	537	13,3
