<!--
Old School RuneScape Wiki jingle cache ids, harvested from Category:Jingles
(https://oldschool.runescape.wiki/wiki/Category:Jingles, 324 pages) via the
MediaWiki API (action=query&prop=revisions, batched 40 titles at a time,
2026-08-14), reading each page's infobox `|cacheid=` field.

`cacheid` is the JS5 index-11 (music jingles) archive/group id -- verified,
not assumed, three independent ways (see docs/AUDIO_ACCURACY.md and
tools/gen_jingle_names.py):
  - name-hash proof on the sibling index-6 (music tracks) table, which DOES
    carry name hashes -- 7/7 sampled wiki cacheids resolved to the archive-6
    group whose stored hash matches the lowercased track name
  - id-set identity: all 314 wiki jingle cacheids fall in exactly the
    315-entry archive-11 group id set of cache.osrs239 (314 of 315 -- the one
    miss, id 178, has no wiki page; id 17 likewise)
  - independent MIDI note-event match against LostCity's 74 named 2004
    jingle .mid files (66/74 exact -- see gen_jingle_names.py)

314 of 315 archive-11 ids resolved this way. Ids 17 and 178 have no wiki
page and keep jingle_<id> in the pack. `cacheid=11488` on "Yama's Jingle" is
out of range for this table (max valid id is index-11's own count) and is
treated as a wiki error, not a row -- the generator only trusts an id inside
the cache's own group id set.
-->

id	title
0	The Guests are Free! (Recipe for Disaster)
1	A Diving Sail (Recipe for Disaster - Freeing Pirate Pete)
2	A Light Flight (Tears of Guthix)
3	Gnomeball GOAL!
4	The Banquet (Recipe for Disaster)
5	Ruined Potion (Black Knights' Fortress)
6	The Face of a King (The Giant Dwarf)
7	Audience of Nature
8	Garden Tour (Garden of Tranquillity)
9	A Healthy Cactus
10	Farming Level Up!
11	Farming Level Up! (Unlocks)
12	A Forgettable Puzzle... (Forgettable Tale...)
13	Sigmund's Plan (Death to the Dorgeshuun)
14	Domain of the Vampyres (Darkness of Hallowvale)
15	Vanstrom! (Darkness of Hallowvale)
16	Tropical Wood Entrance (POH)
18	Whitewashed Stone Entrance (POH)
19	Fremennik-Style Wood Entrance (POH)
20	Basic Wood Entrance (POH)
21	Basic Stone Entrance (POH)
22	Fancy Stone Entrance (POH)
23	Lumbridge Entrance (POH)
24	Safe Cracked (Rogues' Den)
25	Rune Casket Open! (Rogue Trader)
26	Billy & Bob (Garden of Tranquillity)
27	Zanik's Theme (Death to the Dorgeshuun)
28	Agility Level Up!
29	Attack Level Up!
30	Attack Level Up! (Unlocks)
31	Construction Level Up!
32	Construction Level Up! (Every 10th)
33	Cooking Level Up!
34	Cooking Level Up! (Unlocks)
35	Crafting Level Up!
36	Crafting Level Up! (Unlocks)
37	Defence Level Up!
38	Defence Level Up! (Unlocks)
39	Firemaking Level Up!
40	Firemaking Level Up! (Unlocks)
41	Fishing Level Up!
42	Fishing Level Up! (Unlocks)
43	Fletching Level Up!
44	Fletching Level Up! (Unlocks)
45	Herblore Level Up!
46	Herblore Level Up! (Unlocks)
47	Hitpoints Level Up! (2-49)
48	Hitpoints Level Up! (50-99)
49	Hunter Level Up! (Even)
50	Hunter Level Up! (Odd)
51	Magic Level Up!
52	Magic Level Up! (Unlocks)
53	Mining Level Up!
54	Mining Level Up! (Unlocks)
55	Prayer Level Up!
56	Prayer Level Up! (Unlocks)
57	Ranged Level Up!
58	Ranged Level Up! (Unlocks)
59	Runecraft Level Up!
60	Runecraft Level Up! (Unlocks)
61	Slayer Level Up!
62	Slayer Level Up! (Unlocks)
63	Smithing Level Up!
64	Smithing Level Up! (Unlocks)
65	Strength Level Up! (2-49)
66	Strength Level Up! (50-99)
67	Thieving Level Up!
68	Thieving Level Up! (Unlocks)
69	Woodcutting Level Up!
70	Woodcutting Level Up! (Unlocks)
71	Tagged a Ticket! (Brimhaven Agility Arena)
72	Happy Organ
73	Moody Organ
74	Spooky Organ
75	Last Man Standing! (Fight Pits)
76	The Fight Continues (Fight Cave)
77	Grave Robber (Barrows)
78	The Grand Opening (Another Slice of H.A.M.)
79	Captain Braindeath (Rum Deal)
80	Draw. (Castle Wars)
81	Slaughtered... (Castle Wars)
82	Victory! (Castle Wars)
83	Rat Beats Cat (Rat Pits)
84	Rat Goes Splat (Rat Pits)
85	A New Champion! (Champion's Challenge)
86	Grand Transaction
87	Making Sense of Dwarven Schematics (Between a Rock)
88	Fire! (Contact!)
89	Oh Dear!
90	You Are Dead!
91	Evil Introduction (Shadow of the Storm)
92	Assassin Attack! (Devious Minds)
93	Bad Roll (Death Plateau)
94	Lucky Win (Death Plateau)
95	Reflection (Lunar Diplomacy)
96	Dream World (Lunar Diplomacy)
97	Commence The Fight! (Duel Arena)
98	You Are Victorious! (Emir's Arena)
99	Scape Scrambled (Easter 2005)
100	Elf Singing
101	Evil Twin Caught!
102	The Fairy Dragon Appears! (Recipe for Disaster - Sir Amik Varze)
103	First Sunshine (Death to the Dorgeshuun)
104	Beer & Kebabs... (Forgettable Tale...)
105	Kebabsh... (Forgettable Tale...)
106	A Tale... (Forgettable Tale...)
107	Gadderanks... (In Aid of the Myreque)
108	Draw (Burthorpe Games Room)
109	Defeat... (Burthorpe Games Room)
110	Victory! (Burthorpe Games Room)
111	Gnome Delivery (Gnome Restaurant)
112	Deathly Mansion Entrance (POH)
113	Correct! (Recipe for Disaster - Lumbridge Guide)
114	Bert's Lovely Sand (Hand in the Sand)
115	Hawaii 5 Ogre (Recipe for Disaster - Skrach Uglogwee)
116	Burning Experiments (Enlightened Journey)
117	Maze Centre
118	A Hot Air Journey (Enlightened Journey)
119	Welcome to the Moon Clan (Lunar Diplomacy)
120	Cadava Potion (Romeo & Juliet)
121	Loss (Keldagrim Trading)
122	Profit (Keldagrim Trading)
123	King Rat Is Dead! (Ratcatchers)
124	Long Live The Rat King (Ratcatchers)
125	A Temple For My Lord (Enakhra's Lament)
126	Failed Weapons (Enakhra's Lament)
127	The Avarrockians (Enakhra's Lament)
128	Zamorkian Lie (Enakhra's Lament)
129	Entrapment (Enakhra's Lament)
130	Akthanakos Freed (Enakhra's Lament)
131	Improvisation (Recruitment Drive)
132	Magic Carpet Ride
133	Mizgog's Beads (Imp Catcher)
134	Mission Over (Monkey Madness)
135	Meanwhile. (Monkey Madness)
136	New Chapter (Monkey Madness)
137	The Last Sail (In Search of the Myreque)
138	An Ogre Sail
139	The Chest of Light (Mourning's End Part II)
140	Osman The Spymaster (Contact!)
141	The Outpost (Making History)
142	Honourable Victory! (Barbarian Assault)
143	The Penance Queen! (Barbarian Assault)
144	Void Knight Defeated... (Pest Control)
145	Pest Controlled (Pest Control)
146	Petra Freed (One Small Favour)
147	Pied Piper (Ratcatchers)
148	It's Pete! (Postie Pete)
149	Wrong Key! (Prison Pete)
150	Freedom at Last! (Prison Pete)
151	Top of the Pyramid!
152	Quest Complete 1
153	Quest Complete 2
154	Quest Complete 3
155	Logic (Recruitment Drive)
156	Memory (Recruitment Drive)
157	Gift of Peace (Stronghold of Security)
158	Cradle of Life (Stronghold of Security)
159	Observation (Recruitment Drive)
160	Order (Recruitment Drive)
161	Patience (Recruitment Drive)
