dump          : out_eip1/E1-d3d9.eip.txt
binary        : C:/Users/mrobe/Documents/git_repos/oldschool-clientc/.claude/worktrees/d3d9-profile/dist/win32/torirs.exe
module base   : 0x00400000   (nm range 0x00401000-0x0083b770)
samples       : 10851 over 30.7 s (354 Hz), 8471 in image (78.1%), 0 suspend failures

=== inside the executable ===
  samples   share   at  23.1ms  symbol
------------------------------------------------------------------------------
     1266   11.67%    2.693 ms  _UITree_LayoutResolve.constprop.0
     1106   10.19%    2.352 ms  _ToriDraw_ComputeProjectedFaceOrderSmall.lto_priv.0
      471    4.34%    1.002 ms  _painter_paint_bucket.constprop.0.isra.0
      397    3.66%    0.844 ms  _d3d9_ui_draw_sprite.lto_priv.0
      394    3.63%    0.838 ms  _app_world_pick_finish.lto_priv.0
      318    2.93%    0.676 ms  _d3d9_bake_pose_vertices
      308    2.84%    0.655 ms  _ToriRS_FrameNextCommand
      280    2.58%    0.596 ms  _trspk_toridraw_bake_face.constprop.0
      274    2.53%    0.583 ms  _app_plugin_highlights_rebuild_pools
      265    2.44%    0.564 ms  _trspk_toridraw_face_colors
      260    2.40%    0.553 ms  _emit_walk_node
      254    2.34%    0.540 ms  _toridraw_project_vertices_noclip_portable.isra.0
      245    2.26%    0.521 ms  _d3d9_draw_retained
      245    2.26%    0.521 ms  _ToriDraw_AnimApplyTransform
      208    1.92%    0.442 ms  _ToriDraw_Project.lto_priv.0
      164    1.51%    0.349 ms  _d3d9_draw_model.lto_priv.0
      159    1.47%    0.338 ms  _scene_occluders_ground_tile_hidden
      155    1.43%    0.330 ms  _World_CycleRegisterPainterDynamics.lto_priv.0
      140    1.29%    0.298 ms  _ToriDraw_CalculateCylinderAabb8point.isra.0
       88    0.81%    0.187 ms  _World_SceneryGetByElementId
       82    0.76%    0.174 ms  _trspk_toridraw_world_vertex
       80    0.74%    0.170 ms  _RS_Minimenu_Build
       73    0.67%    0.155 ms  _hit_test_interactive_recursive.constprop.0
       68    0.63%    0.145 ms  _app_world_frame.constprop.0
       62    0.57%    0.132 ms  _CS2VM2_RunOp
       61    0.56%    0.130 ms  _d3d9_ui_append_quad_vertices.part.0.lto_priv.0
       46    0.42%    0.098 ms  _UITree_FindByComponentId
       44    0.41%    0.094 ms  _app_ui_host_publish_inputs.constprop.0
       42    0.39%    0.089 ms  _cs2vm2_run_script_body
       40    0.37%    0.085 ms  _PlatformXIOJs5Cache_Tick
       37    0.34%    0.079 ms  _scene_occluders_point_hidden_impl
       36    0.33%    0.077 ms  _app_entity_overlay_layout.constprop.0
       31    0.29%    0.066 ms  _interactive_render_present.constprop.0
       30    0.28%    0.064 ms  _get_next_block.lto_priv.0
       23    0.21%    0.049 ms  ___umoddi3
       22    0.20%    0.047 ms  _UITree_EmitWalk
       20    0.18%    0.043 ms  _toridraw_projected_model_hit_face.isra.0
       19    0.18%    0.040 ms  _app_entity_model_height.lto_priv.0
       19    0.18%    0.040 ms  _app_logic_tick.constprop.0
       18    0.17%    0.038 ms  _d3d9_ui_font_vertical_metrics.lto_priv.0

=== outside the executable (64 KB pages, DLL granularity) ===
  samples   share   at  23.1ms  symbol
------------------------------------------------------------------------------
     1567   14.44%    3.333 ms  ntdll.dll
      650    5.99%    1.383 ms  msvcrt.dll
      132    1.22%    0.281 ms  d3d9.dll
       23    0.21%    0.049 ms  kernel32.dll
        2    0.02%    0.004 ms  GDI32.dll
        2    0.02%    0.004 ms  d3d8thk.dll
        2    0.02%    0.004 ms  USER32.dll
        1    0.01%    0.002 ms  WS2_32.dll
        1    0.01%    0.002 ms  mswsock.dll
