dump          : C:/Users/mrobe/.claude/jobs/6a36cf9a/tmp/out_eip2/E2-d3d9zb.eip.txt
binary        : C:/Users/mrobe/Documents/git_repos/oldschool-clientc/.claude/worktrees/d3d9-profile/dist/win32/torirs.exe
module base   : 0x00400000   (nm range 0x00401000-0x0083cbc0)
samples       : 8773 over 31.2 s (281 Hz), 6767 in image (77.1%), 0 suspend failures

=== inside the executable ===
  samples   share   at  20.2ms  symbol
------------------------------------------------------------------------------
      954   10.87%    2.194 ms  _d3d9_draw_model.lto_priv.0
      439    5.00%    1.010 ms  _app_world_pick_finish.lto_priv.0
      422    4.81%    0.971 ms  _d3d9_ui_draw_sprite.lto_priv.0
      368    4.19%    0.846 ms  _d3d9_bake_pose_vertices
      356    4.06%    0.819 ms  _trspk_toridraw_face_colors
      352    4.01%    0.810 ms  _trspk_toridraw_bake_face.constprop.0
      271    3.09%    0.623 ms  _emit_walk_node
      264    3.01%    0.607 ms  _app_plugin_highlights_rebuild_pools
      263    3.00%    0.605 ms  _ToriDraw_AnimApplyTransform
      234    2.67%    0.538 ms  _toridraw_project_vertices_noclip_portable.isra.0
      212    2.42%    0.488 ms  _App_BuildFrame.part.0
      202    2.30%    0.465 ms  _ToriRS_FrameNextCommand
      179    2.04%    0.412 ms  _ToriDraw_Project.lto_priv.0
      173    1.97%    0.398 ms  _ToriDraw_CalculateCylinderAabb8point.isra.0
      149    1.70%    0.343 ms  _World_CycleRegisterPainterDynamics.lto_priv.0
      146    1.66%    0.336 ms  _d3d9_draw_retained
      142    1.62%    0.327 ms  _scene_occluders_ground_tile_hidden
       99    1.13%    0.228 ms  _trspk_toridraw_world_vertex
       95    1.08%    0.219 ms  _ToriDraw_ComputeProjectedFaceOrderSmall.lto_priv.0
       88    1.00%    0.202 ms  _RS_Minimenu_Build
       70    0.80%    0.161 ms  _app_world_frame.constprop.0
       66    0.75%    0.152 ms  _World_SceneryGetByElementId
       61    0.70%    0.140 ms  _CS2VM2_RunOp
       57    0.65%    0.131 ms  _d3d9_ui_append_quad_vertices.part.0.lto_priv.0
       53    0.60%    0.122 ms  _hit_test_interactive_recursive.constprop.0
       40    0.46%    0.092 ms  _app_ui_host_publish_inputs.constprop.0
       40    0.46%    0.092 ms  _d3d9_end_3d.lto_priv.0
       39    0.44%    0.090 ms  _PlatformXIOJs5Cache_Tick
       34    0.39%    0.078 ms  _cs2vm2_run_script_body
       32    0.36%    0.074 ms  _UITree_FindByComponentId
       31    0.35%    0.071 ms  _interactive_render_present.constprop.0
       30    0.34%    0.069 ms  ___umoddi3
       27    0.31%    0.062 ms  _UITree_EmitWalk
       25    0.28%    0.058 ms  _hmap_search.constprop.0
       24    0.27%    0.055 ms  _app_logic_tick.constprop.0
       23    0.26%    0.053 ms  _app_entity_overlay_layout.constprop.0
       22    0.25%    0.051 ms  _UITree_LayerChildClip
       21    0.24%    0.048 ms  _ToriDraw_ModelSetBoundsCylinder
       21    0.24%    0.048 ms  ___divdi3
       20    0.23%    0.046 ms  _scene_occluders_point_hidden_impl

=== outside the executable (64 KB pages, DLL granularity) ===
  samples   share   at  20.2ms  symbol
------------------------------------------------------------------------------
     1072   12.22%    2.466 ms  ntdll.dll
      788    8.98%    1.813 ms  msvcrt.dll
      108    1.23%    0.248 ms  d3d9.dll
       22    0.25%    0.051 ms  kernel32.dll
        6    0.07%    0.014 ms  GDI32.dll
        3    0.03%    0.007 ms  USER32.dll
        3    0.03%    0.007 ms  WS2_32.dll
        3    0.03%    0.007 ms  mswsock.dll
        1    0.01%    0.002 ms  d3d8thk.dll
