mock230-selftest-evidence-v1
wire	osrs239
index	status	message
000001	PASS	the focused God Wars lane loads MOCK230_SCRIPTS=OSRS-Content/osrs239-content/server/scripts/build
000002	PASS	Saradomin rope stat/requirement resolves (16/70)
000003	PASS	Saradomin rope rejects below, accepts exact, and boosted-above returns 0 (got 0/1/0)
000004	PASS	surface boulder stat/requirement resolves (2/60)
000005	PASS	surface boulder rejects below, accepts exact, and boosted-above returns 1 (got 0/1/1)
000006	PASS	surface crack stat/requirement resolves (16/60)
000007	PASS	surface crack rejects below, accepts exact, and boosted-above returns 1 (got 0/1/1)
000008	PASS	Zamorak ice bridge stat/requirement resolves (3/70)
000009	PASS	Zamorak ice bridge rejects below, accepts exact, and boosted-above returns 0 (got 0/1/0)
000010	PASS	Bandos gong door stat/requirement resolves (2/70)
000011	PASS	Bandos gong door rejects below, accepts exact, and boosted-above returns 0 (got 0/1/0)
000012	PASS	Armadyl grapple stat/requirement resolves (4/70)
000013	PASS	Armadyl grapple rejects below, accepts exact, and boosted-above returns 0 (got 0/1/0)
000014	PASS	Frozen Door Agility stat/requirement resolves (16/70)
000015	PASS	Frozen Door Agility rejects below, accepts exact, and boosted-above returns 0 (got 0/1/0)
000016	PASS	Frozen Door Ranged stat/requirement resolves (4/70)
000017	PASS	Frozen Door Ranged rejects below, accepts exact, and boosted-above returns 0 (got 0/1/0)
000018	PASS	Frozen Door Strength stat/requirement resolves (2/70)
000019	PASS	Frozen Door Strength rejects below, accepts exact, and boosted-above returns 0 (got 0/1/0)
000020	PASS	Frozen Door Hitpoints stat/requirement resolves (3/70)
000021	PASS	Frozen Door Hitpoints rejects below, accepts exact, and boosted-above returns 1 (got 0/1/1)
000022	PASS	five allegiance blessings and Ancient mace resolve
000023	PASS	GWD worn faction mask 00 faction 1 yields count/protection 0/0 (expected 0)
000024	PASS	GWD worn faction mask 00 faction 2 yields count/protection 0/0 (expected 0)
000025	PASS	GWD worn faction mask 00 faction 3 yields count/protection 0/0 (expected 0)
000026	PASS	GWD worn faction mask 00 faction 4 yields count/protection 0/0 (expected 0)
000027	PASS	GWD worn faction mask 00 faction 5 yields count/protection 0/0 (expected 0)
000028	PASS	GWD worn faction mask 01 faction 1 yields count/protection 1/1 (expected 1)
000029	PASS	GWD worn faction mask 01 faction 2 yields count/protection 0/0 (expected 0)
000030	PASS	GWD worn faction mask 01 faction 3 yields count/protection 0/0 (expected 0)
000031	PASS	GWD worn faction mask 01 faction 4 yields count/protection 0/0 (expected 0)
000032	PASS	GWD worn faction mask 01 faction 5 yields count/protection 0/0 (expected 0)
000033	PASS	GWD worn faction mask 02 faction 1 yields count/protection 0/0 (expected 0)
000034	PASS	GWD worn faction mask 02 faction 2 yields count/protection 1/1 (expected 1)
000035	PASS	GWD worn faction mask 02 faction 3 yields count/protection 0/0 (expected 0)
000036	PASS	GWD worn faction mask 02 faction 4 yields count/protection 0/0 (expected 0)
000037	PASS	GWD worn faction mask 02 faction 5 yields count/protection 0/0 (expected 0)
000038	PASS	GWD worn faction mask 03 faction 1 yields count/protection 1/1 (expected 1)
000039	PASS	GWD worn faction mask 03 faction 2 yields count/protection 1/1 (expected 1)
000040	PASS	GWD worn faction mask 03 faction 3 yields count/protection 0/0 (expected 0)
000041	PASS	GWD worn faction mask 03 faction 4 yields count/protection 0/0 (expected 0)
000042	PASS	GWD worn faction mask 03 faction 5 yields count/protection 0/0 (expected 0)
000043	PASS	GWD worn faction mask 04 faction 1 yields count/protection 0/0 (expected 0)
000044	PASS	GWD worn faction mask 04 faction 2 yields count/protection 0/0 (expected 0)
000045	PASS	GWD worn faction mask 04 faction 3 yields count/protection 1/1 (expected 1)
000046	PASS	GWD worn faction mask 04 faction 4 yields count/protection 0/0 (expected 0)
000047	PASS	GWD worn faction mask 04 faction 5 yields count/protection 0/0 (expected 0)
000048	PASS	GWD worn faction mask 05 faction 1 yields count/protection 1/1 (expected 1)
000049	PASS	GWD worn faction mask 05 faction 2 yields count/protection 0/0 (expected 0)
000050	PASS	GWD worn faction mask 05 faction 3 yields count/protection 1/1 (expected 1)
000051	PASS	GWD worn faction mask 05 faction 4 yields count/protection 0/0 (expected 0)
000052	PASS	GWD worn faction mask 05 faction 5 yields count/protection 0/0 (expected 0)
000053	PASS	GWD worn faction mask 06 faction 1 yields count/protection 0/0 (expected 0)
000054	PASS	GWD worn faction mask 06 faction 2 yields count/protection 1/1 (expected 1)
000055	PASS	GWD worn faction mask 06 faction 3 yields count/protection 1/1 (expected 1)
000056	PASS	GWD worn faction mask 06 faction 4 yields count/protection 0/0 (expected 0)
000057	PASS	GWD worn faction mask 06 faction 5 yields count/protection 0/0 (expected 0)
000058	PASS	GWD worn faction mask 07 faction 1 yields count/protection 1/1 (expected 1)
000059	PASS	GWD worn faction mask 07 faction 2 yields count/protection 1/1 (expected 1)
000060	PASS	GWD worn faction mask 07 faction 3 yields count/protection 1/1 (expected 1)
000061	PASS	GWD worn faction mask 07 faction 4 yields count/protection 0/0 (expected 0)
000062	PASS	GWD worn faction mask 07 faction 5 yields count/protection 0/0 (expected 0)
000063	PASS	GWD worn faction mask 08 faction 1 yields count/protection 0/0 (expected 0)
000064	PASS	GWD worn faction mask 08 faction 2 yields count/protection 0/0 (expected 0)
000065	PASS	GWD worn faction mask 08 faction 3 yields count/protection 0/0 (expected 0)
000066	PASS	GWD worn faction mask 08 faction 4 yields count/protection 1/1 (expected 1)
000067	PASS	GWD worn faction mask 08 faction 5 yields count/protection 0/0 (expected 0)
000068	PASS	GWD worn faction mask 09 faction 1 yields count/protection 1/1 (expected 1)
000069	PASS	GWD worn faction mask 09 faction 2 yields count/protection 0/0 (expected 0)
000070	PASS	GWD worn faction mask 09 faction 3 yields count/protection 0/0 (expected 0)
000071	PASS	GWD worn faction mask 09 faction 4 yields count/protection 1/1 (expected 1)
000072	PASS	GWD worn faction mask 09 faction 5 yields count/protection 0/0 (expected 0)
000073	PASS	GWD worn faction mask 0a faction 1 yields count/protection 0/0 (expected 0)
000074	PASS	GWD worn faction mask 0a faction 2 yields count/protection 1/1 (expected 1)
000075	PASS	GWD worn faction mask 0a faction 3 yields count/protection 0/0 (expected 0)
000076	PASS	GWD worn faction mask 0a faction 4 yields count/protection 1/1 (expected 1)
000077	PASS	GWD worn faction mask 0a faction 5 yields count/protection 0/0 (expected 0)
