span-census: 40567840 spans, 204628529 pixels, 5.04 px/span, 24.8% 16B-aligned, 6.8% clipped
len,spans,span_cum_pct,pixel_cum_pct
1,13881383,34.22,6.78
2,7996816,53.93,14.60
3,4885148,65.97,21.76
4,3058445,73.51,27.74
5,1966286,78.36,32.54
6,1311127,81.59,36.39
7,1013980,84.09,39.86
8,821029,86.11,43.07
9,636506,87.68,45.87
10,517280,88.96,48.39
11,446928,90.06,50.80
12,358683,90.94,52.90
13,285439,91.65,54.71
14,289600,92.36,56.70
15,275609,93.04,58.72
16,210519,93.56,60.36
17,200384,94.05,62.03
18,163671,94.46,63.47
19,160386,94.85,64.96
20,167844,95.27,66.60
21,123529,95.57,67.86
22,132229,95.90,69.29
23,99399,96.14,70.40
24,114125,96.42,71.74
25,69722,96.59,72.59
26,74050,96.78,73.53
27,59240,96.92,74.32
28,60721,97.07,75.15
29,66645,97.24,76.09
30,57759,97.38,76.94
31,56278,97.52,77.79
32,59240,97.66,78.72
33,85898,97.88,80.10
34,59240,98.02,81.09
35,54797,98.16,82.02
36,47392,98.27,82.86
37,38506,98.37,83.55
38,28139,98.44,84.08
39,39987,98.54,84.84
40,41468,98.64,85.65
41,28139,98.71,86.21
42,26658,98.77,86.76
43,38506,98.87,87.57
44,32582,98.95,88.27
45,19253,99.00,88.69
46,35544,99.08,89.49
47,23696,99.14,90.04
48,29620,99.22,90.73
49,25177,99.28,91.33
50,22215,99.33,91.88
51,28139,99.40,92.58
52,20734,99.45,93.10
53,16291,99.49,93.53
54,25177,99.55,94.19
55,8886,99.58,94.43
56,17772,99.62,94.92
57,20734,99.67,95.49
58,7405,99.69,95.70
59,11848,99.72,96.05
60,16291,99.76,96.52
61,5924,99.77,96.70
62,5924,99.79,96.88
63,4443,99.80,97.02
96,81455,100.00,100.84
