raid,event,tick,down_number,walk_ticks,hand_count,bloat_hp_pct
0040a5bf-747d-4261-87b2-d3bdfeb4d654,hands_drop,29,,,16,89.0
0040a5bf-747d-4261-87b2-d3bdfeb4d654,hands_splat,32,,,16,87.33
0040a5bf-747d-4261-87b2-d3bdfeb4d654,hands_drop,35,,,16,85.53
0040a5bf-747d-4261-87b2-d3bdfeb4d654,hands_splat,38,,,16,81.53
0040a5bf-747d-4261-87b2-d3bdfeb4d654,hands_drop,41,,,16,81.53
0040a5bf-747d-4261-87b2-d3bdfeb4d654,down,42,1,42,,
0040a5bf-747d-4261-87b2-d3bdfeb4d654,hands_splat,44,,,16,76.0
0040a5bf-747d-4261-87b2-d3bdfeb4d654,up,75,,,,
0040a5bf-747d-4261-87b2-d3bdfeb4d654,hands_drop,79,,,16,29.07
0040a5bf-747d-4261-87b2-d3bdfeb4d654,hands_splat,82,,,16,29.0
0040a5bf-747d-4261-87b2-d3bdfeb4d654,hands_drop,83,,,16,29.0
0040a5bf-747d-4261-87b2-d3bdfeb4d654,hands_splat,86,,,16,28.93
0040a5bf-747d-4261-87b2-d3bdfeb4d654,hands_drop,87,,,16,28.93
0040a5bf-747d-4261-87b2-d3bdfeb4d654,hands_splat,90,,,16,28.93
0040a5bf-747d-4261-87b2-d3bdfeb4d654,hands_drop,91,,,16,28.93
0040a5bf-747d-4261-87b2-d3bdfeb4d654,hands_splat,94,,,16,28.93
0040a5bf-747d-4261-87b2-d3bdfeb4d654,hands_drop,95,,,16,28.93
0040a5bf-747d-4261-87b2-d3bdfeb4d654,hands_splat,98,,,16,28.93
0040a5bf-747d-4261-87b2-d3bdfeb4d654,hands_drop,99,,,16,28.93
0040a5bf-747d-4261-87b2-d3bdfeb4d654,hands_splat,102,,,16,28.93
0040a5bf-747d-4261-87b2-d3bdfeb4d654,hands_drop,103,,,15,28.93
0040a5bf-747d-4261-87b2-d3bdfeb4d654,hands_splat,106,,,15,28.93
0040a5bf-747d-4261-87b2-d3bdfeb4d654,hands_drop,107,,,16,28.93
0040a5bf-747d-4261-87b2-d3bdfeb4d654,hands_splat,110,,,16,28.93
0040a5bf-747d-4261-87b2-d3bdfeb4d654,down,111,2,35,,
0040a5bf-747d-4261-87b2-d3bdfeb4d654,hands_drop,111,,,15,28.93
0040a5bf-747d-4261-87b2-d3bdfeb4d654,hands_splat,114,,,15,28.93
047e7ac7-29df-44b2-9127-634f58377161,down,45,1,45,,
047e7ac7-29df-44b2-9127-634f58377161,up,78,,,,
047e7ac7-29df-44b2-9127-634f58377161,hands_drop,78,,,16,41.73
047e7ac7-29df-44b2-9127-634f58377161,hands_splat,81,,,16,41.67
047e7ac7-29df-44b2-9127-634f58377161,hands_drop,84,,,16,41.67
047e7ac7-29df-44b2-9127-634f58377161,hands_splat,87,,,16,41.6
047e7ac7-29df-44b2-9127-634f58377161,hands_drop,90,,,15,41.6
047e7ac7-29df-44b2-9127-634f58377161,hands_splat,93,,,15,41.53
047e7ac7-29df-44b2-9127-634f58377161,hands_drop,96,,,16,41.53
047e7ac7-29df-44b2-9127-634f58377161,hands_splat,99,,,16,41.53
047e7ac7-29df-44b2-9127-634f58377161,hands_drop,102,,,16,41.53
047e7ac7-29df-44b2-9127-634f58377161,hands_splat,105,,,16,41.53
047e7ac7-29df-44b2-9127-634f58377161,hands_drop,108,,,16,41.53
047e7ac7-29df-44b2-9127-634f58377161,hands_splat,111,,,16,41.53
047e7ac7-29df-44b2-9127-634f58377161,down,113,2,34,,
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,down,42,1,42,,
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,up,75,,,,
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,hands_drop,75,,,16,46.57
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,hands_splat,78,,,16,46.57
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,hands_drop,81,,,16,46.51
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,hands_splat,84,,,16,46.51
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,hands_drop,87,,,16,46.51
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,hands_splat,90,,,16,46.51
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,hands_drop,93,,,16,46.51
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,hands_splat,96,,,16,46.51
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,hands_drop,99,,,16,46.51
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,hands_splat,102,,,16,46.51
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,hands_drop,105,,,16,46.51
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,hands_splat,108,,,16,46.51
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,hands_drop,111,,,15,46.51
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,down,112,2,36,,
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,hands_splat,114,,,15,46.51
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,0,,,16,100.0
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,3,,,16,100.0
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,6,,,16,100.0
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,9,,,16,100.0
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,12,,,16,98.67
