raid,attack_index,tick,attack_id,attack
0040a5bf-747d-4261-87b2-d3bdfeb4d654,0,9,1,blackstorm
0040a5bf-747d-4261-87b2-d3bdfeb4d654,1,19,2,blood_throw
0040a5bf-747d-4261-87b2-d3bdfeb4d654,2,29,1,blackstorm
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3,39,1,blackstorm
0040a5bf-747d-4261-87b2-d3bdfeb4d654,4,49,2,blood_throw
0040a5bf-747d-4261-87b2-d3bdfeb4d654,5,59,1,blackstorm
0040a5bf-747d-4261-87b2-d3bdfeb4d654,6,69,1,blackstorm
0040a5bf-747d-4261-87b2-d3bdfeb4d654,7,79,2,blood_throw
0040a5bf-747d-4261-87b2-d3bdfeb4d654,8,89,1,blackstorm
0040a5bf-747d-4261-87b2-d3bdfeb4d654,9,99,1,blackstorm
0040a5bf-747d-4261-87b2-d3bdfeb4d654,10,109,2,blood_throw
0040a5bf-747d-4261-87b2-d3bdfeb4d654,11,119,1,blackstorm
0040a5bf-747d-4261-87b2-d3bdfeb4d654,12,129,1,blackstorm
0040a5bf-747d-4261-87b2-d3bdfeb4d654,13,139,2,blood_throw
0040a5bf-747d-4261-87b2-d3bdfeb4d654,14,149,1,blackstorm
0040a5bf-747d-4261-87b2-d3bdfeb4d654,15,159,1,blackstorm
0040a5bf-747d-4261-87b2-d3bdfeb4d654,16,169,1,blackstorm
0040a5bf-747d-4261-87b2-d3bdfeb4d654,17,179,1,blackstorm
0040a5bf-747d-4261-87b2-d3bdfeb4d654,18,189,2,blood_throw
0040a5bf-747d-4261-87b2-d3bdfeb4d654,19,199,1,blackstorm
022818d8-fd8c-46ef-8eb2-3319b641554c,0,9,1,blackstorm
022818d8-fd8c-46ef-8eb2-3319b641554c,1,19,2,blood_throw
022818d8-fd8c-46ef-8eb2-3319b641554c,2,29,1,blackstorm
022818d8-fd8c-46ef-8eb2-3319b641554c,3,39,1,blackstorm
022818d8-fd8c-46ef-8eb2-3319b641554c,4,49,1,blackstorm
022818d8-fd8c-46ef-8eb2-3319b641554c,5,59,1,blackstorm
022818d8-fd8c-46ef-8eb2-3319b641554c,6,69,1,blackstorm
022818d8-fd8c-46ef-8eb2-3319b641554c,7,79,1,blackstorm
022818d8-fd8c-46ef-8eb2-3319b641554c,8,89,2,blood_throw
022818d8-fd8c-46ef-8eb2-3319b641554c,9,99,1,blackstorm
022818d8-fd8c-46ef-8eb2-3319b641554c,10,109,1,blackstorm
022818d8-fd8c-46ef-8eb2-3319b641554c,11,119,1,blackstorm
022818d8-fd8c-46ef-8eb2-3319b641554c,12,129,1,blackstorm
022818d8-fd8c-46ef-8eb2-3319b641554c,13,139,1,blackstorm
022818d8-fd8c-46ef-8eb2-3319b641554c,14,149,1,blackstorm
022818d8-fd8c-46ef-8eb2-3319b641554c,15,159,1,blackstorm
