raid,x,y,first_tick,last_tick,run_ticks,ended_near_bloodspawn_death
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3163,4443,19,32,13,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3163,4454,19,34,15,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3163,4452,19,49,30,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3161,4456,19,49,30,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3168,4446,49,62,13,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3168,4447,49,62,13,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3169,4445,49,79,30,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3170,4445,49,79,30,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3168,4447,79,92,13,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3169,4450,79,92,13,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3173,4445,79,94,15,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3168,4448,79,121,42,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3169,4443,109,122,13,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3169,4447,94,123,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3170,4448,109,123,14,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3170,4446,95,124,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3172,4446,109,124,15,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3168,4447,109,124,15,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3171,4446,96,125,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3171,4447,97,126,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3171,4448,98,127,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3171,4449,99,128,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3172,4448,100,129,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3173,4448,101,130,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3172,4449,102,131,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3171,4450,103,132,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3170,4450,104,133,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3171,4451,105,134,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3172,4451,106,135,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3171,4452,107,136,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3171,4453,108,137,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3171,4454,109,138,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3170,4453,110,139,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3169,4452,111,140,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3168,4452,112,141,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3169,4451,113,142,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3170,4451,114,143,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3169,4450,115,144,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3168,4450,116,145,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3167,4450,117,146,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3167,4451,118,147,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3168,4453,120,149,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3168,4454,121,150,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3167,4453,122,151,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3166,4453,123,152,29,False
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3167,4443,139,152,13,False
