raid,wave1_tick,cleanup_end,boss_spawn,delta,cleanup_cycle_phase,predicted_boss_spawn,prediction_correct
022818d8-fd8c-46ef-8eb2-3319b641554c,7,297,315,18,2,315,True
02e9d7d9-1108-4059-9d78-0f88919ba883,5,330,349,19,1,349,True
047e7ac7-29df-44b2-9127-634f58377161,4,339,356,17,3,356,True
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,4,324,340,16,0,340,True
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,5,329,345,16,0,345,True
3d30c636-cd48-431a-9efe-6a2a12a31a0e,7,333,351,18,2,351,True
4e638be0-4134-43e7-b847-bbeb862d25ce,4,322,340,18,2,340,True
56216003-6bb6-4095-a47e-0aecb84e252d,4,331,348,17,3,348,True
5905be94-8610-436b-805c-f4b10359086c,4,275,292,17,3,292,True
5d8a40ec-0c29-472b-a0c5-efb4dd472cc8,4,335,352,17,3,352,True
630f537c-d33a-45cb-9b00-f0dcadb0cc38,4,304,320,16,0,320,True
74700b67-6c79-41d8-b441-c7d96629348a,4,276,292,16,0,292,True
7ca85464-b9da-470c-a984-82865ece18dc,5,286,305,19,1,305,True
7dd4a479-72ef-4813-a3af-c3e728595a0c,4,286,304,18,2,304,True
8eb37ed4-5b9c-44da-a9c9-8f74d081de4a,5,359,377,18,2,377,True
99a19877-b298-4f81-920a-4dab071af96f,4,269,288,19,1,288,True
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,4,316,332,16,0,332,True
a2968a27-1164-47cb-be4a-c5903764b9c9,4,313,332,19,1,332,True
c695912b-8120-4096-96e5-4c57bc61e152,4,292,308,16,0,308,True
d5ef6c12-42cf-428c-9580-14abe398b3a8,4,285,304,19,1,304,True
dc29d897-55c8-4d68-8bf0-141542064283,4,311,328,17,3,328,True
eee9a190-f2af-4354-bf84-1e2990e77891,5,299,317,18,2,317,True
