raid,tick,style
022818d8-fd8c-46ef-8eb2-3319b641554c,317,melee
022818d8-fd8c-46ef-8eb2-3319b641554c,326,range
022818d8-fd8c-46ef-8eb2-3319b641554c,336,melee
022818d8-fd8c-46ef-8eb2-3319b641554c,346,mage
022818d8-fd8c-46ef-8eb2-3319b641554c,356,melee
022818d8-fd8c-46ef-8eb2-3319b641554c,366,mage
022818d8-fd8c-46ef-8eb2-3319b641554c,376,melee
022818d8-fd8c-46ef-8eb2-3319b641554c,386,mage
02e9d7d9-1108-4059-9d78-0f88919ba883,351,melee
02e9d7d9-1108-4059-9d78-0f88919ba883,360,range
02e9d7d9-1108-4059-9d78-0f88919ba883,370,mage
02e9d7d9-1108-4059-9d78-0f88919ba883,380,melee
02e9d7d9-1108-4059-9d78-0f88919ba883,390,range
02e9d7d9-1108-4059-9d78-0f88919ba883,400,mage
02e9d7d9-1108-4059-9d78-0f88919ba883,410,melee
02e9d7d9-1108-4059-9d78-0f88919ba883,420,range
02e9d7d9-1108-4059-9d78-0f88919ba883,430,mage
02e9d7d9-1108-4059-9d78-0f88919ba883,440,melee
02e9d7d9-1108-4059-9d78-0f88919ba883,450,mage
02e9d7d9-1108-4059-9d78-0f88919ba883,460,range
02e9d7d9-1108-4059-9d78-0f88919ba883,470,melee
02e9d7d9-1108-4059-9d78-0f88919ba883,480,range
02e9d7d9-1108-4059-9d78-0f88919ba883,490,melee
02e9d7d9-1108-4059-9d78-0f88919ba883,500,range
02e9d7d9-1108-4059-9d78-0f88919ba883,510,melee
02e9d7d9-1108-4059-9d78-0f88919ba883,520,mage
02e9d7d9-1108-4059-9d78-0f88919ba883,530,melee
047e7ac7-29df-44b2-9127-634f58377161,358,melee
047e7ac7-29df-44b2-9127-634f58377161,367,mage
047e7ac7-29df-44b2-9127-634f58377161,377,melee
047e7ac7-29df-44b2-9127-634f58377161,387,mage
047e7ac7-29df-44b2-9127-634f58377161,397,melee
047e7ac7-29df-44b2-9127-634f58377161,407,mage
047e7ac7-29df-44b2-9127-634f58377161,417,range
047e7ac7-29df-44b2-9127-634f58377161,427,melee
047e7ac7-29df-44b2-9127-634f58377161,437,mage
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,342,melee
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,351,range
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,361,mage
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,371,range
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,381,melee
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,391,range
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,401,mage
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,411,melee
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,421,range
