raid,scale,wave,split_pillar,parent_pillar,nearest_to_spawn
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,5,SW,,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,5,SE,,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,9,SW,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,9,SW,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,9,SW,,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,9,SE,,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,10,SW,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,10,NE,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,10,SW,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,10,SW,SW,NW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,10,NE,NE,NE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,10,NE,NE,NE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,10,SE,SE,SE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,10,NE,SE,SE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,13,SE,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,13,NE,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,15,NE,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,15,NE,SW,SE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,15,NE,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,15,NE,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,17,NW,SE,SE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,17,NE,SE,SE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,19,NE,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,19,SE,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,20,NW,SE,SE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,20,SW,SE,SE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,20,NE,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,20,NE,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,20,NW,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,20,NW,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,21,SE,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,21,NE,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,21,SW,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,21,NE,SW,SW
