raid,maze_index,proc_tick,reactivate_tick,first_attack_after,gap
047e7ac7-29df-44b2-9127-634f58377161,0,61,89,90,1
047e7ac7-29df-44b2-9127-634f58377161,1,143,173,174,1
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,0,64,101,102,1
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,1,154,193,194,1
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,0,68,100,101,1
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,1,153,188,189,1
3d30c636-cd48-431a-9efe-6a2a12a31a0e,0,57,98,99,1
3d30c636-cd48-431a-9efe-6a2a12a31a0e,1,147,194,195,1
56216003-6bb6-4095-a47e-0aecb84e252d,0,53,77,78,1
56216003-6bb6-4095-a47e-0aecb84e252d,1,140,169,170,1
5905be94-8610-436b-805c-f4b10359086c,0,42,65,66,1
5905be94-8610-436b-805c-f4b10359086c,1,113,141,142,1
630f537c-d33a-45cb-9b00-f0dcadb0cc38,0,62,78,79,1
630f537c-d33a-45cb-9b00-f0dcadb0cc38,1,143,162,163,1
74700b67-6c79-41d8-b441-c7d96629348a,0,56,80,81,1
74700b67-6c79-41d8-b441-c7d96629348a,1,123,144,145,1
7ca85464-b9da-470c-a984-82865ece18dc,0,51,80,81,1
7ca85464-b9da-470c-a984-82865ece18dc,1,133,160,161,1
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,0,53,87,88,1
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,1,135,163,164,1
a2968a27-1164-47cb-be4a-c5903764b9c9,0,72,86,87,1
a2968a27-1164-47cb-be4a-c5903764b9c9,1,159,174,175,1
d5ef6c12-42cf-428c-9580-14abe398b3a8,0,47,76,77,1
d5ef6c12-42cf-428c-9580-14abe398b3a8,1,129,156,157,1
e029c9ae-f1a0-49e2-b35c-7980bebc7e4e,0,52,72,73,1
e029c9ae-f1a0-49e2-b35c-7980bebc7e4e,1,129,157,162,5
