raid,mode,scale,maze_index,c0,c2,c4,c6,c8,c10,c12,c14
04e6d045-1491-4b30-8a68-fe8b774c7698,11,2,0,3,1,1,1,3,3,1,5
074782f3-ebbc-475c-8953-9ba91972697b,11,2,0,1,3,1,3,8,7,10,11
074782f3-ebbc-475c-8953-9ba91972697b,11,2,1,11,10,10,5,9,12,10,12
1876f5c9-68eb-42ee-b186-2d1e9818ac8e,11,2,0,6,8,3,1,1,6,11,13
66f8652e-8663-468e-9287-cb7a46f6045b,11,2,0,9,10,12,7,8,9,9,6
e6ee0df6-19d5-4ff2-9a15-339db20b21c0,11,2,0,13,9,10,12,12,7,7,6
e6ee0df6-19d5-4ff2-9a15-339db20b21c0,11,2,1,12,8,13,12,7,7,10,7
047e7ac7-29df-44b2-9127-634f58377161,11,3,0,1,3,0,1,3,6,6,5
145f4a17-c116-4557-8150-97c70f1724a1,11,3,0,11,9,11,12,11,13,8,7
16d23c04-0e68-425e-abfb-472f448eb705,11,3,0,12,7,11,6,6,11,10,10
313aaaa4-822f-407b-bd31-46821e7b5031,11,3,0,2,0,0,1,3,4,7,7
334c212f-a5cf-4c7d-8900-b7b97032c966,11,3,0,2,6,1,5,8,12,7,8
46e873fe-7e8f-4f42-86e6-130d9e17e913,11,3,0,2,7,2,0,1,3,1,6
4bb53eb1-5170-4d92-a6cc-c0a42119b6d1,11,3,0,4,2,5,7,10,11,10,10
4f1a39b5-d5bd-42fa-ab49-9b20138c7cd6,11,3,0,9,13,8,4,6,9,9,9
56216003-6bb6-4095-a47e-0aecb84e252d,11,3,0,6,9,12,12,10,11,13,13
5d4255a4-400e-4574-8b76-030e1387e2e2,11,3,0,3,1,6,1,3,3,3,3
6add53b9-0f7f-4bc0-a2b3-2ee838796c16,11,3,0,8,10,10,13,8,8,13,11
6df712e8-9dc4-42a3-815c-886029bba161,11,3,0,2,7,7,7,9,10,7,5
74700b67-6c79-41d8-b441-c7d96629348a,11,3,0,8,5,3,8,8,9,7,8
7678839e-1e66-479d-b45c-23f308dc632c,11,3,0,9,11,11,11,10,10,5,2
78e37b13-372f-4224-994c-7cad83dd21b2,11,3,0,8,11,11,12,10,10,5,6
7d850da0-a0b3-45f6-b1d1-bc7a1d17e623,11,3,0,5,7,10,10,10,5,6,6
7daa3f64-69b3-4dd0-b356-bd2e0679ed79,11,3,0,13,10,7,7,11,13,11,12
89ce3bfd-8a95-4e02-b4f7-07d822f4d981,11,3,0,7,10,12,9,11,7,8,8
95d1449c-faff-4094-972a-75327c7433a6,11,3,0,1,2,0,4,2,7,10,12
98ab6e84-ca5e-48ff-9e9b-d9c3362cb1cb,11,3,0,6,3,3,2,1,2,2,2
9b7d5d52-3ca8-4d26-b3a3-eb8c53ffe3a3,11,3,0,11,6,7,7,3,8,13,12
9b8b4bf0-5a02-4fba-8806-f288b63ea5bb,11,3,0,2,3,3,2,1,4,9,9
a71bf085-9392-415c-af85-3cf3620b80a1,11,3,0,10,13,9,4,0,4,6,7
b736d444-c048-4d7b-8c37-6e4bf71b7929,11,3,0,12,10,5,10,7,12,11,12
c5228e19-a464-4493-a144-577fbe5a93c0,11,3,0,6,6,1,4,3,0,0,0
d5ef6c12-42cf-428c-9580-14abe398b3a8,11,3,0,12,8,10,10,12,7,4,2
d5ef6c12-42cf-428c-9580-14abe398b3a8,11,3,1,9,10,6,11,11,12,12,10
073c530b-df9d-4c91-b908-b4d358110669,11,4,0,13,8,8,4,9,4,4,8
073c530b-df9d-4c91-b908-b4d358110669,11,4,1,7,11,11,10,10,11,7,4
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,11,4,0,2,4,6,11,12,8,10,10
187dff60-7de4-4744-8c8d-de13d1872aff,11,4,0,10,11,11,12,11,13,10,12
29f265a0-487c-4091-b317-c3c340cb6f03,11,4,0,3,1,6,5,0,0,3,8
351da7f1-4a8c-4aeb-9da3-fdabfb963033,11,4,0,3,6,4,7,5,9,8,10
351da7f1-4a8c-4aeb-9da3-fdabfb963033,11,4,1,7,7,10,8,10,10,7,10
395b3597-c87a-485b-9e03-68d376ff14f8,11,4,0,5,6,7,11,6,7,12,10
3d30c636-cd48-431a-9efe-6a2a12a31a0e,11,4,0,2,4,4,2,2,7,8,3
50bfb94c-9f02-4c70-9d15-2ec4113f95ee,11,4,0,8,12,9,6,3,6,4,5
58e39060-1d5d-4d52-b547-b87d0817e8c2,11,4,0,7,2,4,1,2,1,4,2
59362a23-3525-43be-a326-10e7352a243b,11,4,0,8,5,4,3,2,2,7,7
5bbc6ed7-2218-48d0-b896-99f45556f7b3,11,4,0,11,12,11,11,11,12,7,11
5bbc6ed7-2218-48d0-b896-99f45556f7b3,11,4,1,3,6,6,11,11,8,4,9
80f38b94-1b3c-4501-8147-8e607f7c69cd,11,4,0,5,0,0,3,2,2,2,5
87ba6975-5982-40a5-90ea-547f1b54654e,11,4,0,8,5,0,4,0,2,4,4
87ba6975-5982-40a5-90ea-547f1b54654e,11,4,1,3,3,0,5,1,6,4,4
91f57f95-d937-4878-a002-d1083e7d96d9,11,4,0,10,5,6,1,6,4,2,4
9b6f5b11-df53-4595-bf07-a39877fc26d4,11,4,0,5,5,6,9,9,12,8,8
9b6f5b11-df53-4595-bf07-a39877fc26d4,11,4,1,3,1,6,5,7,9,4,7
9dddd141-5e06-4bce-8e4d-a2acbab9d2ec,11,4,0,3,6,7,7,10,13,8,8
9dddd141-5e06-4bce-8e4d-a2acbab9d2ec,11,4,1,6,6,6,11,10,12,8,12
9dfb58e0-904b-4426-8d62-397ce2a18893,11,4,0,2,1,5,5,5,7,5,4
b0814035-5bb0-4472-92a8-507f2b2bf918,11,4,0,11,13,12,10,10,5,0,4
b2498045-c9f5-4d6a-ba29-f4141762d1d0,11,4,0,8,13,8,11,8,7,7,3
b2e028e3-e425-43e8-9875-bbc319497e52,11,4,0,8,6,3,6,6,6,1,6
b599350a-312a-4314-ae77-1957985efec4,11,4,0,9,6,6,1,4,6,5,6
b8d94df5-93a5-46b4-9d33-1d206745d194,11,4,0,1,4,4,0,0,0,2,1
e32fa8c0-d096-4bab-88ff-a4b3bfa4858e,11,4,0,5,3,5,5,8,13,8,6
e32fa8c0-d096-4bab-88ff-a4b3bfa4858e,11,4,1,1,3,4,7,9,9,12,11
f93c3ae5-fac0-4a7f-ae5a-6d6eafb919f6,11,4,0,13,11,8,3,8,8,3,5
fa178750-ac53-4f05-bc2a-f04c2a106f10,11,4,0,8,10,10,10,8,12,7,9
022818d8-fd8c-46ef-8eb2-3319b641554c,11,5,0,4,2,0,0,1,6,6,3
02e9d7d9-1108-4059-9d78-0f88919ba883,11,5,0,12,11,9,13,11,8,10,8
29f372fc-cc6b-4c65-8553-c5f62ddaf716,11,5,0,3,4,1,5,2,5,3,3
29f372fc-cc6b-4c65-8553-c5f62ddaf716,11,5,1,10,8,10,12,9,13,8,8
313ff831-2193-4ad4-9dda-1eaa67401a18,11,5,0,6,9,11,12,12,8,3,1
313ff831-2193-4ad4-9dda-1eaa67401a18,11,5,1,11,11,13,12,7,7,9,5
351f0cc5-3fb3-4bed-9616-94a2971e7c0d,11,5,0,13,8,8,3,4,3,0,3
6cce5152-d970-4a58-8f07-b4ea1eef32d5,11,5,0,7,2,2,1,1,4,3,3
6cce5152-d970-4a58-8f07-b4ea1eef32d5,11,5,1,2,2,2,5,0,3,1,1
7bb61df1-a193-42dc-abe0-c00eaa19ae3d,11,5,0,8,6,2,0,4,6,5,5
