raid,marker,tick,ticks_to_first_attack,detail
022818d8-fd8c-46ef-8eb2-3319b641554c,p1_first_auto,20,,20;34;48;62;76;90;104;118
022818d8-fd8c-46ef-8eb2-3319b641554c,phase2,137,16,153
022818d8-fd8c-46ef-8eb2-3319b641554c,phase3,406,12,418
029e4be8-0a1c-4a60-8538-7796e0d6c754,p1_first_auto,20,,20;34;48;62;76;90;104;118
029e4be8-0a1c-4a60-8538-7796e0d6c754,phase2,282,16,298
029e4be8-0a1c-4a60-8538-7796e0d6c754,phase3,809,12,821
02e9d7d9-1108-4059-9d78-0f88919ba883,p1_first_auto,20,,20;34;48;62;76;90;104;118
02e9d7d9-1108-4059-9d78-0f88919ba883,phase2,131,16,147
02e9d7d9-1108-4059-9d78-0f88919ba883,phase3,487,12,499
047e7ac7-29df-44b2-9127-634f58377161,p1_first_auto,20,,20;34;48;62;76;90
047e7ac7-29df-44b2-9127-634f58377161,phase2,95,16,111
047e7ac7-29df-44b2-9127-634f58377161,phase3,344,12,356
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,p1_first_auto,19,,19;33;47;61;75;89;103
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,phase2,115,16,131
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,phase3,362,12,374
305dfb7c-fd53-482c-9dad-a050913926c4,p1_first_auto,20,,20;34;48;62;76;90;104;118
305dfb7c-fd53-482c-9dad-a050913926c4,phase2,408,16,424
305dfb7c-fd53-482c-9dad-a050913926c4,phase3,1161,12,1173
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,p1_first_auto,20,,20;34;48;62;76;90;104
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,phase2,118,16,134
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,phase3,375,12,387
3d30c636-cd48-431a-9efe-6a2a12a31a0e,p1_first_auto,19,,19;33;47;61;75;89;103
3d30c636-cd48-431a-9efe-6a2a12a31a0e,phase2,119,16,135
3d30c636-cd48-431a-9efe-6a2a12a31a0e,phase3,421,12,433
4e638be0-4134-43e7-b847-bbeb862d25ce,p1_first_auto,19,,19;33;47;61;75;89;103
4e638be0-4134-43e7-b847-bbeb862d25ce,phase2,112,16,128
4e638be0-4134-43e7-b847-bbeb862d25ce,phase3,319,12,331
56216003-6bb6-4095-a47e-0aecb84e252d,p1_first_auto,20,,20;34;48;62;76
56216003-6bb6-4095-a47e-0aecb84e252d,phase2,89,16,105
56216003-6bb6-4095-a47e-0aecb84e252d,phase3,291,12,303
5905be94-8610-436b-805c-f4b10359086c,p1_first_auto,19,,19;33;47
5905be94-8610-436b-805c-f4b10359086c,phase2,61,16,77
5905be94-8610-436b-805c-f4b10359086c,phase3,257,12,269
5b6fc2b0-f267-4f13-8d1d-8bfdb8397c6d,p1_first_auto,20,,20;34;48;62;76;90;104;118
5b6fc2b0-f267-4f13-8d1d-8bfdb8397c6d,phase2,390,16,406
5b6fc2b0-f267-4f13-8d1d-8bfdb8397c6d,phase3,1296,12,1308
5d8a40ec-0c29-472b-a0c5-efb4dd472cc8,p1_first_auto,19,,19;33;47;61;75
5d8a40ec-0c29-472b-a0c5-efb4dd472cc8,phase2,90,16,106
5d8a40ec-0c29-472b-a0c5-efb4dd472cc8,phase3,289,12,301
605f697e-ba8b-4324-b550-7bf3c4c3ea02,p1_first_auto,20,,20;34;48;62;76;90;104;118
605f697e-ba8b-4324-b550-7bf3c4c3ea02,phase2,376,16,392
605f697e-ba8b-4324-b550-7bf3c4c3ea02,phase3,1037,12,1049
630f537c-d33a-45cb-9b00-f0dcadb0cc38,p1_first_auto,19,,19;33;47;61;75;89;103;117
630f537c-d33a-45cb-9b00-f0dcadb0cc38,phase2,148,16,164
630f537c-d33a-45cb-9b00-f0dcadb0cc38,phase3,414,12,426
74700b67-6c79-41d8-b441-c7d96629348a,p1_first_auto,19,,19;33;47
74700b67-6c79-41d8-b441-c7d96629348a,phase2,63,16,79
74700b67-6c79-41d8-b441-c7d96629348a,phase3,330,12,342
