raid,index,spawn_tick,despawn_tick,lifetime,heal_amount,heal_ticks,exhumed_count,p2_tick,p3_tick
0040a5bf-747d-4261-87b2-d3bdfeb4d654,0,8,19,11,16,11;12,9,92,232
0040a5bf-747d-4261-87b2-d3bdfeb4d654,1,16,27,11,16,19,9,92,232
0040a5bf-747d-4261-87b2-d3bdfeb4d654,2,24,35,11,16,,9,92,232
0040a5bf-747d-4261-87b2-d3bdfeb4d654,3,32,43,11,16,,9,92,232
0040a5bf-747d-4261-87b2-d3bdfeb4d654,4,40,51,11,16,,9,92,232
0040a5bf-747d-4261-87b2-d3bdfeb4d654,5,48,59,11,16,51,9,92,232
0040a5bf-747d-4261-87b2-d3bdfeb4d654,6,56,67,11,16,,9,92,232
0040a5bf-747d-4261-87b2-d3bdfeb4d654,7,64,75,11,16,74,9,92,232
0040a5bf-747d-4261-87b2-d3bdfeb4d654,8,72,83,11,16,,9,92,232
022818d8-fd8c-46ef-8eb2-3319b641554c,0,9,20,11,8,12;13;14;15,18,96,196
022818d8-fd8c-46ef-8eb2-3319b641554c,1,13,24,11,8,16,18,96,196
022818d8-fd8c-46ef-8eb2-3319b641554c,2,17,28,11,8,25,18,96,196
022818d8-fd8c-46ef-8eb2-3319b641554c,3,21,32,11,8,24,18,96,196
022818d8-fd8c-46ef-8eb2-3319b641554c,4,25,36,11,8,28,18,96,196
022818d8-fd8c-46ef-8eb2-3319b641554c,5,29,40,11,8,32;33,18,96,196
022818d8-fd8c-46ef-8eb2-3319b641554c,6,33,44,11,8,36;43,18,96,196
022818d8-fd8c-46ef-8eb2-3319b641554c,7,37,48,11,8,40;41;42;43,18,96,196
022818d8-fd8c-46ef-8eb2-3319b641554c,8,41,52,11,8,50;51,18,96,196
022818d8-fd8c-46ef-8eb2-3319b641554c,9,45,56,11,8,48;49,18,96,196
022818d8-fd8c-46ef-8eb2-3319b641554c,10,49,60,11,8,,18,96,196
022818d8-fd8c-46ef-8eb2-3319b641554c,11,53,64,11,8,56;57,18,96,196
022818d8-fd8c-46ef-8eb2-3319b641554c,12,57,68,11,8,60,18,96,196
022818d8-fd8c-46ef-8eb2-3319b641554c,13,61,72,11,8,64;65,18,96,196
022818d8-fd8c-46ef-8eb2-3319b641554c,14,65,76,11,8,68;69,18,96,196
022818d8-fd8c-46ef-8eb2-3319b641554c,15,69,80,11,8,,18,96,196
022818d8-fd8c-46ef-8eb2-3319b641554c,16,73,84,11,8,76;77;78,18,96,196
022818d8-fd8c-46ef-8eb2-3319b641554c,17,77,88,11,8,80;81,18,96,196
029e4be8-0a1c-4a60-8538-7796e0d6c754,0,8,19,11,20,11,7,100,456
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,21,32,11,20,,7,100,456
029e4be8-0a1c-4a60-8538-7796e0d6c754,2,33,44,11,20,36,7,100,456
029e4be8-0a1c-4a60-8538-7796e0d6c754,3,45,56,11,20,48,7,100,456
029e4be8-0a1c-4a60-8538-7796e0d6c754,4,57,68,11,20,60,7,100,456
029e4be8-0a1c-4a60-8538-7796e0d6c754,5,69,80,11,20,72,7,100,456
029e4be8-0a1c-4a60-8538-7796e0d6c754,6,81,92,11,20,84;85,7,100,456
02e9d7d9-1108-4059-9d78-0f88919ba883,0,11,22,11,8,14;15,18,99,515
02e9d7d9-1108-4059-9d78-0f88919ba883,1,15,26,11,8,,18,99,515
02e9d7d9-1108-4059-9d78-0f88919ba883,2,19,30,11,8,22,18,99,515
