# loc — 1357 Tombs of Amascut records from cache.osrs239
# id	symbol
15483	toa_vault_entry
29994	toa_vault_chest_loc0
41696	toa_vault_chest_notmine_standard
44008	toa_entrance_blocked
44009	toa_entrance_blocked_noop
44010	toa_entrance_open
44307	toa_entrance_steps01
44308	toa_entrance_steps02
44309	toa_entrance_steps03
44310	toa_entrance_steps04
44311	toa_entrance_steps05
44312	toa_entrance_steps06
44313	toa_entrance_steps07
44314	toa_entrance_steps08
44315	toa_entrance_steps09
44316	toa_entrance_steps10
44317	toa_entrance_steps11
44318	toa_entrance_steps12
44319	toa_entrance_steps13
44320	toa_entrance_steps14
44321	toa_entrance_steps15
44322	toa_entrance_steps16
44323	toa_entrance_steps17
44324	toa_entrance_steps18
44325	toa_entrance_steps19
44326	toa_entrance_steps20
44327	toa_entrance_steps21
44328	toa_entrance_steps22
44329	toa_entrance_steps23
44330	toa_entrance_steps24
44331	toa_entrance_steps25
44332	toa_entrance_steps26
44333	toa_entrance_steps27
44334	toa_entrance_steps28
44335	toa_entrance_steps29
44336	toa_entrance_steps30
44337	toa_entrance_steps31
44338	toa_entrance_steps32
44339	toa_entrance_steps33
44340	toa_entrance_steps34
44341	toa_entrance_steps35
44342	toa_entrance_steps36
44343	toa_entrance_steps37
44344	toa_entrance_steps38
44345	toa_entrance_steps39
44346	toa_entrance_steps40
44347	toa_entrance_steps41
44348	toa_entrance_steps42
44349	toa_entrance_steps43
44350	toa_entrance_steps44
44351	toa_entrance_steps45
44352	toa_entrance_steps_side01
44353	toa_entrance_steps_side02
44354	toa_entrance_steps_side03
44355	toa_entrance_steps_side04
44356	toa_entrance_steps_side05
44357	toa_entrance_steps_side06
44358	toa_entrance_steps_side07
44359	toa_entrance_steps_side08
44360	toa_entrance_steps_side09
44361	toa_entrance_steps_side10
44362	toa_entrance_steps_side11
44363	toa_entrance_steps_side12
44364	toa_entrance_steps_side13
44365	toa_entrance_steps_side14
44366	toa_entrance_steps_side15
44367	toa_entrance_steps_side16
44368	toa_entrance_steps_side17
44369	toa_entrance_steps_side18
44370	toa_entrance_steps_side19
44371	toa_entrance_steps_side20
44372	toa_entrance_lvl0_01_01
44373	toa_entrance_lvl0_01_02
44374	toa_entrance_lvl0_01_03
44375	toa_entrance_lvl0_01_04
44376	toa_entrance_lvl0_01_05
44377	toa_entrance_lvl0_01_06
44378	toa_entrance_lvl0_01_07
44379	toa_entrance_lvl0_01_08
44380	toa_entrance_lvl0_01_09
44381	toa_entrance_lvl0_01_10
44382	toa_entrance_lvl0_01_11
44383	toa_entrance_lvl0_01_12
44384	toa_entrance_lvl0_01_13
44385	toa_entrance_lvl0_01_14
44386	toa_entrance_lvl0_01_15
44387	toa_entrance_lvl0_02_01
44388	toa_entrance_lvl0_02_02
44389	toa_entrance_lvl0_02_03
44390	toa_entrance_lvl0_02_04
44391	toa_entrance_lvl0_02_05
44392	toa_entrance_lvl0_03_01
44393	toa_entrance_lvl0_03_02
44394	toa_entrance_lvl0_03_03
44395	toa_entrance_lvl0_03_04
44396	toa_entrance_lvl0_03_05
44397	toa_entrance_lvl0_04_01
44398	toa_entrance_lvl0_04_02
44399	toa_entrance_lvl0_04_03
44400	toa_entrance_lvl0_04_04
44401	toa_entrance_lvl0_04_05
44402	toa_entrance_lvl0_05_01
44403	toa_entrance_lvl0_05_02
44404	toa_entrance_lvl0_05_03
44405	toa_entrance_lvl0_05_04
44406	toa_entrance_lvl0_05_05
44407	toa_entrance_lvl0_06_01
44408	toa_entrance_lvl0_06_02
44409	toa_entrance_lvl0_06_03
44410	toa_entrance_lvl0_06_04
44411	toa_entrance_lvl0_06_05
44412	toa_entrance_lvl0_07_01
44413	toa_entrance_lvl0_07_02
44414	toa_entrance_lvl0_07_03
44415	toa_entrance_lvl0_07_04
44416	toa_entrance_lvl0_07_05
44417	toa_entrance_lvl0_01
44418	toa_entrance_lvl0_02
44419	toa_entrance_lvl0_03
44420	toa_entrance_lvl0_04
44421	toa_entrance_lvl0_05
44422	toa_entrance_lvl0_06
44423	toa_entrance_lvl0_07
44424	toa_entrance_lvl0_08
44425	toa_entrance_lvl0_09
44426	toa_entrance_lvl0_10
44427	toa_entrance_lvl0_11
44428	toa_entrance_lvl0_12
44429	toa_entrance_lvl0_13
44430	toa_entrance_lvl0_14
44431	toa_entrance_lvl0_15
44432	toa_entrance_lvl0_16
44433	toa_entrance_lvl0_17
44434	toa_entrance_lvl0_18
44435	toa_entrance_lvl0_19
44436	toa_entrance_lvl0_20
44437	toa_entrance_lvl0_21
44438	toa_entrance_lvl0_22
44439	toa_entrance_lvl0_23
44440	toa_entrance_lvl0_24
44441	toa_entrance_lvl0_25
44442	toa_entrance_lvl0_26
44443	toa_entrance_lvl0_27
44444	toa_entrance_lvl0_28
44445	toa_entrance_lvl0_29
44446	toa_entrance_lvl0_30
44447	toa_entrance_lvl0_31
44448	toa_entrance_lvl0_32
44449	toa_entrance_lvl0_33
44450	toa_entrance_lvl0_34
44451	toa_entrance_lvl0_35
44452	toa_entrance_lvl0_36
44453	toa_entrance_lvl0_37
44454	toa_entrance_lvl0_38
44455	toa_entrance_lvl0_39
44456	toa_entrance_lvl0_40
44457	toa_entrance_lvl0_41
44458	toa_entrance_lvl0_42
44459	toa_entrance_lvl0_43
44460	toa_entrance_lvl0_44
44461	toa_entrance_lvl0_45
44462	toa_entrance_lvl0_46
44463	toa_entrance_lvl0_47
44464	toa_entrance_lvl0_48
44465	toa_entrance_lvl0_49
44466	toa_entrance_lvl0_50
44467	toa_entrance_lvl0_51
44468	toa_entrance_lvl0_52
44469	toa_entrance_lvl0_53
44470	toa_entrance_lvl0_54
44471	toa_entrance_lvl0_55
44472	toa_entrance_lvl1_01
44473	toa_entrance_lvl1_01_blocked
44474	toa_entrance_lvl1_02
44475	toa_entrance_lvl1_03
44476	toa_entrance_lvl1_04
44477	toa_entrance_lvl1_05
44478	toa_entrance_lvl1_06
44479	toa_entrance_lvl1_07
44480	toa_entrance_lvl1_08
44481	toa_entrance_lvl1_09
44482	toa_entrance_lvl1_10
44483	toa_entrance_lvl1_11
44484	toa_entrance_lvl1_12
44485	toa_entrance_lvl1_13
44486	toa_entrance_lvl1_14
44487	toa_entrance_lvl1_15
44488	toa_entrance_lvl1_16
44489	toa_entrance_lvl1_17
44490	toa_entrance_lvl1_18
44491	toa_entrance_lvl1_19
44492	toa_entrance_lvl1_20
44493	toa_entrance_lvl1_21
44494	toa_entrance_lvl1_22
44495	toa_entrance_lvl1_23
44496	toa_entrance_lvl1_24
44497	toa_entrance_lvl1_25
44498	toa_entrance_lvl1_26
44499	toa_entrance_lvl1_27
44500	toa_entrance_lvl1_28
44501	toa_entrance_lvl1_29
44502	toa_entrance_lvl1_30
44503	toa_entrance_lvl1_31
44504	toa_entrance_lvl1_32
44505	toa_entrance_lvl1_33
44506	toa_entrance_lvl1_34
44507	toa_entrance_lvl1_35
44508	toa_entrance_lvl1_36
44509	toa_entrance_lvl1_37
44510	toa_entrance_lvl1_38
44511	toa_entrance_lvl1_39
44512	toa_entrance_lvl1_40
44513	toa_entrance_lvl1_41
44514	toa_entrance_lvl1_42
44515	toa_entrance_lvl1_43
44516	toa_entrance_lvl1_44
44517	toa_entrance_lvl1_45
44518	toa_entrance_lvl1_46
44519	toa_entrance_lvl1_47
44520	toa_entrance_lvl1_48
44521	toa_entrance_lvl1_49
44522	toa_entrance_lvl1_50
44523	toa_entrance_lvl1_51
44524	toa_entrance_lvl1_52
44525	toa_entrance_lvl1_53
44526	toa_entrance_lvl1_54
44527	toa_entrance_lvl1_55
44528	toa_entrance_lvl1_56
44529	toa_entrance_lvl1_57
44530	toa_entrance_lvl1_58
44531	toa_entrance_lvl1_59
44532	toa_entrance_lvl1_60
44533	toa_entrance_lvl1_61
44534	toa_entrance_lvl1_62
44535	toa_entrance_lvl1_63
44536	toa_entrance_lvl2_01
44537	toa_entrance_lvl2_02
44538	toa_entrance_lvl2_03
44539	toa_entrance_lvl2_04
44540	toa_entrance_lvl2_05
44541	toa_entrance_lvl2_06
44542	toa_entrance_lvl2_07
44543	toa_entrance_lvl2_08
44544	toa_entrance_lvl2_09
44545	toa_vault_chest_loc1
44547	toa_vault_chest_loc2
44596	toa_entrance
44786	toa_vault_chest_mine_standard
44787	toa_vault_chest_open
44788	toa_vault_chest_open02
44789	toa_vault_chest_open03
44790	toa_vault_chest_empty
44791	toa_vault_chest_empty02
44792	toa_vault_chest_empty03
44793	toa_vault_chest_scenery
44794	toa_vault_pillar01
44795	toa_vault_pillar02
44796	toa_vault_pillar02_mirror
44797	toa_vault_pillar03
44798	toa_vault_pillar03_mirror
44799	toa_vault_pillar03_broken01
44800	toa_vault_pillar03_broken01_mirror
44801	toa_vault_pillar03_broken02
44802	toa_vault_pillar03_broken03
44823	toa_vault_pillar03_broken03_mirror
44824	toa_vault_obelisk01
44825	toa_vault_sarcophagus_closed
44826	toa_vault_sarcophagus_closed_rare
44934	toa_vault_sarcophagus_open
44935	toa_vault_loot01
44938	toa_vault_barrier
44939	toa_vault_barrier_rare
44940	toa_vault_scrolls01
44941	toa_vault_scrolls02
44942	toa_vault_scoreboard
44943	toa_vault_wall_scrolls01
44944	toa_vault_wall_scrolls02
44945	toa_vault_wall01
44946	toa_vault_wall02
44947	toa_vault_wall03
44948	toa_vault_wall04
44949	toa_vault_wall_trim01
44950	toa_vault_wall_trim02
44951	toa_vault_wall_trim03
44952	toa_vault_wall_trim04
44953	toa_vault_rubble01
44954	toa_vault_rubble02
44955	toa_vault_tile01
44956	toa_vault_tile02
44957	toa_vault_stairs01
44958	toa_vault_stairs02
44959	toa_vault_stairs03
44960	toa_vault_stairs02_corner
44976	toa_vault_skewtrim01
44977	toa_vault_skewtrim01_corner
44978	toa_vault_skewtrim01_left
44979	toa_vault_skewtrim01_right
44980	toa_vault_skewtrim02
44981	toa_vault_skewtrim02_corner
44982	toa_vault_skewtrim02_left
44983	toa_vault_skewtrim02_right
44984	toa_vault_book_sacks
44985	toa_vault_treasure01
44986	toa_vault_treasure02
44987	toa_vault_treasure03
44988	toa_vault_treasure04
44989	toa_vault_treasure05
44990	toa_vault_treasure06
44991	toa_vault_treasure07
44992	toa_vault_treasure08
44993	toa_vault_pottery01
44994	toa_vault_pottery02
44995	toa_vault_pottery03
44996	toa_vault_tile_glow_standard
44997	toa_vault_tile_glow_rare
44998	toa_wall_tomb01_top01
44999	toa_wall_tomb01_variant01
45000	toa_wall_tomb01_variant02
45001	toa_wall_tomb01_variant03
45002	toa_wall_tomb01_variant01_bright
45003	toa_wall_tomb01_variant01_dark01
45004	toa_wall_tomb01_variant01_grey01
45005	toa_wall_tomb01_variant01_grey02
45006	toa_wall_tomb01_variant01_grey03
45007	toa_wall_tomb01_variant01_grey04
45008	toa_wall_tomb01_variant01_grey05
45009	toa_wall_tomb01_variant01_black01
45010	toa_wall_tomb01_skull01
45011	toa_wall_tomb02_variant01
45012	toa_wall_tomb02_variant02
45013	toa_wall_tomb02_cap01
45014	toa_wall_tomb02_cap01_m
45015	toa_wall_tomb03_variant01
45016	toa_wall_tomb03_variant02
45017	toa_wall_tomb03_variant01_het01
45018	toa_wall_tomb03_variant02_het01
45019	toa_wall_tomb03_pickaxe01_het01
45020	toa_wall_tomb03_variant01_kephri01
45021	toa_wall_tomb03_variant02_kephri01
45022	toa_wall_tomb03_variant01_apmeken01
45023	toa_wall_tomb03_variant02_apmeken01
45024	toa_wall_tomb03_tunnel01_apmeken01
45025	toa_wall_tomb04_variant01
45026	toa_wall_tomb04_variant02
45027	toa_wall_tomb04_brick01
45028	toa_wall_tomb04_brick01_het
45029	toa_wall_tomb04_brick02_het
45030	toa_wall_tomb04_transition01
