Baboon (Tombs of Amascut)	MISSING		
Tombs of Amascut/Rewards	MISSING		
Tombs of Amascut/Invocations	MISSING		
Tombs of Amascut	15285447	2026-08-01	wiki_Tombs_of_Amascut.wikitext
Osmumten	14978163	2025-09-02	wiki_Osmumten.wikitext
Ba-Ba	15200300	2026-04-28	wiki_Ba_Ba.wikitext
Zebak	15255510	2026-07-06	wiki_Zebak.wikitext
Kephri	15200302	2026-04-28	wiki_Kephri.wikitext
Akkha	15295314	2026-08-12	wiki_Akkha.wikitext
Akkha's Shadow	15258628	2026-07-09	wiki_Akkha_s_Shadow.wikitext
Tumeken's Warden	15272444	2026-07-22	wiki_Tumeken_s_Warden.wikitext
Elidinis' Warden	15272445	2026-07-22	wiki_Elidinis_Warden.wikitext
Chest (Tombs of Amascut)	15304285	2026-08-17	wiki_Chest_Tombs_of_Amascut.wikitext
Tombs of Amascut/Strategies	15303407	2026-08-16	wiki_Tombs_of_Amascut_Strategies.wikitext
Obelisk (Tombs of Amascut)	15200324	2026-04-28	wiki_Obelisk_Tombs_of_Amascut.wikitext
Path of Het	15202199	2026-04-29	wiki_Path_of_Het.wikitext
Path of Crondis	14932292	2025-07-04	wiki_Path_of_Crondis.wikitext
Path of Apmeken	14932291	2025-07-04	wiki_Path_of_Apmeken.wikitext
Path of Scabaras	14932294	2025-07-04	wiki_Path_of_Scabaras.wikitext
Lightbearer	15299656	2026-08-14	wiki_Lightbearer.wikitext
Keris partisan	15254688	2026-07-05	wiki_Keris_partisan.wikitext
Osmumten's fang	15236139	2026-06-19	wiki_Osmumten_s_fang.wikitext
Elidinis' ward	15236925	2026-06-21	wiki_Elidinis_ward.wikitext
Masori mask	15190624	2026-04-22	wiki_Masori_mask.wikitext
Tumeken's shadow	15276739	2026-07-27	wiki_Tumeken_s_shadow.wikitext
Thread of elidinis	15226871	2026-06-06	wiki_Thread_of_elidinis.wikitext
Eye of the corruptor	15190979	2026-04-22	wiki_Eye_of_the_corruptor.wikitext
Jewel of the sun	15190980	2026-04-22	wiki_Jewel_of_the_sun.wikitext
Breach of the scarab	15190981	2026-04-22	wiki_Breach_of_the_scarab.wikitext
Cursed phalanx	15191047	2026-04-22	wiki_Cursed_phalanx.wikitext
Spitting Scarab	15200313	2026-04-28	wiki_Spitting_Scarab.wikitext
Soldier Scarab	15200314	2026-04-28	wiki_Soldier_Scarab.wikitext
Scarab Swarm (Tombs of Amascut)	15216100	2026-05-24	wiki_Scarab_Swarm_Tombs_of_Amascut.wikitext
Arcane Scarab	15267014	2026-07-18	wiki_Arcane_Scarab.wikitext
Agile Scarab	15200317	2026-04-28	wiki_Agile_Scarab.wikitext
Tumeken's guardian	15196966	2026-04-25	wiki_Tumeken_s_guardian.wikitext
Baboon	15200320	2026-04-28	wiki_Baboon.wikitext
Ancient key (Tombs of Amascut)	15191058	2026-04-22	wiki_Ancient_key_Tombs_of_Amascut.wikitext
Ancient remnant	15238889	2026-06-24	wiki_Ancient_remnant.wikitext
