source_material	dest_texture	face_chroma_hsl16	tint_rgb	faces
715	307	0	#7F7F7F	247
715	307	3328	#9F715F	3
715	307	5120	#7F7F7F	10
715	307	5248	#8F7E6F	19
715	307	5376	#9F7D5F	74
715	307	6144	#7F7F7F	46
715	307	7552	#AF8E4F	1
715	307	9216	#7F7F7F	24
715	307	9472	#9F955F	1
715	307	11264	#7F7F7F	6
715	307	11392	#8E8F6F	19
715	307	11520	#9D9F5F	59
715	307	12544	#979F5F	1
715	307	14592	#8B9F5F	10
715	307	15616	#859F5F	1
715	307	18688	#739F5F	256
715	307	19712	#6D9F5F	36
1098	324	2944	#EF390F	54
1098	324	15104	#A3DF1F	82
1098	324	27264	#2FCF75	82
1098	324	41856	#0F47EF	6
1098	324	43904	#0F1DEF	7
1098	324	45952	#2B0FEF	8
1098	324	49024	#6A0FEF	6
1153	326	26880	#5F9F7B	61
1154	327	26752	#6F8F7D	24
1155	328	26880	#5F9F7B	18
1156	329	26624	#7F7F7F	93
1156	329	26880	#5F9F7B	50
1158	330	26752	#6F8F7D	12
1158	330	26880	#5F9F7B	174
1186	331	896	#EF0F0F	32
1218	334	8064	#EFA20F	5
1218	334	40960	#7F7F7F	212
1218	334	54272	#7F7F7F	212
1218	334	56320	#7F7F7F	212
1219	335	8064	#EFA20F	46
1219	335	10752	#BFB73F	16
1229	336	29440	#1FDF97	144
1248	338	26752	#6F8F7D	44
1249	339	26752	#6F8F7D	54
1283	341	26752	#6F8F7D	373
1283	341	26880	#5F9F7B	149
1283	341	32896	#6F8F8F	166
1283	341	33024	#5F9F9F	76
1283	341	38016	#6F808F	102
1283	341	38144	#5F819F	22
1380	344	18176	#6DDF1F	2
1380	344	26496	#0FEF5C	2
1380	344	34688	#0FDAEF	2
1380	344	37760	#0F9BEF	2
1382	345	8448	#9F8F5F	56
1401	351	7040	#EF8D0F	52
1401	351	49408	#7F5F9F	6
1530	375	10752	#BFB73F	30
1530	375	11648	#ACAF4F	37
1534	376	8064	#EFA20F	9
1534	376	8448	#9F8F5F	4
1534	376	11648	#ACAF4F	71
1534	376	14592	#8B9F5F	4
1534	376	18688	#739F5F	4
1554	380	512	#BF3F3F	210
1554	380	2560	#BF573F	36
1652	391	38912	#7F7F7F	8
1790	401	38912	#7F7F7F	40
1809	405	38016	#6F808F	10
1835	409	26624	#7F7F7F	51
1835	409	26880	#5F9F7B	172
1836	410	26752	#6F8F7D	265
1836	410	26880	#5F9F7B	112
1838	411	26624	#7F7F7F	51
1838	411	26880	#5F9F7B	172
1891	412	5376	#9F7D5F	304
2104	421	10752	#BFB73F	12
2109	424	0	#7F7F7F	12
2113	427	2944	#EF390F	3018
2113	427	15104	#A3DF1F	2443
2113	427	27264	#2FCF75	2293
2117	431	0	#7F7F7F	812
2119	432	29184	#3FBF8F	20
2129	438	640	#CF2F2F	119
2129	438	27264	#2FCF75	320
2139	445	0	#7F7F7F	12
2150	451	26752	#6F8F7D	160
2151	452	26752	#6F8F7D	160
2152	453	26624	#7F7F7F	816
2154	454	640	#CF2F2F	32
2154	454	24192	#2FCF48	64
2162	457	640	#CF2F2F	334
2162	457	27264	#2FCF75	784
2163	458	26752	#6F8F7D	80
2164	459	40960	#7F7F7F	144
2164	459	54272	#7F7F7F	144
2164	459	56320	#7F7F7F	144
2170	461	640	#CF2F2F	80
2170	461	27264	#2FCF75	160
