bit,struct,name,level,effect,sprite_on,sprite_off,members
0,888,Protect Item,50,Keep 1 extra item if you die,2329,2355,1
1,889,Sap Warrior,50,"Drains 10% of enemy Attack, Strength and Defence, increasing to 20% over time.",2325,2351,1
2,890,Sap Ranger,52,"Drains 10% of enemy Ranged and Defence, increasing to 20% over time.",2326,2352,1
3,891,Sap Mage,54,"Drains 10% of enemy Magic and Defence, increasing to 20% over time.",2324,2350,1
4,892,Sap Spirit,56,Drains enemy special attack energy.,2323,2349,1
5,893,Berserker,59,Boosted stats last 15% longer,2345,2371,1
6,894,Deflect Summoning,62,"Reduces damage dealt from Summoning scrolls, prevents the use of a familiar's special attack, and can deflect some of the damage back to the attacker.",2339,2365,1
7,895,Deflect Magic,65,Protects against magical attacks and can deflect some of the damage back to the attacker.,2341,2367,1
8,896,Deflect Missiles,68,Protects against ranged attacks and can deflect some of the damage back to the attacker.,2340,2366,1
9,897,Deflect Melee,71,Protects against melee attacks and can deflect some of the damage back to the attacker.,2328,2354,1
10,898,Leech Attack,74,"Boosts Attack by 5%, increasing to 10% over time, while draining enemy Attack by 10%, increasing to 25% over time.",2331,2357,1
11,899,Leech Ranged,76,"Boosts Ranged by 5%, increasing to 10% over time, while draining enemy Ranged by 10%, increasing to 25% over time.",2332,2358,1
12,900,Leech Magic,78,"Boosts Magic by 5%, increasing to 10% over time, while draining enemy Magic by 10%, increasing to 25% over time.",2333,2359,1
13,901,Leech Defence,80,"Boosts Defence by 5%, increasing to 10% over time, while draining enemy Defence by 10%, increasing to 25% over time.",2334,2360,1
14,902,Leech Strength,82,"Boosts Strength by 5%, increasing to 10% over time, while draining enemy Strength by 10%, increasing to 25% over time.",2336,2362,1
15,903,Leech Energy,84,"Drains enemy run energy, while increasing your own",2337,2363,1
16,904,Leech Special Attack,86,"Drains enemy special attack energy, while increasing your own",2346,2372,1
17,905,Wrath,89,Inflicts damage to nearby targets if you die,2322,2348,1
18,906,Soul Split,92,1/4 of damage dealt is also removed from opponent's Prayer and added to your Hitpoints,2330,2356,1
19,907,Turmoil,95,"Increases Attack and Defence by 15%, plus 15% of enemy's level, and Strength by 23%, plus 10% of enemy's level.",2321,2347,1
