spotanim,model,anim,ambient,contrast,recol1s,recol1d,recol2s,recol2d,other
2213,50819,seq_12568,64,,,,,,
2214,50813,seq_12570,64,,20287,939,20294,948,opcode10=yes
2215,50815,seq_12571,64,,20287,939,20294,948,
2216,50816,seq_12572,64,,20287,939,20294,948,
2217,50813,seq_12570,64,,20287,20395,20294,20404,opcode10=yes
2218,50815,seq_12571,64,,20287,20395,20294,20404,
2219,50816,seq_12572,64,,20287,20395,20294,20404,
2220,50813,seq_12570,64,,20287,40648,20294,40656,opcode10=yes
2221,50815,seq_12571,64,,20287,40648,20294,40656,
2222,50816,seq_12572,64,,20287,40648,20294,40656,
2223,50813,seq_12570,64,,20287,38003,20294,38003,opcode10=yes
2224,50815,seq_12571,64,,20287,38003,20294,38003,
2225,50816,seq_12572,64,,20287,38003,20294,38003,
2226,50778,seq_12566,64,,,,,,
2227,50779,seq_12574,64,,,,,,
2228,50782,seq_12574,64,,,,,,
2229,50783,seq_12574,64,,,,,,
2230,50780,seq_12574,64,,,,,,
2231,50800,seq_12577,64,,,,,,
2232,50792,seq_12578,64,,,,,,opcode10=yes
2233,50792,seq_12579,64,,,,,,opcode10=yes
2234,50786,seq_12576,64,,,,,,
2235,50805,seq_12576,64,,,,,,
2236,50794,seq_12577,64,,,,,,
2237,50793,seq_12579,64,,,,,,opcode10=yes
2238,50793,seq_12578,64,,,,,,opcode10=yes
2239,50790,seq_12576,64,,,,,,
2240,50789,seq_12577,64,,,,,,
2241,50788,seq_12579,64,,,,,,opcode10=yes
2242,50788,seq_12578,64,,,,,,opcode10=yes
2243,50801,seq_12576,64,,,,,,
2244,50802,seq_12577,64,,,,,,
2245,50797,seq_12579,64,,,,,,opcode10=yes
2246,50797,seq_12578,64,,,,,,opcode10=yes
2247,50803,seq_12576,64,,,,,,
2248,50809,seq_12577,64,,,,,,
2249,50804,seq_12579,64,,,,,,opcode10=yes
2250,50804,seq_12578,64,,,,,,opcode10=yes
2251,50810,seq_12576,64,,,,,,
2252,50806,seq_12577,64,,,,,,
2253,50791,seq_12579,64,,,,,,opcode10=yes
2254,50791,seq_12578,64,,,,,,opcode10=yes
2255,50798,seq_12576,64,,,,,,
2256,50785,seq_12577,64,,,,,,
2257,50799,seq_12579,64,,,,,,opcode10=yes
2258,50799,seq_12578,64,,,,,,opcode10=yes
2259,50818,seq_12580,64,,,,,,
2260,50818,seq_12581,64,,,,,,
2261,50818,seq_12582,64,,,,,,
2262,50817,seq_12585,64,,,,,,opcode10=yes
2263,50817,seq_12586,64,,,,,,
2264,50817,seq_12587,64,,,,,,
2265,50817,seq_12588,64,,,,,,
2266,50812,seq_12590,,,,,,,
