sprite,block,frames,palette,w,h,inner_w,inner_h,off_x,off_y
2321,A,1,15,30,30,30,20,0,4
2322,A,1,16,30,30,19,23,5,3
2323,A,1,13,30,30,24,22,4,4
2324,A,1,19,30,30,22,25,3,1
2325,A,1,23,30,30,21,22,3,4
2326,A,1,17,30,30,22,22,3,4
2327,A,1,12,30,30,23,25,3,1
2328,A,1,26,30,30,26,26,2,2
2329,A,1,30,30,30,25,27,4,1
2330,A,1,23,30,30,24,20,3,5
2331,A,1,22,30,30,26,23,2,3
2332,A,1,14,30,30,25,23,2,3
2333,A,1,18,30,30,27,24,0,2
2334,A,1,20,30,30,23,23,3,3
2335,A,1,29,30,30,26,23,1,3
2336,A,1,15,30,30,26,24,1,2
2337,A,1,13,30,30,24,23,3,3
2338,A,1,11,30,30,25,23,2,3
2339,A,1,21,30,30,27,26,1,2
2340,A,1,17,30,30,27,26,1,2
2341,A,1,17,30,30,26,26,1,2
2342,A,1,30,30,30,25,27,3,2
2343,A,1,29,30,30,26,27,2,1
2344,A,1,33,30,30,27,26,1,2
2345,A,1,7,30,30,20,28,4,1
2346,A,1,17,30,30,23,23,4,4
2347,B,1,9,30,30,30,20,0,4
2348,B,1,15,30,30,19,23,5,3
2349,B,1,15,30,30,24,22,4,4
2350,B,1,11,30,30,22,25,3,1
2351,B,1,16,30,30,21,22,3,4
2352,B,1,11,30,30,22,22,3,4
2353,B,1,11,30,30,23,25,3,1
2354,B,1,16,30,30,26,26,2,2
2355,B,1,15,30,30,25,27,4,1
2356,B,1,15,30,30,24,20,3,5
2357,B,1,15,30,30,26,23,2,3
2358,B,1,10,30,30,25,23,2,3
2359,B,1,14,30,30,27,24,0,2
2360,B,1,15,30,30,23,23,3,3
2361,B,1,16,30,30,26,23,1,3
2362,B,1,13,30,30,26,24,1,2
2363,B,1,11,30,30,24,23,3,3
2364,B,1,14,30,30,25,23,2,3
2365,B,1,15,30,30,27,26,1,2
2366,B,1,11,30,30,27,26,1,2
2367,B,1,12,30,30,26,26,1,2
2368,B,1,16,30,30,25,27,3,2
2369,B,1,16,30,30,26,27,2,1
2370,B,1,16,30,30,27,26,1,2
2371,B,1,9,30,30,20,28,4,1
2372,B,1,14,30,30,23,23,4,4
