facing,yaw,cycle,body_frame,blade_x,blade_y,blade_z,blade_travel,blade_world_x,blade_world_z,spot_frame,lit_faces,total_faces,alpha_min,alpha_max,arc_x,arc_y,arc_z,arc_world_x,arc_world_z,gap_xz
south,0,0,0,-38.5,-201.3,-42.8,0.0,-38.5,-42.8,,,,,,,,,,,
south,0,1,1,-29.7,-189.8,-75.8,36.1,-29.7,-75.8,,,,,,,,,,,
south,0,2,1,-29.7,-189.8,-75.8,0.0,-29.7,-75.8,,,,,,,,,,,
south,0,3,2,-19.8,-172.2,-112.9,42.3,-19.8,-112.9,,,,,,,,,,,
south,0,4,2,-19.8,-172.2,-112.9,0.0,-19.8,-112.9,,,,,,,,,,,
south,0,5,3,-30.6,-180.9,-130.6,22.4,-30.6,-130.6,,,,,,,,,,,
south,0,6,3,-30.6,-180.9,-130.6,0.0,-30.6,-130.6,,,,,,,,,,,
south,0,7,4,-53.0,-186.8,-138.2,24.4,-53.0,-138.2,,,,,,,,,,,
south,0,8,4,-53.0,-186.8,-138.2,0.0,-53.0,-138.2,,,,,,,,,,,
south,0,9,5,-63.2,-166.9,-140.8,22.5,-63.2,-140.8,,,,,,,,,,,
south,0,10,5,-63.2,-166.9,-140.8,0.0,-63.2,-140.8,,,,,,,,,,,
south,0,11,6,-102.7,-158.0,-113.0,49.2,-102.7,-113.0,,,,,,,,,,,
south,0,12,6,-102.7,-158.0,-113.0,0.0,-102.7,-113.0,,,,,,,,,,,
south,0,13,7,-117.8,-166.0,-86.3,31.7,-117.8,-86.3,,,,,,,,,,,
south,0,14,8,-145.0,-173.5,-41.3,53.1,-145.0,-41.3,,,,,,,,,,,
south,0,15,9,-149.4,-184.4,7.7,50.5,-149.4,7.7,,,,,,,,,,,
south,0,16,9,-149.4,-184.4,7.7,0.0,-149.4,7.7,0,0,22,255,255,,,,,,
south,0,17,10,-145.4,-180.2,54.7,47.4,-145.4,54.7,0,0,22,255,255,,,,,,
south,0,18,10,-145.4,-180.2,54.7,0.0,-145.4,54.7,0,0,22,255,255,,,,,,
south,0,19,10,-145.4,-180.2,54.7,0.0,-145.4,54.7,1,0,22,255,255,,,,,,
south,0,20,10,-145.4,-180.2,54.7,0.0,-145.4,54.7,1,0,22,255,255,,,,,,
south,0,21,10,-145.4,-180.2,54.7,0.0,-145.4,54.7,1,0,22,255,255,,,,,,
south,0,22,11,-125.9,-181.6,97.3,46.9,-125.9,97.3,2,0,22,255,255,,,,,,
south,0,23,11,-125.9,-181.6,97.3,0.0,-125.9,97.3,2,0,22,255,255,,,,,,
south,0,24,11,-125.9,-181.6,97.3,0.0,-125.9,97.3,3,0,22,255,255,,,,,,
south,0,25,11,-125.9,-181.6,97.3,0.0,-125.9,97.3,3,0,22,255,255,,,,,,
south,0,26,11,-125.9,-181.6,97.3,0.0,-125.9,97.3,4,1,22,0,255,40.0,-100.0,153.7,40.0,153.7,175.2
south,0,27,11,-125.9,-181.6,97.3,0.0,-125.9,97.3,4,1,22,0,255,40.0,-100.0,153.7,40.0,153.7,175.2
south,0,28,11,-125.9,-181.6,97.3,0.0,-125.9,97.3,5,3,22,0,255,22.9,-100.0,137.2,22.9,137.2,154.0
south,0,29,11,-125.9,-181.6,97.3,0.0,-125.9,97.3,5,3,22,0,255,22.9,-100.0,137.2,22.9,137.2,154.0
south,0,30,11,-125.9,-181.6,97.3,0.0,-125.9,97.3,6,9,22,0,255,-8.9,-100.0,95.7,-8.9,95.7,116.9
south,0,31,12,-92.8,-156.8,-110.1,211.5,-92.8,-110.1,6,9,22,0,255,-8.9,-100.0,95.7,-8.9,95.7,222.3
south,0,32,12,-92.8,-156.8,-110.1,0.0,-92.8,-110.1,7,13,22,0,255,-19.5,-100.0,64.5,-19.5,64.5,189.4
south,0,33,12,-92.8,-156.8,-110.1,0.0,-92.8,-110.1,7,13,22,0,255,-19.5,-100.0,64.5,-19.5,64.5,189.4
south,0,34,12,-92.8,-156.8,-110.1,0.0,-92.8,-110.1,7,13,22,0,255,-19.5,-100.0,64.5,-19.5,64.5,189.4
south,0,35,13,-21.1,-121.6,-142.4,86.2,-21.1,-142.4,8,17,22,0,255,-20.9,-100.0,33.9,-20.9,33.9,176.3
south,0,36,13,-21.1,-121.6,-142.4,0.0,-21.1,-142.4,8,17,22,0,255,-20.9,-100.0,33.9,-20.9,33.9,176.3
south,0,37,13,-21.1,-121.6,-142.4,0.0,-21.1,-142.4,8,17,22,0,255,-20.9,-100.0,33.9,-20.9,33.9,176.3
south,0,38,13,-21.1,-121.6,-142.4,0.0,-21.1,-142.4,8,17,22,0,255,-20.9,-100.0,33.9,-20.9,33.9,176.3
south,0,39,14,61.5,-64.3,-109.5,105.8,61.5,-109.5,8,17,22,0,255,-20.9,-100.0,33.9,-20.9,33.9,165.5
south,0,40,14,61.5,-64.3,-109.5,0.0,61.5,-109.5,9,22,22,0,112,-10.6,-100.0,-0.5,-10.6,-0.5,130.8
south,0,41,14,61.5,-64.3,-109.5,0.0,61.5,-109.5,9,22,22,0,112,-10.6,-100.0,-0.5,-10.6,-0.5,130.8
south,0,42,14,61.5,-64.3,-109.5,0.0,61.5,-109.5,9,22,22,0,112,-10.6,-100.0,-0.5,-10.6,-0.5,130.8
south,0,43,14,61.5,-64.3,-109.5,0.0,61.5,-109.5,9,22,22,0,112,-10.6,-100.0,-0.5,-10.6,-0.5,130.8
