facing,yaw,cycle,body_frame,blade_x,blade_y,blade_z,blade_travel,blade_world_x,blade_world_z,spot_frame,lit_faces,total_faces,alpha_min,alpha_max,arc_x,arc_y,arc_z,arc_world_x,arc_world_z,gap_xz
east,1536,0,0,-38.5,-201.3,-42.8,0.0,42.8,-38.5,0,0,22,255,255,,,,,,
east,1536,1,1,-29.7,-189.8,-75.8,36.1,75.8,-29.7,0,0,22,255,255,,,,,,
east,1536,2,1,-29.7,-189.8,-75.8,0.0,75.8,-29.7,0,0,22,255,255,,,,,,
east,1536,3,2,-19.8,-172.2,-112.9,42.3,112.9,-19.8,1,0,22,255,255,,,,,,
east,1536,4,2,-19.8,-172.2,-112.9,0.0,112.9,-19.8,1,0,22,255,255,,,,,,
east,1536,5,3,-30.6,-180.9,-130.6,22.4,130.6,-30.6,1,0,22,255,255,,,,,,
east,1536,6,3,-30.6,-180.9,-130.6,0.0,130.6,-30.6,2,0,22,255,255,,,,,,
east,1536,7,4,-53.0,-186.8,-138.2,24.4,138.2,-53.0,2,0,22,255,255,,,,,,
east,1536,8,4,-53.0,-186.8,-138.2,0.0,138.2,-53.0,3,0,22,255,255,,,,,,
east,1536,9,5,-63.2,-166.9,-140.8,22.5,140.8,-63.2,3,0,22,255,255,,,,,,
east,1536,10,5,-63.2,-166.9,-140.8,0.0,140.8,-63.2,4,1,22,0,255,-153.7,-96.0,-89.0,89.0,-153.7,104.3
east,1536,11,6,-102.7,-158.0,-113.0,49.2,113.0,-102.7,4,1,22,0,255,-153.7,-96.0,-89.0,89.0,-153.7,56.3
east,1536,12,6,-102.7,-158.0,-113.0,0.0,113.0,-102.7,5,3,22,0,255,-137.2,-96.0,-106.0,106.0,-137.2,35.2
east,1536,13,7,-117.8,-166.0,-86.3,31.7,86.3,-117.8,5,3,22,0,255,-137.2,-96.0,-106.0,106.0,-137.2,27.7
east,1536,14,8,-145.0,-173.5,-41.3,53.1,41.3,-145.0,6,9,22,0,255,-95.7,-96.0,-137.3,137.3,-95.7,107.9
east,1536,15,9,-149.4,-184.4,7.7,50.5,-7.7,-149.4,6,9,22,0,255,-95.7,-96.0,-137.3,137.3,-95.7,154.7
east,1536,16,9,-149.4,-184.4,7.7,0.0,-7.7,-149.4,7,13,22,0,255,-64.7,-96.0,-147.7,147.7,-64.7,177.0
east,1536,17,10,-145.4,-180.2,54.7,47.4,-54.7,-145.4,7,13,22,0,255,-64.7,-96.0,-147.7,147.7,-64.7,218.0
east,1536,18,10,-145.4,-180.2,54.7,0.0,-54.7,-145.4,7,13,22,0,255,-64.7,-96.0,-147.7,147.7,-64.7,218.0
east,1536,19,10,-145.4,-180.2,54.7,0.0,-54.7,-145.4,8,17,22,0,255,-34.3,-96.0,-149.1,149.1,-34.3,232.1
east,1536,20,10,-145.4,-180.2,54.7,0.0,-54.7,-145.4,8,17,22,0,255,-34.3,-96.0,-149.1,149.1,-34.3,232.1
east,1536,21,10,-145.4,-180.2,54.7,0.0,-54.7,-145.4,8,17,22,0,255,-34.3,-96.0,-149.1,149.1,-34.3,232.1
east,1536,22,11,-125.9,-181.6,97.3,46.9,-97.3,-125.9,8,17,22,0,255,-34.3,-96.0,-149.1,149.1,-34.3,262.8
east,1536,23,11,-125.9,-181.6,97.3,0.0,-97.3,-125.9,8,17,22,0,255,-34.3,-96.0,-149.1,149.1,-34.3,262.8
east,1536,24,11,-125.9,-181.6,97.3,0.0,-97.3,-125.9,9,22,22,0,112,-0.0,-96.0,-139.0,139.0,-0.0,267.7
east,1536,25,11,-125.9,-181.6,97.3,0.0,-97.3,-125.9,9,22,22,0,112,-0.0,-96.0,-139.0,139.0,-0.0,267.7
east,1536,26,11,-125.9,-181.6,97.3,0.0,-97.3,-125.9,9,22,22,0,112,-0.0,-96.0,-139.0,139.0,-0.0,267.7
east,1536,27,11,-125.9,-181.6,97.3,0.0,-97.3,-125.9,9,22,22,0,112,-0.0,-96.0,-139.0,139.0,-0.0,267.7
east,1536,28,11,-125.9,-181.6,97.3,0.0,-97.3,-125.9,9,22,22,0,112,-0.0,-96.0,-139.0,139.0,-0.0,267.7
east,1536,29,11,-125.9,-181.6,97.3,0.0,-97.3,-125.9,9,22,22,0,112,-0.0,-96.0,-139.0,139.0,-0.0,267.7
east,1536,30,11,-125.9,-181.6,97.3,0.0,-97.3,-125.9,9,22,22,0,112,-0.0,-96.0,-139.0,139.0,-0.0,267.7
east,1536,31,12,-92.8,-156.8,-110.1,211.5,110.1,-92.8,9,22,22,0,112,-0.0,-96.0,-139.0,139.0,-0.0,97.2
east,1536,32,12,-92.8,-156.8,-110.1,0.0,110.1,-92.8,9,22,22,0,112,-0.0,-96.0,-139.0,139.0,-0.0,97.2
east,1536,33,12,-92.8,-156.8,-110.1,0.0,110.1,-92.8,9,22,22,0,112,-0.0,-96.0,-139.0,139.0,-0.0,97.2
east,1536,34,12,-92.8,-156.8,-110.1,0.0,110.1,-92.8,10,22,22,0,168,-0.0,-96.0,-139.0,139.0,-0.0,97.2
east,1536,35,13,-21.1,-121.6,-142.4,86.2,142.4,-21.1,10,22,22,0,168,-0.0,-96.0,-139.0,139.0,-0.0,21.3
east,1536,36,13,-21.1,-121.6,-142.4,0.0,142.4,-21.1,10,22,22,0,168,-0.0,-96.0,-139.0,139.0,-0.0,21.3
east,1536,37,13,-21.1,-121.6,-142.4,0.0,142.4,-21.1,10,22,22,0,168,-0.0,-96.0,-139.0,139.0,-0.0,21.3
east,1536,38,13,-21.1,-121.6,-142.4,0.0,142.4,-21.1,10,22,22,0,168,-0.0,-96.0,-139.0,139.0,-0.0,21.3
east,1536,39,14,61.5,-64.3,-109.5,105.8,109.5,61.5,10,22,22,0,168,-0.0,-96.0,-139.0,139.0,-0.0,68.2
east,1536,40,14,61.5,-64.3,-109.5,0.0,109.5,61.5,11,19,22,0,255,21.6,-96.0,-144.2,144.2,21.6,52.8
east,1536,41,14,61.5,-64.3,-109.5,0.0,109.5,61.5,11,19,22,0,255,21.6,-96.0,-144.2,144.2,21.6,52.8
east,1536,42,14,61.5,-64.3,-109.5,0.0,109.5,61.5,11,19,22,0,255,21.6,-96.0,-144.2,144.2,21.6,52.8
east,1536,43,14,61.5,-64.3,-109.5,0.0,109.5,61.5,11,19,22,0,255,21.6,-96.0,-144.2,144.2,21.6,52.8
east,1536,44,15,37.5,-64.5,-130.5,31.9,130.5,37.5,11,19,22,0,255,21.6,-96.0,-144.2,144.2,21.6,20.9
east,1536,45,15,37.5,-64.5,-130.5,0.0,130.5,37.5,12,13,22,56,255,66.2,-96.0,-140.1,140.1,66.2,30.3
east,1536,46,15,37.5,-64.5,-130.5,0.0,130.5,37.5,12,13,22,56,255,66.2,-96.0,-140.1,140.1,66.2,30.3
east,1536,47,15,37.5,-64.5,-130.5,0.0,130.5,37.5,12,13,22,56,255,66.2,-96.0,-140.1,140.1,66.2,30.3
east,1536,48,15,37.5,-64.5,-130.5,0.0,130.5,37.5,12,13,22,56,255,66.2,-96.0,-140.1,140.1,66.2,30.3
east,1536,49,15,37.5,-64.5,-130.5,0.0,130.5,37.5,12,13,22,56,255,66.2,-96.0,-140.1,140.1,66.2,30.3
east,1536,50,16,-0.8,-75.8,-142.7,41.8,142.7,-0.8,13,7,22,112,255,105.4,-96.0,-116.1,116.1,105.4,109.5
east,1536,51,16,-0.8,-75.8,-142.7,0.0,142.7,-0.8,13,7,22,112,255,105.4,-96.0,-116.1,116.1,105.4,109.5
