facing,yaw,cycle,body_frame,blade_x,blade_y,blade_z,blade_travel,blade_world_x,blade_world_z,spot_frame,lit_faces,total_faces,alpha_min,alpha_max,arc_x,arc_y,arc_z,arc_world_x,arc_world_z,gap_xz
north,1024,0,0,-38.5,-201.3,-42.8,0.0,38.5,42.8,,,,,,,,,,,
north,1024,1,1,-29.7,-189.8,-75.8,36.1,29.7,75.8,,,,,,,,,,,
north,1024,2,1,-29.7,-189.8,-75.8,0.0,29.7,75.8,,,,,,,,,,,
north,1024,3,2,-19.8,-172.2,-112.9,42.3,19.8,112.9,,,,,,,,,,,
north,1024,4,2,-19.8,-172.2,-112.9,0.0,19.8,112.9,,,,,,,,,,,
north,1024,5,3,-30.6,-180.9,-130.6,22.4,30.6,130.6,,,,,,,,,,,
north,1024,6,3,-30.6,-180.9,-130.6,0.0,30.6,130.6,,,,,,,,,,,
north,1024,7,4,-53.0,-186.8,-138.2,24.4,53.0,138.2,,,,,,,,,,,
north,1024,8,4,-53.0,-186.8,-138.2,0.0,53.0,138.2,,,,,,,,,,,
north,1024,9,5,-63.2,-166.9,-140.8,22.5,63.2,140.8,,,,,,,,,,,
north,1024,10,5,-63.2,-166.9,-140.8,0.0,63.2,140.8,,,,,,,,,,,
north,1024,11,6,-102.7,-158.0,-113.0,49.2,102.7,113.0,,,,,,,,,,,
north,1024,12,6,-102.7,-158.0,-113.0,0.0,102.7,113.0,,,,,,,,,,,
north,1024,13,7,-117.8,-166.0,-86.3,31.7,117.8,86.3,,,,,,,,,,,
north,1024,14,8,-145.0,-173.5,-41.3,53.1,145.0,41.3,,,,,,,,,,,
north,1024,15,9,-149.4,-184.4,7.7,50.5,149.4,-7.7,,,,,,,,,,,
north,1024,16,9,-149.4,-184.4,7.7,0.0,149.4,-7.7,,,,,,,,,,,
north,1024,17,10,-145.4,-180.2,54.7,47.4,145.4,-54.7,,,,,,,,,,,
north,1024,18,10,-145.4,-180.2,54.7,0.0,145.4,-54.7,,,,,,,,,,,
north,1024,19,10,-145.4,-180.2,54.7,0.0,145.4,-54.7,,,,,,,,,,,
north,1024,20,10,-145.4,-180.2,54.7,0.0,145.4,-54.7,,,,,,,,,,,
north,1024,21,10,-145.4,-180.2,54.7,0.0,145.4,-54.7,,,,,,,,,,,
north,1024,22,11,-125.9,-181.6,97.3,46.9,125.9,-97.3,,,,,,,,,,,
north,1024,23,11,-125.9,-181.6,97.3,0.0,125.9,-97.3,,,,,,,,,,,
north,1024,24,11,-125.9,-181.6,97.3,0.0,125.9,-97.3,,,,,,,,,,,
north,1024,25,11,-125.9,-181.6,97.3,0.0,125.9,-97.3,,,,,,,,,,,
north,1024,26,11,-125.9,-181.6,97.3,0.0,125.9,-97.3,,,,,,,,,,,
north,1024,27,11,-125.9,-181.6,97.3,0.0,125.9,-97.3,,,,,,,,,,,
north,1024,28,11,-125.9,-181.6,97.3,0.0,125.9,-97.3,,,,,,,,,,,
north,1024,29,11,-125.9,-181.6,97.3,0.0,125.9,-97.3,,,,,,,,,,,
north,1024,30,11,-125.9,-181.6,97.3,0.0,125.9,-97.3,0,0,22,255,255,,,,,,
north,1024,31,12,-92.8,-156.8,-110.1,211.5,92.8,110.1,0,0,22,255,255,,,,,,
north,1024,32,12,-92.8,-156.8,-110.1,0.0,92.8,110.1,0,0,22,255,255,,,,,,
north,1024,33,12,-92.8,-156.8,-110.1,0.0,92.8,110.1,1,0,22,255,255,,,,,,
north,1024,34,12,-92.8,-156.8,-110.1,0.0,92.8,110.1,1,0,22,255,255,,,,,,
north,1024,35,13,-21.1,-121.6,-142.4,86.2,21.1,142.4,1,0,22,255,255,,,,,,
north,1024,36,13,-21.1,-121.6,-142.4,0.0,21.1,142.4,2,0,22,255,255,,,,,,
north,1024,37,13,-21.1,-121.6,-142.4,0.0,21.1,142.4,2,0,22,255,255,,,,,,
north,1024,38,13,-21.1,-121.6,-142.4,0.0,21.1,142.4,3,0,22,255,255,,,,,,
north,1024,39,14,61.5,-64.3,-109.5,105.8,-61.5,109.5,3,0,22,255,255,,,,,,
north,1024,40,14,61.5,-64.3,-109.5,0.0,-61.5,109.5,4,1,22,0,255,-153.7,-96.0,-89.0,153.7,89.0,216.2
north,1024,41,14,61.5,-64.3,-109.5,0.0,-61.5,109.5,4,1,22,0,255,-153.7,-96.0,-89.0,153.7,89.0,216.2
north,1024,42,14,61.5,-64.3,-109.5,0.0,-61.5,109.5,5,3,22,0,255,-137.2,-96.0,-106.0,137.2,106.0,198.8
north,1024,43,14,61.5,-64.3,-109.5,0.0,-61.5,109.5,5,3,22,0,255,-137.2,-96.0,-106.0,137.2,106.0,198.8
north,1024,44,15,37.5,-64.5,-130.5,31.9,-37.5,130.5,6,9,22,0,255,-95.7,-96.0,-137.3,95.7,137.3,133.4
north,1024,45,15,37.5,-64.5,-130.5,0.0,-37.5,130.5,6,9,22,0,255,-95.7,-96.0,-137.3,95.7,137.3,133.4
north,1024,46,15,37.5,-64.5,-130.5,0.0,-37.5,130.5,7,13,22,0,255,-64.7,-96.0,-147.7,64.7,147.7,103.6
north,1024,47,15,37.5,-64.5,-130.5,0.0,-37.5,130.5,7,13,22,0,255,-64.7,-96.0,-147.7,64.7,147.7,103.6
north,1024,48,15,37.5,-64.5,-130.5,0.0,-37.5,130.5,7,13,22,0,255,-64.7,-96.0,-147.7,64.7,147.7,103.6
north,1024,49,15,37.5,-64.5,-130.5,0.0,-37.5,130.5,8,17,22,0,255,-34.3,-96.0,-149.1,34.3,149.1,74.2
north,1024,50,16,-0.8,-75.8,-142.7,41.8,0.8,142.7,8,17,22,0,255,-34.3,-96.0,-149.1,34.3,149.1,34.1
north,1024,51,16,-0.8,-75.8,-142.7,0.0,0.8,142.7,8,17,22,0,255,-34.3,-96.0,-149.1,34.3,149.1,34.1
north,1024,52,16,-0.8,-75.8,-142.7,0.0,0.8,142.7,8,17,22,0,255,-34.3,-96.0,-149.1,34.3,149.1,34.1
north,1024,53,16,-0.8,-75.8,-142.7,0.0,0.8,142.7,8,17,22,0,255,-34.3,-96.0,-149.1,34.3,149.1,34.1
north,1024,54,16,-0.8,-75.8,-142.7,0.0,0.8,142.7,9,22,22,0,112,-0.0,-96.0,-139.0,0.0,139.0,3.8
north,1024,55,16,-0.8,-75.8,-142.7,0.0,0.8,142.7,9,22,22,0,112,-0.0,-96.0,-139.0,0.0,139.0,3.8
north,1024,56,16,-0.8,-75.8,-142.7,0.0,0.8,142.7,9,22,22,0,112,-0.0,-96.0,-139.0,0.0,139.0,3.8
north,1024,57,16,-0.8,-75.8,-142.7,0.0,0.8,142.7,9,22,22,0,112,-0.0,-96.0,-139.0,0.0,139.0,3.8
north,1024,58,17,-68.4,-84.4,-129.8,69.3,68.4,129.8,9,22,22,0,112,-0.0,-96.0,-139.0,0.0,139.0,69.0
north,1024,59,17,-68.4,-84.4,-129.8,0.0,68.4,129.8,9,22,22,0,112,-0.0,-96.0,-139.0,0.0,139.0,69.0
north,1024,60,17,-68.4,-84.4,-129.8,0.0,68.4,129.8,9,22,22,0,112,-0.0,-96.0,-139.0,0.0,139.0,69.0
north,1024,61,17,-68.4,-84.4,-129.8,0.0,68.4,129.8,9,22,22,0,112,-0.0,-96.0,-139.0,0.0,139.0,69.0
north,1024,62,18,-86.6,-125.6,-112.3,48.3,86.6,112.3,9,22,22,0,112,-0.0,-96.0,-139.0,0.0,139.0,90.6
north,1024,63,18,-86.6,-125.6,-112.3,0.0,86.6,112.3,9,22,22,0,112,-0.0,-96.0,-139.0,0.0,139.0,90.6
north,1024,64,18,-86.6,-125.6,-112.3,0.0,86.6,112.3,10,22,22,0,168,-0.0,-96.0,-139.0,0.0,139.0,90.6
north,1024,65,18,-86.6,-125.6,-112.3,0.0,86.6,112.3,10,22,22,0,168,-0.0,-96.0,-139.0,0.0,139.0,90.6
north,1024,66,19,-84.0,-165.0,-74.2,54.9,84.0,74.2,10,22,22,0,168,-0.0,-96.0,-139.0,0.0,139.0,106.0
north,1024,67,19,-84.0,-165.0,-74.2,0.0,84.0,74.2,10,22,22,0,168,-0.0,-96.0,-139.0,0.0,139.0,106.0
north,1024,68,19,-84.0,-165.0,-74.2,0.0,84.0,74.2,10,22,22,0,168,-0.0,-96.0,-139.0,0.0,139.0,106.0
north,1024,69,19,-84.0,-165.0,-74.2,0.0,84.0,74.2,10,22,22,0,168,-0.0,-96.0,-139.0,0.0,139.0,106.0
north,1024,70,20,-69.8,-171.1,-76.0,15.5,69.8,76.0,11,19,22,0,255,21.6,-96.0,-144.2,-21.6,144.2,114.1
north,1024,71,20,-69.8,-171.1,-76.0,0.0,69.8,76.0,11,19,22,0,255,21.6,-96.0,-144.2,-21.6,144.2,114.1
north,1024,72,20,-69.8,-171.1,-76.0,0.0,69.8,76.0,11,19,22,0,255,21.6,-96.0,-144.2,-21.6,144.2,114.1
north,1024,73,20,-69.8,-171.1,-76.0,0.0,69.8,76.0,11,19,22,0,255,21.6,-96.0,-144.2,-21.6,144.2,114.1
north,1024,74,21,-33.4,-187.5,-52.0,46.6,33.4,52.0,11,19,22,0,255,21.6,-96.0,-144.2,-21.6,144.2,107.3
north,1024,75,21,-33.4,-187.5,-52.0,0.0,33.4,52.0,12,13,22,56,255,66.2,-96.0,-140.1,-66.2,140.1,133.0
north,1024,76,21,-33.4,-187.5,-52.0,0.0,33.4,52.0,12,13,22,56,255,66.2,-96.0,-140.1,-66.2,140.1,133.0
