facing,yaw,cycle,body_frame,blade_x,blade_y,blade_z,blade_travel,blade_world_x,blade_world_z,spot_frame,lit_faces,total_faces,alpha_min,alpha_max,arc_x,arc_y,arc_z,arc_world_x,arc_world_z,gap_xz
northeast,1280,0,0,-38.5,-201.3,-42.8,0.0,57.5,3.0,0,0,22,255,255,,,,,,
northeast,1280,1,1,-29.7,-189.8,-75.8,36.1,74.6,32.6,0,0,22,255,255,,,,,,
northeast,1280,2,1,-29.7,-189.8,-75.8,0.0,74.6,32.6,0,0,22,255,255,,,,,,
northeast,1280,3,2,-19.8,-172.2,-112.9,42.3,93.8,65.9,1,0,22,255,255,,,,,,
northeast,1280,4,2,-19.8,-172.2,-112.9,0.0,93.8,65.9,1,0,22,255,255,,,,,,
northeast,1280,5,3,-30.6,-180.9,-130.6,22.4,114.0,70.7,1,0,22,255,255,,,,,,
northeast,1280,6,3,-30.6,-180.9,-130.6,0.0,114.0,70.7,2,0,22,255,255,,,,,,
northeast,1280,7,4,-53.0,-186.8,-138.2,24.4,135.2,60.3,2,0,22,255,255,,,,,,
northeast,1280,8,4,-53.0,-186.8,-138.2,0.0,135.2,60.3,3,0,22,255,255,,,,,,
northeast,1280,9,5,-63.2,-166.9,-140.8,22.5,144.3,54.9,3,0,22,255,255,,,,,,
northeast,1280,10,5,-63.2,-166.9,-140.8,0.0,144.3,54.9,4,1,22,0,255,-172.0,-96.0,45.3,89.6,-153.7,215.6
northeast,1280,11,6,-102.7,-158.0,-113.0,49.2,152.5,7.3,4,1,22,0,255,-172.0,-96.0,45.3,89.6,-153.7,172.8
northeast,1280,12,6,-102.7,-158.0,-113.0,0.0,152.5,7.3,5,3,22,0,255,-172.4,-96.0,21.6,106.7,-137.2,151.6
northeast,1280,13,7,-117.8,-166.0,-86.3,31.7,144.3,-22.3,5,3,22,0,255,-172.4,-96.0,21.6,106.7,-137.2,120.9
northeast,1280,14,8,-145.0,-173.5,-41.3,53.1,131.8,-73.3,6,9,22,0,255,-165.4,-96.0,-30.3,138.4,-95.5,23.2
northeast,1280,15,9,-149.4,-184.4,7.7,50.5,100.2,-111.1,6,9,22,0,255,-165.4,-96.0,-30.3,138.4,-95.5,41.3
northeast,1280,16,9,-149.4,-184.4,7.7,0.0,100.2,-111.1,7,13,22,0,255,-150.7,-96.0,-59.9,148.9,-64.3,67.6
northeast,1280,17,10,-145.4,-180.2,54.7,47.4,64.1,-141.5,7,13,22,0,255,-150.7,-96.0,-59.9,148.9,-64.3,114.7
northeast,1280,18,10,-145.4,-180.2,54.7,0.0,64.1,-141.5,7,13,22,0,255,-150.7,-96.0,-59.9,148.9,-64.3,114.7
northeast,1280,19,10,-145.4,-180.2,54.7,0.0,64.1,-141.5,8,17,22,0,255,-130.1,-96.0,-82.4,150.3,-33.7,138.0
northeast,1280,20,10,-145.4,-180.2,54.7,0.0,64.1,-141.5,8,17,22,0,255,-130.1,-96.0,-82.4,150.3,-33.7,138.0
northeast,1280,21,10,-145.4,-180.2,54.7,0.0,64.1,-141.5,8,17,22,0,255,-130.1,-96.0,-82.4,150.3,-33.7,138.0
northeast,1280,22,11,-125.9,-181.6,97.3,46.9,20.2,-157.8,8,17,22,0,255,-130.1,-96.0,-82.4,150.3,-33.7,179.8
northeast,1280,23,11,-125.9,-181.6,97.3,0.0,20.2,-157.8,8,17,22,0,255,-130.1,-96.0,-82.4,150.3,-33.7,179.8
northeast,1280,24,11,-125.9,-181.6,97.3,0.0,20.2,-157.8,9,22,22,0,112,-98.6,-96.0,-99.5,140.1,0.6,198.7
northeast,1280,25,11,-125.9,-181.6,97.3,0.0,20.2,-157.8,9,22,22,0,112,-98.6,-96.0,-99.5,140.1,0.6,198.7
northeast,1280,26,11,-125.9,-181.6,97.3,0.0,20.2,-157.8,9,22,22,0,112,-98.6,-96.0,-99.5,140.1,0.6,198.7
northeast,1280,27,11,-125.9,-181.6,97.3,0.0,20.2,-157.8,9,22,22,0,112,-98.6,-96.0,-99.5,140.1,0.6,198.7
northeast,1280,28,11,-125.9,-181.6,97.3,0.0,20.2,-157.8,9,22,22,0,112,-98.6,-96.0,-99.5,140.1,0.6,198.7
northeast,1280,29,11,-125.9,-181.6,97.3,0.0,20.2,-157.8,9,22,22,0,112,-98.6,-96.0,-99.5,140.1,0.6,198.7
northeast,1280,30,11,-125.9,-181.6,97.3,0.0,20.2,-157.8,9,22,22,0,112,-98.6,-96.0,-99.5,140.1,0.6,198.7
northeast,1280,31,12,-92.8,-156.8,-110.1,211.5,143.5,12.2,9,22,22,0,112,-98.6,-96.0,-99.5,140.1,0.6,12.1
northeast,1280,32,12,-92.8,-156.8,-110.1,0.0,143.5,12.2,9,22,22,0,112,-98.6,-96.0,-99.5,140.1,0.6,12.1
northeast,1280,33,12,-92.8,-156.8,-110.1,0.0,143.5,12.2,9,22,22,0,112,-98.6,-96.0,-99.5,140.1,0.6,12.1
northeast,1280,34,12,-92.8,-156.8,-110.1,0.0,143.5,12.2,10,22,22,0,168,-98.6,-96.0,-99.5,140.1,0.6,12.1
northeast,1280,35,13,-21.1,-121.6,-142.4,86.2,115.6,85.8,10,22,22,0,168,-98.6,-96.0,-99.5,140.1,0.6,88.6
