facing,yaw,cycle,body_frame,blade_x,blade_y,blade_z,blade_travel,blade_world_x,blade_world_z,spot_frame,lit_faces,total_faces,alpha_min,alpha_max,arc_x,arc_y,arc_z,arc_world_x,arc_world_z,gap_xz
northwest,768,0,0,-38.5,-201.3,-42.8,0.0,-3.0,57.5,0,0,22,255,255,,,,,,
northwest,768,1,1,-29.7,-189.8,-75.8,36.1,-32.6,74.6,0,0,22,255,255,,,,,,
northwest,768,2,1,-29.7,-189.8,-75.8,0.0,-32.6,74.6,0,0,22,255,255,,,,,,
northwest,768,3,2,-19.8,-172.2,-112.9,42.3,-65.9,93.8,1,0,22,255,255,,,,,,
northwest,768,4,2,-19.8,-172.2,-112.9,0.0,-65.9,93.8,1,0,22,255,255,,,,,,
northwest,768,5,3,-30.6,-180.9,-130.6,22.4,-70.7,114.0,1,0,22,255,255,,,,,,
northwest,768,6,3,-30.6,-180.9,-130.6,0.0,-70.7,114.0,2,0,22,255,255,,,,,,
northwest,768,7,4,-53.0,-186.8,-138.2,24.4,-60.3,135.2,2,0,22,255,255,,,,,,
northwest,768,8,4,-53.0,-186.8,-138.2,0.0,-60.3,135.2,3,0,22,255,255,,,,,,
northwest,768,9,5,-63.2,-166.9,-140.8,22.5,-54.9,144.3,3,0,22,255,255,,,,,,
northwest,768,10,5,-63.2,-166.9,-140.8,0.0,-54.9,144.3,4,1,22,0,255,-46.3,-96.0,-172.0,-88.9,154.4,35.4
northwest,768,11,6,-102.7,-158.0,-113.0,49.2,-7.3,152.5,4,1,22,0,255,-46.3,-96.0,-172.0,-88.9,154.4,81.6
northwest,768,12,6,-102.7,-158.0,-113.0,0.0,-7.3,152.5,5,3,22,0,255,-22.6,-96.0,-172.4,-106.0,137.9,99.8
northwest,768,13,7,-117.8,-166.0,-86.3,31.7,22.3,144.3,5,3,22,0,255,-22.6,-96.0,-172.4,-106.0,137.9,128.4
northwest,768,14,8,-145.0,-173.5,-41.3,53.1,73.3,131.8,6,9,22,0,255,29.3,-96.0,-165.4,-137.7,96.2,213.9
northwest,768,15,9,-149.4,-184.4,7.7,50.5,111.1,100.2,6,9,22,0,255,29.3,-96.0,-165.4,-137.7,96.2,248.8
northwest,768,16,9,-149.4,-184.4,7.7,0.0,111.1,100.2,7,13,22,0,255,58.9,-96.0,-150.7,-148.2,65.0,261.7
northwest,768,17,10,-145.4,-180.2,54.7,47.4,141.5,64.1,7,13,22,0,255,58.9,-96.0,-150.7,-148.2,65.0,289.8
northwest,768,18,10,-145.4,-180.2,54.7,0.0,141.5,64.1,7,13,22,0,255,58.9,-96.0,-150.7,-148.2,65.0,289.8
northwest,768,19,10,-145.4,-180.2,54.7,0.0,141.5,64.1,8,17,22,0,255,81.4,-96.0,-130.1,-149.6,34.4,292.7
northwest,768,20,10,-145.4,-180.2,54.7,0.0,141.5,64.1,8,17,22,0,255,81.4,-96.0,-130.1,-149.6,34.4,292.7
northwest,768,21,10,-145.4,-180.2,54.7,0.0,141.5,64.1,8,17,22,0,255,81.4,-96.0,-130.1,-149.6,34.4,292.7
northwest,768,22,11,-125.9,-181.6,97.3,46.9,157.8,20.2,8,17,22,0,255,81.4,-96.0,-130.1,-149.6,34.4,307.7
northwest,768,23,11,-125.9,-181.6,97.3,0.0,157.8,20.2,8,17,22,0,255,81.4,-96.0,-130.1,-149.6,34.4,307.7
northwest,768,24,11,-125.9,-181.6,97.3,0.0,157.8,20.2,9,22,22,0,112,98.5,-96.0,-98.6,-139.4,0.1,297.9
northwest,768,25,11,-125.9,-181.6,97.3,0.0,157.8,20.2,9,22,22,0,112,98.5,-96.0,-98.6,-139.4,0.1,297.9
northwest,768,26,11,-125.9,-181.6,97.3,0.0,157.8,20.2,9,22,22,0,112,98.5,-96.0,-98.6,-139.4,0.1,297.9
northwest,768,27,11,-125.9,-181.6,97.3,0.0,157.8,20.2,9,22,22,0,112,98.5,-96.0,-98.6,-139.4,0.1,297.9
northwest,768,28,11,-125.9,-181.6,97.3,0.0,157.8,20.2,9,22,22,0,112,98.5,-96.0,-98.6,-139.4,0.1,297.9
northwest,768,29,11,-125.9,-181.6,97.3,0.0,157.8,20.2,9,22,22,0,112,98.5,-96.0,-98.6,-139.4,0.1,297.9
northwest,768,30,11,-125.9,-181.6,97.3,0.0,157.8,20.2,9,22,22,0,112,98.5,-96.0,-98.6,-139.4,0.1,297.9
northwest,768,31,12,-92.8,-156.8,-110.1,211.5,-12.2,143.5,9,22,22,0,112,98.5,-96.0,-98.6,-139.4,0.1,191.7
northwest,768,32,12,-92.8,-156.8,-110.1,0.0,-12.2,143.5,9,22,22,0,112,98.5,-96.0,-98.6,-139.4,0.1,191.7
northwest,768,33,12,-92.8,-156.8,-110.1,0.0,-12.2,143.5,9,22,22,0,112,98.5,-96.0,-98.6,-139.4,0.1,191.7
northwest,768,34,12,-92.8,-156.8,-110.1,0.0,-12.2,143.5,10,22,22,0,168,98.5,-96.0,-98.6,-139.4,0.1,191.7
northwest,768,35,13,-21.1,-121.6,-142.4,86.2,-85.8,115.6,10,22,22,0,168,98.5,-96.0,-98.6,-139.4,0.1,127.3
northwest,768,36,13,-21.1,-121.6,-142.4,0.0,-85.8,115.6,10,22,22,0,168,98.5,-96.0,-98.6,-139.4,0.1,127.3
northwest,768,37,13,-21.1,-121.6,-142.4,0.0,-85.8,115.6,10,22,22,0,168,98.5,-96.0,-98.6,-139.4,0.1,127.3
northwest,768,38,13,-21.1,-121.6,-142.4,0.0,-85.8,115.6,10,22,22,0,168,98.5,-96.0,-98.6,-139.4,0.1,127.3
northwest,768,39,14,61.5,-64.3,-109.5,105.8,-121.0,33.9,10,22,22,0,168,98.5,-96.0,-98.6,-139.4,0.1,38.5
northwest,768,40,14,61.5,-64.3,-109.5,0.0,-121.0,33.9,11,19,22,0,255,117.6,-96.0,-87.0,-144.7,-21.7,60.4
northwest,768,41,14,61.5,-64.3,-109.5,0.0,-121.0,33.9,11,19,22,0,255,117.6,-96.0,-87.0,-144.7,-21.7,60.4
northwest,768,42,14,61.5,-64.3,-109.5,0.0,-121.0,33.9,11,19,22,0,255,117.6,-96.0,-87.0,-144.7,-21.7,60.4
northwest,768,43,14,61.5,-64.3,-109.5,0.0,-121.0,33.9,11,19,22,0,255,117.6,-96.0,-87.0,-144.7,-21.7,60.4
northwest,768,44,15,37.5,-64.5,-130.5,31.9,-118.8,65.8,11,19,22,0,255,117.6,-96.0,-87.0,-144.7,-21.7,91.2
northwest,768,45,15,37.5,-64.5,-130.5,0.0,-118.8,65.8,12,13,22,56,255,146.4,-96.0,-52.4,-140.6,-66.4,134.0
northwest,768,46,15,37.5,-64.5,-130.5,0.0,-118.8,65.8,12,13,22,56,255,146.4,-96.0,-52.4,-140.6,-66.4,134.0
northwest,768,47,15,37.5,-64.5,-130.5,0.0,-118.8,65.8,12,13,22,56,255,146.4,-96.0,-52.4,-140.6,-66.4,134.0
northwest,768,48,15,37.5,-64.5,-130.5,0.0,-118.8,65.8,12,13,22,56,255,146.4,-96.0,-52.4,-140.6,-66.4,134.0
