facing,yaw,cycle,body_frame,blade_x,blade_y,blade_z,blade_travel,blade_world_x,blade_world_z,spot_frame,lit_faces,total_faces,alpha_min,alpha_max,arc_x,arc_y,arc_z,arc_world_x,arc_world_z,gap_xz
southeast,1792,0,0,-38.5,-201.3,-42.8,0.0,3.0,-57.5,0,0,22,255,255,,,,,,
southeast,1792,1,1,-29.7,-189.8,-75.8,36.1,32.6,-74.6,0,0,22,255,255,,,,,,
southeast,1792,2,1,-29.7,-189.8,-75.8,0.0,32.6,-74.6,0,0,22,255,255,,,,,,
southeast,1792,3,2,-19.8,-172.2,-112.9,42.3,65.9,-93.8,1,0,22,255,255,,,,,,
southeast,1792,4,2,-19.8,-172.2,-112.9,0.0,65.9,-93.8,1,0,22,255,255,,,,,,
southeast,1792,5,3,-30.6,-180.9,-130.6,22.4,70.7,-114.0,1,0,22,255,255,,,,,,
southeast,1792,6,3,-30.6,-180.9,-130.6,0.0,70.7,-114.0,2,0,22,255,255,,,,,,
southeast,1792,7,4,-53.0,-186.8,-138.2,24.4,60.3,-135.2,2,0,22,255,255,,,,,,
southeast,1792,8,4,-53.0,-186.8,-138.2,0.0,60.3,-135.2,3,0,22,255,255,,,,,,
southeast,1792,9,5,-63.2,-166.9,-140.8,22.5,54.9,-144.3,3,0,22,255,255,,,,,,
southeast,1792,10,5,-63.2,-166.9,-140.8,0.0,54.9,-144.3,4,1,22,64,255,-172.0,-96.0,45.3,-153.7,-89.6,215.6
southeast,1792,11,6,-102.7,-158.0,-113.0,49.2,7.3,-152.5,4,1,22,64,255,-172.0,-96.0,45.3,-153.7,-89.6,172.8
southeast,1792,12,6,-102.7,-158.0,-113.0,0.0,7.3,-152.5,5,3,22,64,255,-172.4,-96.0,21.6,-137.2,-106.7,151.6
southeast,1792,13,7,-117.8,-166.0,-86.3,31.7,-22.3,-144.3,5,3,22,64,255,-172.4,-96.0,21.6,-137.2,-106.7,120.9
southeast,1792,14,8,-145.0,-173.5,-41.3,53.1,-73.3,-131.8,6,9,22,48,255,-165.4,-96.0,-30.3,-95.5,-138.4,23.2
southeast,1792,15,9,-149.4,-184.4,7.7,50.5,-111.1,-100.2,6,9,22,48,255,-165.4,-96.0,-30.3,-95.5,-138.4,41.3
southeast,1792,16,9,-149.4,-184.4,7.7,0.0,-111.1,-100.2,7,13,22,48,255,-150.7,-96.0,-59.9,-64.3,-148.9,67.6
