facing,yaw,cycle,body_frame,blade_x,blade_y,blade_z,blade_travel,blade_world_x,blade_world_z,spot_frame,lit_faces,total_faces,alpha_min,alpha_max,arc_x,arc_y,arc_z,arc_world_x,arc_world_z,gap_xz
southwest,256,0,0,-38.5,-201.3,-42.8,0.0,-57.5,-3.0,,,,,,,,,,,
southwest,256,1,1,-29.7,-189.8,-75.8,36.1,-74.6,-32.6,,,,,,,,,,,
southwest,256,2,1,-29.7,-189.8,-75.8,0.0,-74.6,-32.6,,,,,,,,,,,
southwest,256,3,2,-19.8,-172.2,-112.9,42.3,-93.8,-65.9,,,,,,,,,,,
southwest,256,4,2,-19.8,-172.2,-112.9,0.0,-93.8,-65.9,,,,,,,,,,,
southwest,256,5,3,-30.6,-180.9,-130.6,22.4,-114.0,-70.7,,,,,,,,,,,
southwest,256,6,3,-30.6,-180.9,-130.6,0.0,-114.0,-70.7,,,,,,,,,,,
southwest,256,7,4,-53.0,-186.8,-138.2,24.4,-135.2,-60.3,,,,,,,,,,,
southwest,256,8,4,-53.0,-186.8,-138.2,0.0,-135.2,-60.3,,,,,,,,,,,
southwest,256,9,5,-63.2,-166.9,-140.8,22.5,-144.3,-54.9,,,,,,,,,,,
southwest,256,10,5,-63.2,-166.9,-140.8,0.0,-144.3,-54.9,,,,,,,,,,,
southwest,256,11,6,-102.7,-158.0,-113.0,49.2,-152.5,-7.3,,,,,,,,,,,
southwest,256,12,6,-102.7,-158.0,-113.0,0.0,-152.5,-7.3,,,,,,,,,,,
southwest,256,13,7,-117.8,-166.0,-86.3,31.7,-144.3,22.3,,,,,,,,,,,
southwest,256,14,8,-145.0,-173.5,-41.3,53.1,-131.8,73.3,,,,,,,,,,,
southwest,256,15,9,-149.4,-184.4,7.7,50.5,-100.2,111.1,,,,,,,,,,,
southwest,256,16,9,-149.4,-184.4,7.7,0.0,-100.2,111.1,,,,,,,,,,,
southwest,256,17,10,-145.4,-180.2,54.7,47.4,-64.1,141.5,,,,,,,,,,,
southwest,256,18,10,-145.4,-180.2,54.7,0.0,-64.1,141.5,,,,,,,,,,,
southwest,256,19,10,-145.4,-180.2,54.7,0.0,-64.1,141.5,,,,,,,,,,,
southwest,256,20,10,-145.4,-180.2,54.7,0.0,-64.1,141.5,,,,,,,,,,,
southwest,256,21,10,-145.4,-180.2,54.7,0.0,-64.1,141.5,,,,,,,,,,,
southwest,256,22,11,-125.9,-181.6,97.3,46.9,-20.2,157.8,,,,,,,,,,,
southwest,256,23,11,-125.9,-181.6,97.3,0.0,-20.2,157.8,,,,,,,,,,,
southwest,256,24,11,-125.9,-181.6,97.3,0.0,-20.2,157.8,,,,,,,,,,,
southwest,256,25,11,-125.9,-181.6,97.3,0.0,-20.2,157.8,,,,,,,,,,,
southwest,256,26,11,-125.9,-181.6,97.3,0.0,-20.2,157.8,,,,,,,,,,,
southwest,256,27,11,-125.9,-181.6,97.3,0.0,-20.2,157.8,,,,,,,,,,,
southwest,256,28,11,-125.9,-181.6,97.3,0.0,-20.2,157.8,,,,,,,,,,,
southwest,256,29,11,-125.9,-181.6,97.3,0.0,-20.2,157.8,,,,,,,,,,,
southwest,256,30,11,-125.9,-181.6,97.3,0.0,-20.2,157.8,0,0,22,255,255,,,,,,
southwest,256,31,12,-92.8,-156.8,-110.1,211.5,-143.5,-12.2,0,0,22,255,255,,,,,,
southwest,256,32,12,-92.8,-156.8,-110.1,0.0,-143.5,-12.2,0,0,22,255,255,,,,,,
southwest,256,33,12,-92.8,-156.8,-110.1,0.0,-143.5,-12.2,1,0,22,255,255,,,,,,
southwest,256,34,12,-92.8,-156.8,-110.1,0.0,-143.5,-12.2,1,0,22,255,255,,,,,,
southwest,256,35,13,-21.1,-121.6,-142.4,86.2,-115.6,-85.8,1,0,22,255,255,,,,,,
southwest,256,36,13,-21.1,-121.6,-142.4,0.0,-115.6,-85.8,2,0,22,255,255,,,,,,
southwest,256,37,13,-21.1,-121.6,-142.4,0.0,-115.6,-85.8,2,0,22,255,255,,,,,,
southwest,256,38,13,-21.1,-121.6,-142.4,0.0,-115.6,-85.8,3,0,22,255,255,,,,,,
southwest,256,39,14,61.5,-64.3,-109.5,105.8,-33.9,-121.0,3,0,22,255,255,,,,,,
southwest,256,40,14,61.5,-64.3,-109.5,0.0,-33.9,-121.0,4,1,22,64,255,-46.3,-96.0,-172.0,-154.4,-88.9,124.7
southwest,256,41,14,61.5,-64.3,-109.5,0.0,-33.9,-121.0,4,1,22,64,255,-46.3,-96.0,-172.0,-154.4,-88.9,124.7
southwest,256,42,14,61.5,-64.3,-109.5,0.0,-33.9,-121.0,5,3,22,64,255,-22.6,-96.0,-172.4,-137.9,-106.0,105.0
southwest,256,43,14,61.5,-64.3,-109.5,0.0,-33.9,-121.0,5,3,22,64,255,-22.6,-96.0,-172.4,-137.9,-106.0,105.0
southwest,256,44,15,37.5,-64.5,-130.5,31.9,-65.8,-118.8,6,9,22,48,255,29.3,-96.0,-165.4,-96.2,-137.7,35.8
southwest,256,45,15,37.5,-64.5,-130.5,0.0,-65.8,-118.8,6,9,22,48,255,29.3,-96.0,-165.4,-96.2,-137.7,35.8
southwest,256,46,15,37.5,-64.5,-130.5,0.0,-65.8,-118.8,7,13,22,48,255,58.9,-96.0,-150.7,-65.0,-148.2,29.4
southwest,256,47,15,37.5,-64.5,-130.5,0.0,-65.8,-118.8,7,13,22,48,255,58.9,-96.0,-150.7,-65.0,-148.2,29.4
southwest,256,48,15,37.5,-64.5,-130.5,0.0,-65.8,-118.8,7,13,22,48,255,58.9,-96.0,-150.7,-65.0,-148.2,29.4
southwest,256,49,15,37.5,-64.5,-130.5,0.0,-65.8,-118.8,8,17,22,48,255,81.4,-96.0,-130.1,-34.4,-149.6,44.0
southwest,256,50,16,-0.8,-75.8,-142.7,41.8,-101.5,-100.3,8,17,22,48,255,81.4,-96.0,-130.1,-34.4,-149.6,83.2
southwest,256,51,16,-0.8,-75.8,-142.7,0.0,-101.5,-100.3,8,17,22,48,255,81.4,-96.0,-130.1,-34.4,-149.6,83.2
southwest,256,52,16,-0.8,-75.8,-142.7,0.0,-101.5,-100.3,8,17,22,48,255,81.4,-96.0,-130.1,-34.4,-149.6,83.2
southwest,256,53,16,-0.8,-75.8,-142.7,0.0,-101.5,-100.3,8,17,22,48,255,81.4,-96.0,-130.1,-34.4,-149.6,83.2
southwest,256,54,16,-0.8,-75.8,-142.7,0.0,-101.5,-100.3,9,22,22,48,176,98.5,-96.0,-98.6,-0.1,-139.4,108.7
southwest,256,55,16,-0.8,-75.8,-142.7,0.0,-101.5,-100.3,9,22,22,48,176,98.5,-96.0,-98.6,-0.1,-139.4,108.7
southwest,256,56,16,-0.8,-75.8,-142.7,0.0,-101.5,-100.3,9,22,22,48,176,98.5,-96.0,-98.6,-0.1,-139.4,108.7
southwest,256,57,16,-0.8,-75.8,-142.7,0.0,-101.5,-100.3,9,22,22,48,176,98.5,-96.0,-98.6,-0.1,-139.4,108.7
southwest,256,58,17,-68.4,-84.4,-129.8,69.3,-140.2,-43.4,9,22,22,48,176,98.5,-96.0,-98.6,-0.1,-139.4,169.8
southwest,256,59,17,-68.4,-84.4,-129.8,0.0,-140.2,-43.4,9,22,22,48,176,98.5,-96.0,-98.6,-0.1,-139.4,169.8
southwest,256,60,17,-68.4,-84.4,-129.8,0.0,-140.2,-43.4,9,22,22,48,176,98.5,-96.0,-98.6,-0.1,-139.4,169.8
