facing,yaw,cycle,body_frame,blade_x,blade_y,blade_z,blade_travel,blade_world_x,blade_world_z,spot_frame,lit_faces,total_faces,alpha_min,alpha_max,arc_x,arc_y,arc_z,arc_world_x,arc_world_z,gap_xz
west,512,0,0,-38.5,-201.3,-42.8,0.0,-42.8,38.5,,,,,,,,,,,
west,512,1,1,-29.7,-189.8,-75.8,36.1,-75.8,29.7,,,,,,,,,,,
west,512,2,1,-29.7,-189.8,-75.8,0.0,-75.8,29.7,,,,,,,,,,,
west,512,3,2,-19.8,-172.2,-112.9,42.3,-112.9,19.8,,,,,,,,,,,
west,512,4,2,-19.8,-172.2,-112.9,0.0,-112.9,19.8,,,,,,,,,,,
west,512,5,3,-30.6,-180.9,-130.6,22.4,-130.6,30.6,,,,,,,,,,,
west,512,6,3,-30.6,-180.9,-130.6,0.0,-130.6,30.6,,,,,,,,,,,
west,512,7,4,-53.0,-186.8,-138.2,24.4,-138.2,53.0,,,,,,,,,,,
west,512,8,4,-53.0,-186.8,-138.2,0.0,-138.2,53.0,,,,,,,,,,,
west,512,9,5,-63.2,-166.9,-140.8,22.5,-140.8,63.2,,,,,,,,,,,
west,512,10,5,-63.2,-166.9,-140.8,0.0,-140.8,63.2,,,,,,,,,,,
west,512,11,6,-102.7,-158.0,-113.0,49.2,-113.0,102.7,,,,,,,,,,,
west,512,12,6,-102.7,-158.0,-113.0,0.0,-113.0,102.7,,,,,,,,,,,
west,512,13,7,-117.8,-166.0,-86.3,31.7,-86.3,117.8,,,,,,,,,,,
west,512,14,8,-145.0,-173.5,-41.3,53.1,-41.3,145.0,,,,,,,,,,,
west,512,15,9,-149.4,-184.4,7.7,50.5,7.7,149.4,,,,,,,,,,,
west,512,16,9,-149.4,-184.4,7.7,0.0,7.7,149.4,,,,,,,,,,,
west,512,17,10,-145.4,-180.2,54.7,47.4,54.7,145.4,,,,,,,,,,,
west,512,18,10,-145.4,-180.2,54.7,0.0,54.7,145.4,,,,,,,,,,,
west,512,19,10,-145.4,-180.2,54.7,0.0,54.7,145.4,,,,,,,,,,,
west,512,20,10,-145.4,-180.2,54.7,0.0,54.7,145.4,,,,,,,,,,,
west,512,21,10,-145.4,-180.2,54.7,0.0,54.7,145.4,,,,,,,,,,,
