source_npc,name_530,name_727,attack_speed
6829,spirit_wolf,Spirit wolf,8
6825,dreadfowl,Dreadfowl,8
6794,spirit_terrorbird,Spirit terrorbird,8
6841,spirit_spider,Spirit spider,8
6806,thorny_snail,Thorny snail,8
6796,granite_crab,Granite crab,8
7331,spirit_mosquito,Spirit mosquito,8
6831,desert_wyrm,Desert wyrm,8
6837,spirit_scorpion,Spirit scorpion,8
7361,spirit_tz_kih,Spirit Tz-Kih,8
6847,albino_rat,Albino rat,8
6994,spirit_kalphite,Spirit kalphite,8
6871,compost_mound,Compost mound,8
7353,giant_chinchompa,Giant chinchompa,8
6835,vampire_bat,Vampyre bat,
6845,honey_badger,Honey badger,8
6808,beaver,Beaver,
7370,void_ravager,Void ravager,8
7333,void_spinner,Void spinner,8
7351,void_torcher,Void torcher,8
7367,void_shifter,Void shifter,8
6867,bull_ant,Bull ant,8
6851,macaw,Macaw,
6833,evil_turnip,Evil turnip,8
6875,spirit_cockatrice,Spirit cockatrice,8
6877,spirit_guthatrice,Spirit guthatrice,8
6879,spirit_saratrice,Spirit saratrice,8
6881,spirit_zamatrice,Spirit zamatrice,8
6883,spirit_pengatrice,Spirit pengatrice,8
6885,spirit_coraxatrice,Spirit coraxatrice,8
6887,spirit_vulatrice,Spirit vulatrice,8
7377,pyrelord,Pyrelord,8
6824,magpie,Magpie,
6843,bloated_leech,Bloated leech,8
6818,abyssal_parasite,Abyssal parasite,8
6992,spirit_jelly,Spirit jelly,8
6991,ibis,Ibis,
7365,spirit_kyatt,Spirit kyatt,8
7337,spirit_larupia,Spirit larupia,8
7363,spirit_graahk,Spirit graahk,8
6809,karamthulhu,Karamthulhu overlord,8
6865,smoke_devil,Smoke devil,8
6820,abyssal_lukrer,Abyssal lurker,8
6802,spirit_cobra,Spirit cobra,8
6827,stranger_plant,Stranger plant,8
6889,barker_toad,Barker toad,8
6815,war_tortoise,War tortoise,8
6813,bunyip,Bunyip,8
6817,fruit_bat,Fruit bat,
7372,ravenous_locust,Ravenous locust,8
6839,arctic_bear,Arctic bear,8
8575,phoenix,Phoenix,8
7345,obsidian_golem,Obsidian golem,8
6849,granite_lobster,Granite lobster,8
6798,praying_mantis,Praying mantis,8
7335,forge_regent_beast,Forge regent,8
7347,talon_beast,Talon beast,8
6800,giant_ent,Giant ent,8
7355,fire_titan,Fire titan,8
7357,moss_titan,Moss titan,8
7359,ice_titan,Ice titan,8
6811,hydra,Hydra,8
6804,spirit_dagannoth,Spirit dagannoth,8
7341,lava_titan,Lava titan,8
7329,swamp_titan,Swamp titan,8
6853,bronze_minotaur,Bronze minotaur,8
6855,iron_minotaur,Iron minotaur,8
6857,steel_minotaur,Steel minotaur,8
6859,mithril_minotaur,Mithril minotaur,8
6861,adamant_minotaur,Adamant minotaur,8
6863,rune_minotaur,Rune minotaur,8
6822,unicorn_stallion,Unicorn stallion,8
7339,geyser_titan,Geyser titan,8
6869,wolpertinger,Wolpertinger,8
7349,abyssal_titan,Abyssal titan,8
7375,iron_titan,Iron titan,8
6873,pack_yak,Pack yak,8
7343,steel_titan,Steel titan,8
