entry,source_npc,source_name,grade,attack,defend,death,stem,layer,evidence
abyssal_lukrer,6820,Abyssal lurker,confirmed,276,278,277,abyssal,L3+L4,L3 name:abyssal demon; L4 stem:abyssal
abyssal_parasite,6818,Abyssal parasite,confirmed,276,278,277,abyssal,L3+L4,L3 name:abyssal demon; L4 stem:abyssal
abyssal_titan,7349,Abyssal titan,none,,,,,invented species,"no rig or model kin with combat audio, no name kin, no stem"
adamant_minotaur,6861,Adamant minotaur,none,,,,,invented species,"no rig or model kin with combat audio, no name kin, no stem"
albino_rat,6847,Albino rat,source,703,705,704,anger_rat,L0,2009scape combat_audio on the familiar's own record
arctic_bear,6839,Arctic bear,source,498,500,499,jungle_horror,L0,2009scape combat_audio on the familiar's own record
barker_toad,6889,Barker toad,weak,838,840,839,giant_toad,L4,L4 stem:giant_toad
beaver,6808,Beaver,none,,,,,,"no rig or model kin with combat audio, no name kin, no stem"
bloated_leech,6843,Bloated leech,incoherent,232,231,230,MIXED,L3,L3 name:abyssal leech
bronze_minotaur,6853,Bronze minotaur,none,,,,,invented species,"no rig or model kin with combat audio, no name kin, no stem"
bull_ant,6867,Bull ant,none,,,,,,"no rig or model kin with combat audio, no name kin, no stem"
bunyip,6813,Bunyip,weak,4721,4654,4669,lore_bunyip,L4,L4 stem:lore_bunyip
compost_mound,6871,Compost mound,none,,,,,invented species,"no rig or model kin with combat audio, no name kin, no stem"
desert_wyrm,6831,Desert wyrm,none,,,,,,"no rig or model kin with combat audio, no name kin, no stem"
dreadfowl,6825,Dreadfowl,none,,,,,,"no rig or model kin with combat audio, no name kin, no stem"
evil_turnip,6833,Evil turnip,none,,,,,,"no rig or model kin with combat audio, no name kin, no stem"
fire_titan,7355,Fire titan,none,,,,,invented species,"no rig or model kin with combat audio, no name kin, no stem"
forge_regent_beast,7335,Forge regent,none,,,,,,"no rig or model kin with combat audio, no name kin, no stem"
fruit_bat,6817,Fruit bat,confirmed,292,294,293,bat,L3+L4,L3 name:giant bat; L4 stem:bat
