type,entry,npc,source_npc,pouch,combat_familiar,peaceful,burden_beast,auto_assist,armed,style,style_source,reach,attack_seq,defend_seq,death_seq,attack_sound,defend_sound,death_sound,attack_speed,attack_speed_source,attack_speed_530,attack_level,strength_level,defence_level,magic_level,range_level,lifepoints,bonuses
1,spirit_wolf,summoning_spirit_wolf,6829,12047,1,0,0,1,1,melee,STYLE_ACCURATE,1,summoning_roster_530_spirit_wolf_attack,summoning_roster_530_spirit_wolf_defend,summoning_roster_530_spirit_wolf_death,,,,8,preeoc_param14,5,16,18,21,7,9,15,12 7 4 10 23 5 29 27 16 12 13 17 0 0 0
2,dreadfowl,summoning_cohort_dreadfowl_dreadfowl,6825,12043,1,0,0,1,1,magic,STYLE_CAST,10,summoning_roster_530_dreadfowl_attack,summoning_roster_530_dreadfowl_defend,summoning_roster_530_dreadfowl_death,,,,8,preeoc_param14,5,17,15,22,23,16,16,16 15 29 12 39 13 41 35 29 39 47 2 2 2 7
3,spirit_terrorbird,summoning_cohort_spirit_terrorbird_spirit_terrorbird,6794,12007,1,1,1,0,1,melee,STYLE_CONTROLLED,1,summoning_roster_530_spirit_terrorbird_attack,,summoning_roster_530_spirit_terrorbird_death,,,,8,preeoc_param14,5,50,50,50,50,50,74,
4,spirit_spider,summoning_cohort_spirit_spider_spirit_spider,6841,12059,1,0,0,1,1,melee,STYLE_CONTROLLED,1,summoning_roster_530_spirit_spider_attack,summoning_special_move_spirit_spider_egg_spawn,summoning_roster_530_spirit_spider_death,,,,8,preeoc_param14,5,17,16,17,15,12,18,15 16 11 14 34 12 24 36 46 16 37 0 0 0 0
5,thorny_snail,summoning_cohort_thorny_snail_thorny_snail,6806,12019,1,0,1,0,1,melee,STYLE_DEFENSIVE,1,summoning_roster_530_thorny_snail_attack,summoning_cohort_thorny_snail_seq_8145,summoning_roster_530_thorny_snail_death,,,,8,preeoc_param14,5,19,18,22,18,21,28,47 50 52 52 54 49 13 3 13 4 0 0 0 0 0
6,granite_crab,summoning_cohort_granite_crab_granite_crab,6796,12009,1,0,1,0,1,melee,STYLE_DEFENSIVE,1,summoning_roster_530_granite_crab_attack,summoning_roster_530_granite_crab_defend,summoning_roster_530_granite_crab_death,,,,8,preeoc_param14,3,18,17,22,13,16,39,16 9 5 12 4 11 57 53 61 12 45 22 0 0 0
7,spirit_mosquito,summoning_cohort_spirit_mosquito_spirit_mosquito,7331,12778,1,0,0,1,1,melee,STYLE_ACCURATE,1,summoning_special_move_spirit_mosquito_pester,summoning_roster_530_spirit_mosquito_defend,summoning_roster_530_spirit_mosquito_death,,,,8,preeoc_param14,5,28,24,25,21,25,43,45 49 42 39 47 46 29 43 51 16 53 10 0 0 0
8,desert_wyrm,summoning_cohort_desert_wyrm_desert_wyrm,6831,12049,1,0,1,0,1,melee,STYLE_AGGRESSIVE,1,summoning_special_move_desert_wyrm_electric_lash,,summoning_roster_530_desert_wyrm_death,,,,8,preeoc_param14,5,18,18,18,18,18,25,
9,spirit_scorpion,summoning_cohort_spirit_scorpion_spirit_scorpion,6837,12055,1,0,0,1,1,melee,STYLE_CONTROLLED,1,summoning_roster_530_spirit_scorpion_attack,,summoning_roster_530_spirit_scorpion_death,,,,8,preeoc_param14,5,19,19,19,19,19,27,
10,spirit_tz_kih,summoning_cohort_spirit_tz_kih_spirit_tz_kih,7361,12808,1,0,0,1,1,magic,STYLE_CAST,10,summoning_special_move_spirit_tz_kih_fireball_assault,,summoning_roster_530_spirit_tz_kih_death,,,,8,preeoc_param14,3,22,22,22,22,22,31,
11,albino_rat,summoning_cohort_albino_rat_albino_rat,6847,12067,1,0,1,0,0,melee,STYLE_ACCURATE,1,,,,,,,8,preeoc_param14,5,31,28,32,27,31,68,64 42 40 57 64 50 76 82 72 24 75 5 15 5 5
12,spirit_kalphite,summoning_cohort_spirit_kalphite_spirit_kalphite,6994,12063,1,0,1,0,1,melee,STYLE_DEFENSIVE,1,summoning_roster_530_spirit_kalphite_attack,,summoning_roster_530_spirit_kalphite_death,,,,8,preeoc_param14,5,25,25,25,25,25,35,
13,compost_mound,summoning_cohort_compost_mound_compost_mound,6871,12091,1,0,1,0,1,melee,STYLE_AGGRESSIVE,1,summoning_roster_530_compost_mound_attack,,summoning_roster_530_compost_mound_death,,,,8,preeoc_param14,5,28,28,28,28,28,40,
14,giant_chinchompa,summoning_cohort_giant_chinchompa_giant_chinchompa,7353,12800,1,0,0,1,1,ranged,STYLE_RANGE_ACCURATE,7,summoning_roster_530_giant_chinchompa_attack,,summoning_special_move_giant_chinchompa_explode,,,,8,preeoc_param14,5,29,29,29,29,29,41,
15,vampire_bat,summoning_cohort_vampire_bat_vampire_bat,6835,12053,1,0,0,0,0,melee,STYLE_CONTROLLED,1,summoning_special_move_vampire_bat_vampyre_touch,,summoning_roster_530_vampire_bat_death,,,,,unstated,5,31,31,31,31,31,44,
16,honey_badger,summoning_cohort_honey_badger_honey_badger,6845,12065,1,0,0,1,1,melee,STYLE_AGGRESSIVE,1,summoning_special_move_honey_badger_insane_ferocity,,summoning_roster_530_honey_badger_death,,,,8,preeoc_param14,5,32,32,32,32,32,45,
17,beaver,summoning_cohort_beaver_beaver,6808,12021,0,1,1,0,0,melee,STYLE_DEFENSIVE,1,,,,,,,,unstated,5,0,0,0,0,0,0,
18,void_ravager,summoning_cohort_void_ravager_void_ravager,7370,12818,1,0,1,0,1,melee,STYLE_AGGRESSIVE,1,summoning_roster_530_void_ravager_attack,,summoning_roster_530_void_ravager_death,,,,8,preeoc_param14,5,34,34,34,34,34,48,
19,void_spinner,summoning_cohort_void_spinner_void_spinner,7333,12780,1,1,1,0,1,melee,STYLE_DEFENSIVE,1,summoning_roster_530_void_spinner_attack,,summoning_roster_530_void_spinner_death,,,,8,preeoc_param14,5,34,34,34,34,34,48,
20,void_torcher,summoning_cohort_void_torcher_void_torcher,7351,12798,1,0,1,0,1,magic,STYLE_CAST,10,summoning_roster_530_void_torcher_attack,,summoning_roster_530_void_torcher_death,,,,8,preeoc_param14,5,34,34,34,34,34,48,
21,void_shifter,summoning_cohort_void_shifter_void_shifter,7367,12814,1,0,1,0,1,melee,STYLE_ACCURATE,1,summoning_roster_530_void_shifter_attack,,summoning_roster_530_void_shifter_death,,,,8,preeoc_param14,5,34,34,34,34,34,48,
22,bull_ant,summoning_cohort_bull_ant_bull_ant,6867,12087,1,0,1,0,1,melee,STYLE_CONTROLLED,1,summoning_roster_530_bull_ant_attack,,summoning_roster_530_bull_ant_death,,,,8,preeoc_param14,5,40,40,40,40,40,57,
23,macaw,summoning_cohort_macaw_macaw,6851,12071,1,1,1,0,0,melee,STYLE_DEFENSIVE,1,,,summoning_roster_530_macaw_death,,,,,unstated,5,1,1,1,0,1,10,
24,evil_turnip,summoning_cohort_evil_turnip_evil_turnip,6833,12051,1,0,1,0,1,ranged,STYLE_RANGE_ACCURATE,7,summoning_roster_530_evil_turnip_attack,,summoning_roster_530_evil_turnip_death,,,,8,preeoc_param14,5,42,42,42,42,42,60,
25,spirit_cockatrice,summoning_cohort_spirit_cockatrice_spirit_cockatrice,6875,12095,1,0,1,0,1,magic,STYLE_CAST,10,summoning_special_move_petrifying_gaze,,summoning_roster_530_spirit_cockatrice_death,,,,8,preeoc_param14,5,43,43,43,43,43,61,
26,spirit_guthatrice,summoning_cohort_spirit_guthatrice_spirit_guthatrice,6877,12097,1,0,1,0,1,magic,STYLE_CAST,10,summoning_special_move_petrifying_gaze,,summoning_roster_530_spirit_cockatrice_death,,,,8,preeoc_param14,5,43,43,43,43,43,61,
27,spirit_saratrice,summoning_cohort_spirit_saratrice_spirit_saratrice,6879,12099,1,0,1,0,1,magic,STYLE_CAST,10,summoning_special_move_petrifying_gaze,,summoning_roster_530_spirit_cockatrice_death,,,,8,preeoc_param14,5,43,43,43,43,43,61,
28,spirit_zamatrice,summoning_cohort_spirit_zamatrice_spirit_zamatrice,6881,12101,1,0,1,0,1,magic,STYLE_CAST,10,summoning_special_move_petrifying_gaze,,summoning_roster_530_spirit_cockatrice_death,,,,8,preeoc_param14,5,43,43,43,43,43,61,
29,spirit_pengatrice,summoning_cohort_spirit_pengatrice_spirit_pengatrice,6883,12103,1,0,0,1,1,melee,STYLE_DEFENSIVE,1,summoning_special_move_petrifying_gaze,,summoning_roster_530_spirit_cockatrice_death,,,,8,preeoc_param14,5,43,43,43,43,43,61,
30,spirit_coraxatrice,summoning_cohort_spirit_coraxatrice_spirit_coraxatrice,6885,12105,1,0,1,0,1,magic,STYLE_CAST,10,summoning_special_move_petrifying_gaze,,summoning_roster_530_spirit_cockatrice_death,,,,8,preeoc_param14,5,43,43,43,43,43,61,
31,spirit_vulatrice,summoning_cohort_spirit_vulatrice_spirit_vulatrice,6887,12107,1,0,1,0,1,magic,STYLE_CAST,10,summoning_special_move_petrifying_gaze,,summoning_roster_530_spirit_cockatrice_death,,,,8,preeoc_param14,5,43,43,43,43,43,61,
32,pyrelord,summoning_cohort_pyrelord_pyrelord,7377,12816,1,0,0,1,1,melee,STYLE_AGGRESSIVE,1,summoning_roster_530_pyrelord_attack,,summoning_roster_530_pyrelord_death,,,,8,preeoc_param14,5,46,46,46,46,46,65,
33,magpie,summoning_cohort_magpie_magpie,6824,12041,0,1,1,0,0,melee,STYLE_DEFENSIVE,1,summoning_roster_530_dreadfowl_attack,summoning_roster_530_dreadfowl_defend,summoning_roster_530_macaw_death,,,,,unstated,5,1,1,1,0,1,16,
34,bloated_leech,summoning_cohort_bloated_leech_bloated_leech,6843,12061,1,0,0,1,1,melee,STYLE_ACCURATE,1,summoning_roster_530_bloated_leech_attack,,summoning_roster_530_bloated_leech_death,,,,8,preeoc_param14,5,49,49,49,49,49,70,
35,abyssal_parasite,summoning_cohort_abyssal_parasite_abyssal_parasite,6818,12035,1,0,1,0,1,melee,STYLE_DEFENSIVE,1,summoning_roster_530_abyssal_parasite_attack,,summoning_roster_530_abyssal_parasite_death,,,,8,preeoc_param14,5,50,50,50,50,50,77,
36,spirit_jelly,summoning_cohort_spirit_jelly_spirit_jelly,6992,12027,1,0,0,1,1,melee,STYLE_AGGRESSIVE,1,summoning_roster_530_spirit_jelly_attack,,summoning_roster_530_spirit_jelly_death,,,,8,preeoc_param14,5,50,50,50,50,50,78,
37,ibis,summoning_cohort_ibis_ibis,6991,12531,0,1,1,0,0,melee,STYLE_DEFENSIVE,1,,,,,,,,unstated,5,0,0,0,0,0,0,
38,spirit_kyatt,summoning_cohort_spirit_kyatt_spirit_kyatt,7365,12812,1,0,0,1,1,melee,STYLE_ACCURATE,1,summoning_roster_530_spirit_kyatt_attack,,summoning_roster_530_spirit_kyatt_death,,,,8,preeoc_param14,5,50,50,50,50,50,81,
39,spirit_larupia,summoning_cohort_spirit_larupia_spirit_larupia,7337,12784,1,0,0,1,1,melee,STYLE_CONTROLLED,1,summoning_roster_530_spirit_kyatt_attack,,summoning_roster_530_spirit_kyatt_death,,,,8,preeoc_param14,5,50,50,50,50,50,81,
40,spirit_graahk,summoning_cohort_spirit_graahk_spirit_graahk,7363,12810,1,0,0,1,1,melee,STYLE_AGGRESSIVE,1,summoning_special_move_rending,,summoning_roster_530_spirit_kyatt_death,,,,8,preeoc_param14,5,50,50,50,50,50,81,
41,karamthulhu,summoning_cohort_karamthulhu_karamthulhu,6809,12023,1,0,0,1,1,ranged,STYLE_RANGE_ACCURATE,7,summoning_special_move_karamthulhu_doomsphere_device,,summoning_roster_530_karamthulhu_death,,,,8,preeoc_param14,5,50,50,50,50,50,82,
42,smoke_devil,summoning_cohort_smoke_devil_smoke_devil,6865,12085,1,0,0,1,1,magic,STYLE_CAST,10,summoning_roster_530_smoke_devil_attack,,summoning_roster_530_smoke_devil_death,,,,8,preeoc_param14,5,55,55,55,55,55,87,
43,abyssal_lukrer,summoning_cohort_abyssal_lurker_abyssal_lurker,6820,12037,1,0,1,0,1,magic,STYLE_CAST,10,summoning_roster_530_abyssal_lukrer_attack,,summoning_roster_530_abyssal_lukrer_death,,,,8,preeoc_param14,5,55,55,55,55,55,88,
44,spirit_cobra,summoning_cohort_spirit_cobra_spirit_cobra,6802,12015,1,0,0,1,1,melee,STYLE_ACCURATE,1,summoning_roster_530_spirit_cobra_attack,,summoning_roster_530_spirit_cobra_death,,,,8,preeoc_param14,5,55,55,55,55,55,90,
45,stranger_plant,summoning_cohort_stranger_plant_stranger_plant,6827,12045,1,0,1,0,1,melee,STYLE_DEFENSIVE,1,summoning_roster_530_stranger_plant_attack,,summoning_roster_530_stranger_plant_death,,,,8,preeoc_param14,5,55,55,55,55,55,91,
46,barker_toad,summoning_cohort_barker_toad_barker_toad,6889,12123,1,0,0,1,1,melee,STYLE_AGGRESSIVE,1,summoning_special_move_barker_toad_toad_bark,,summoning_roster_530_barker_toad_death,,,,8,preeoc_param14,5,55,55,55,55,55,94,
47,war_tortoise,summoning_cohort_war_tortoise_war_tortoise,6815,12031,1,1,1,0,1,melee,STYLE_DEFENSIVE,1,summoning_roster_530_war_tortoise_attack,,summoning_roster_530_war_tortoise_death,,,,8,preeoc_param14,5,55,55,55,55,55,95,
48,bunyip,summoning_cohort_bunyip_bunyip,6813,12029,1,1,0,0,1,melee,STYLE_ACCURATE,1,summoning_roster_530_bunyip_attack,summoning_roster_530_bunyip_defend,summoning_roster_530_bunyip_death,,,,8,preeoc_param14,5,1,1,1,0,1,40,
49,fruit_bat,summoning_cohort_fruit_bat_fruit_bat,6817,12033,0,1,1,0,0,melee,STYLE_DEFENSIVE,1,,,,,,,,unstated,5,1,1,1,0,1,10,
50,ravenous_locust,summoning_cohort_ravenous_locust_ravenous_locust,7372,12820,1,0,0,1,1,melee,STYLE_ACCURATE,1,summoning_roster_530_ravenous_locust_attack,,summoning_roster_530_ravenous_locust_death,,,,8,preeoc_param14,5,0,0,0,0,0,0,
51,arctic_bear,summoning_cohort_arctic_bear_arctic_bear,6839,12057,1,0,0,1,1,melee,STYLE_CONTROLLED,1,summoning_roster_530_arctic_bear_attack,summoning_roster_530_arctic_bear_defend,summoning_roster_530_arctic_bear_death,,,,8,preeoc_param14,5,60,60,60,60,60,10,90 50 50 60 90 80 50 30 40 100 0 0 0 0 0
52,phoenix,summoning_cohort_phoenix_phoenix,8575,14623,1,0,0,1,1,melee,STYLE_DEFENSIVE,1,summoning_roster_530_phoenix_attack,,summoning_roster_530_phoenix_death,,,,8,preeoc_param14,5,0,0,0,0,0,0,
