entity_kind,entry,stage,source_npc,source_obj,source_name,base_seqs,framemaps,rig_candidate_count,attack_seq,magic_seq,range_seq,defend_seq,death_seq,combat_audio,asset_status
familiar,spirit_wolf,familiar,6829,12047,Spirit wolf,8297 8291,1491,53,8292,8292,8292,8294,8295,,catalogued
familiar,dreadfowl,familiar,6825,12043,Dreadfowl,5386 7808,1255,13,7810,7810,7810,5388,7813,,catalogued
familiar,spirit_spider,familiar,6841,12059,Spirit spider,5326 5325,1248,24,5327,5327,5327,5328,5329,"537,539,538",catalogued
familiar,thorny_snail,familiar,6806,12019,Thorny snail,8146 8145,1730,10,8143,8143,8143,8145,8144,,catalogued
familiar,granite_crab,familiar,6796,12009,Granite crab,8098 8100,559,21,8104,8104,8104,8105,8106,,catalogued
familiar,spirit_mosquito,familiar,7331,12778,Spirit mosquito,8035 8038,1745,22,8032,8032,8032,8034,8033,,catalogued
familiar,desert_wyrm,familiar,6831,12049,Desert wyrm,7793 7792,1725,20,7795,,,,7797,,catalogued
familiar,spirit_scorpion,familiar,6837,12055,Spirit scorpion,6252 6253,1426,21,6254,,,,6256,"3611,3612,3610",catalogued
familiar,spirit_tz_kih,familiar,7361,12808,Spirit Tz-Kih,8255 8256,1722,17,8257,,,,8258,,catalogued
familiar,albino_rat,familiar,6847,12067,Albino rat,4932 4931,1152,10,,,,,,"703,705,704",catalogued
familiar,spirit_kalphite,familiar,6994,12063,Spirit kalphite,8518 6220,1422,31,6223,,,,6228,,catalogued
familiar,compost_mound,familiar,6871,12091,Compost mound,7772 7768,1728,11,7769,,,,7770,,catalogued
familiar,giant_chinchompa,familiar,7353,12800,Giant chinchompa,7751 7750,1749,9,7755,,,,7758,,catalogued
familiar,vampire_bat,familiar,6835,12053,Vampire bat,8271 8273,1153,17,8275,,,,8276,,catalogued
familiar,honey_badger,familiar,6845,12065,Honey badger,7924 7923,1724,9,7928,,,,7925,,catalogued
familiar,beaver,familiar,6808,12021,Beaver,7718 7719,1748,9,,,,,,,catalogued
familiar,void_ravager,familiar,7370,12818,Void ravager,8089 8092,1747,12,8086,,,,8087,,catalogued
familiar,void_spinner,familiar,7333,12780,Void spinner,8171 8175,1744,10,8172,,,,8176,,catalogued
familiar,void_torcher,familiar,7351,12798,Void torcher,8233 8234,1735,9,8235,,,,8236,,catalogued
familiar,void_shifter,familiar,7367,12814,Void shifter,8129 8128,1742,9,8131,,,,8133,,catalogued
familiar,bronze_minotaur,familiar,6853,12073,Bronze minotaur,8021 8022,1718,9,8024,,,8023,8025,,catalogued
familiar,iron_minotaur,familiar,6855,12075,Iron minotaur,8021 8022,1718,9,8024,,,8023,8025,,catalogued
