graphics/raster/batch/raster.batch.h	impl/raster/walk/walk.batched.h
graphics/raster/batch/raster.batch.u.c	impl/raster/walk/walk.batched.u.c
graphics/raster/flat/flat.screen.alpha.branching.s4.c	impl/raster/flat/raster.flat.alpha.nofacealpha.nomodulate.painter.branching.s4.scalar.c
graphics/raster/flat/flat.screen.alpha.sort.s4.u.c	impl/raster/flat/raster.flat.alpha.nofacealpha.nomodulate.painter.sort.s4.scalar.u.c
graphics/raster/flat/flat.screen.opaque.branching.s4.c	impl/raster/flat/raster.flat.opaque.nofacealpha.nomodulate.painter.branching.s4.scalar.c
graphics/raster/flat/flat.screen.opaque.sort.s4.u.c	impl/raster/flat/raster.flat.opaque.nofacealpha.nomodulate.painter.sort.s4.scalar.u.c
graphics/raster/flat/flat_tri_aarch64.S	impl/raster/asm/tri.flat.aarch64.S
graphics/raster/flat/flat_tri_i686.S	impl/raster/asm/tri.flat.i686.S
graphics/raster/gouraudhsllightness/gouraud_tri_aarch64.S	impl/raster/asm/tri.gouraudhsllightness.aarch64.S
graphics/raster/gouraudhsllightness/gouraud_tri_i686.S	impl/raster/asm/tri.gouraudhsllightness.i686.S
graphics/raster/gouraudhsllightness/gouraudhsllightness.screen.alpha.bary.branching.s1.c	impl/raster/gouraudhsllightness/raster.gouraudhsllightness.alpha.nofacealpha.nomodulate.painter.branching.s1.scalar.c
graphics/raster/gouraudhsllightness/gouraudhsllightness.screen.alpha.bary.branching.s4.c	impl/raster/gouraudhsllightness/raster.gouraudhsllightness.alpha.nofacealpha.nomodulate.painter.branching.s4.scalar.c
graphics/raster/gouraudhsllightness/gouraudhsllightness.screen.opaque.bary.branching.s4.c	impl/raster/gouraudhsllightness/raster.gouraudhsllightness.opaque.nofacealpha.nomodulate.painter.branching.s4.scalar.c
graphics/raster/gouraudhsllightness/gouraudhsllightness.screen.opaque.bary.sort.s1.u.c	impl/raster/gouraudhsllightness/raster.gouraudhsllightness.opaque.nofacealpha.nomodulate.painter.sort.s1.scalar.u.c
graphics/raster/gouraudhsllightness/span/gouraudhsllightness.screen.alpha.span.avx.u.c	impl/raster/span/span.gouraudhsllightness.alpha.avx.u.c
graphics/raster/gouraudhsllightness/span/gouraudhsllightness.screen.alpha.span.h	impl/raster/span/span.gouraudhsllightness.alpha.dispatch.h
graphics/raster/gouraudhsllightness/span/gouraudhsllightness.screen.alpha.span.neon.u.c	impl/raster/span/span.gouraudhsllightness.alpha.neon.u.c
graphics/raster/gouraudhsllightness/span/gouraudhsllightness.screen.alpha.span.scalar.u.c	impl/raster/span/span.gouraudhsllightness.alpha.scalar.u.c
graphics/raster/gouraudhsllightness/span/gouraudhsllightness.screen.alpha.span.sse2.u.c	impl/raster/span/span.gouraudhsllightness.alpha.sse2.u.c
graphics/raster/gouraudhsllightness/span/gouraudhsllightness.screen.alpha.span.u.c	impl/raster/span/span.gouraudhsllightness.alpha.dispatch.u.c
graphics/raster/gouraudrgb/gouraudrgb.screen.alpha.bary.branching.s4.c	impl/raster/gouraudrgb/raster.gouraudrgb.alpha.nofacealpha.nomodulate.painter.branching.s4.scalar.c
graphics/raster/gouraudrgb/gouraudrgb.screen.bary.branching.s4.inc	impl/raster/gouraudrgb/raster.gouraudrgb.opaque.nofacealpha.nomodulate.painter.branching.s4.scalar.inc
graphics/raster/gouraudrgb/gouraudrgb.screen.opaque.bary.branching.s4.c	impl/raster/gouraudrgb/raster.gouraudrgb.opaque.nofacealpha.nomodulate.painter.branching.s4.scalar.c
graphics/raster/scanline/scanline.flat.screen.u.c	impl/raster/scanline/scanline.flat.u.c
graphics/raster/scanline/scanline.gouraudhsllightness.screen.u.c	impl/raster/scanline/scanline.gouraudhsllightness.u.c
graphics/raster/scanline/scanline.texture.u.c	impl/raster/scanline/scanline.texture.u.c
graphics/raster/scanline/scanline.u.c	impl/raster/scanline/scanline.dispatch.u.c
graphics/raster/scanline/span/scanline.span.solid.u.c	impl/raster/span/span.solid.scanline.scalar.u.c
graphics/raster/texture/span/tex.span.avx.u.c	impl/raster/span/span.tex.avx.u.c
graphics/raster/texture/span/tex.span.gates.u.c	impl/raster/span/span.tex.gates.u.c
graphics/raster/texture/span/tex.span.neon.u.c	impl/raster/span/span.tex.neon.u.c
graphics/raster/texture/span/tex.span.scalar.u.c	impl/raster/span/span.tex.scalar.u.c
graphics/raster/texture/span/tex.span.sse2.u.c	impl/raster/span/span.tex.sse2.u.c
graphics/raster/texture/span/tex.span.sse41.u.c	impl/raster/span/span.tex.sse41.u.c
graphics/raster/texture/span/tex.span.u.c	impl/raster/span/span.tex.dispatch.u.c
graphics/raster/texture/span/tex_span_i686.S	impl/raster/asm/span.tex.i686.S
graphics/raster/texture/span/tex_span_x64.S	impl/raster/asm/span.tex.x64.S
graphics/raster/texture/tex_tri_aarch64.S	impl/raster/asm/tri.tex.aarch64.S
graphics/raster/texture/tex_tri_i686.S	impl/raster/asm/tri.tex.i686.S
graphics/raster/texture/texcube.persp.texalpha.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcube.perspective.texalpha.nofacealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcube.persp.texalpha.facealpha.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcube.perspective.texalpha.facealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcube.persp.texalpha.facealpha.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcube.perspective.texalpha.facealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcube.persp.texalpha.facealpha.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcube.perspective.texalpha.facealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcube.persp.texalpha.facealpha.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcube.perspective.texalpha.facealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcube.persp.texalpha.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcube.perspective.texalpha.nofacealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcube.persp.texalpha.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcube.perspective.texalpha.nofacealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcube.persp.texalpha.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcube.perspective.texalpha.nofacealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcube.persp.texopaque.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcube.perspective.texopaque.nofacealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcube.persp.texopaque.facealpha.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcube.perspective.texopaque.facealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcube.persp.texopaque.facealpha.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcube.perspective.texopaque.facealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcube.persp.texopaque.facealpha.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcube.perspective.texopaque.facealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcube.persp.texopaque.facealpha.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcube.perspective.texopaque.facealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcube.persp.texopaque.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcube.perspective.texopaque.nofacealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcube.persp.texopaque.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcube.perspective.texopaque.nofacealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
