kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,1000,
meta,frames_over_20ms,,,,,978,
meta,eff_fps,,,,,11.579,
stage,frame,86362315,65718129,111521436,6732338886,,
stage,async,2555901,21231,1998298,2106579189,,
stage,logic,43152896,21556651,65278408,6496321739,,
stage,cs2,42487313,20940650,64673302,6495018500,,
stage,layout,15889,13689,18996,1624787,,
stage,interact,93394,70400,77663,23595736,,
stage,emit,2834078,2236318,2332140,27358225,,
stage,paint,1576962,1095111,1166070,50062787,,
stage,build,1583929,1102096,1173054,50070330,,
stage,render,27087976,20107584,43462786,69737354,,
stage,pick_finish,0,0,0,0,,
stage,present,1520381,1013536,1085892,24570721,,
stage,server,0,0,0,0,,
stage,platform_poll,54276,16203,94705,15943087,,
stage,command_drain,91723,5866,65651,33121248,,
stage,app_run,49032656,25047318,70661495,6634601604,,
stage,frame_post,1398938,959899,1038121,33371839,,
stage,input_prep,105702,36038,114819,31042772,,
stage,surface_sync,8252,6426,7543,1629816,,
stage,display,34263811,36903014,49233352,86084404,,
stage,window_sync,1037803,769651,830273,59776592,,
stage,pace,261517,4000,4000,37589000,,
stage,period,86647172,65745000,112190000,6732400000,,
stage,cs2_settle,14194866,6782147,31939255,1234927345,,
stage,ui_icon,2482,0,0,1541817,,
stage,tick_packets,13758152,91631,12038401,5642268779,,
cpu,main_thread,70187500,46875000,93750000,6031250000,,
cpu_info,coarse_direct,,,,,,
cpu_raw,main_thread_calibration_clock_total,,,,,70187500000,70187500.000000
counter,uitree_find_id,,,,,803179,803.179000
counter,uitree_find_id_probes,,,,,3634384,3634.384000
counter,uitree_find_id_linear,,,,,343,0.343000
counter,uitree_id_rebuild,,,,,24,0.024000
counter,uitree_find_child,,,,,63466,63.466000
counter,uitree_find_child_hit,,,,,34606,34.606000
counter,uitree_find_child_ceil_miss,,,,,26088,26.088000
counter,uitree_walk_emit,,,,,2763448,2763.448000
counter,uitree_walk_emit_drag,,,,,0,0.000000
counter,uitree_walk_hit,,,,,664867,664.867000
counter,uitree_walk_hover,,,,,112436,112.436000
counter,uitree_walk_drop,,,,,0,0.000000
counter,uitree_emit_skip,,,,,2129275,2129.275000
counter,uitree_layout_resolve,,,,,7412,7.412000
counter,uitree_layout_skip,,,,,3771,3.771000
counter,uitree_layout_nodes,,,,,25907659,25907.659000
counter,uitree_layout_node_skip,,,,,25163460,25163.460000
counter,uitree_layout_depth_recompute,,,,,3610,3.610000
counter,uitree_ensure_layout,,,,,77735,77.735000
counter,uitree_cc_create,,,,,30283,30.283000
counter,uitree_cc_delete,,,,,30,0.030000
counter,uitree_cc_deleteall,,,,,4116,4.116000
counter,uitree_cc_deleteall_rows,,,,,9902,9.902000
counter,uitree_apply_geo,,,,,58996,58.996000
counter,uitree_apply_content,,,,,68945,68.945000
counter,uitree_apply_hook,,,,,33089,33.089000
counter,uitree_apply_other,,,,,57360,57.360000
counter,uitree_key_scan,,,,,0,0.000000
counter,uitree_key_scan_nodes,,,,,0,0.000000
counter,uitree_components,,,,,6959010,6959.010000
counter,uitree_capacity,,,,,7964672,7964.672000
counter,uitree_free_list,,,,,5316,5.316000
counter,uitree_node_bytes,,,,,5479694336,5479694.336000
counter,cs2_scripts,,,,,79002,79.002000
counter,cs2_opcodes,,,,,8015290,8015.290000
counter,cs2_host_ops,,,,,1179333,1179.333000
counter,cs2_cycles,,,,,8015290,8015.290000
counter,cs2_aborts,,,,,0,0.000000
counter,cs2_vm_acquire,,,,,76671,76.671000
counter,cs2_vm_pool_hit,,,,,76670,76.670000
counter,cs2_vm_pool_miss,,,,,1,0.001000
counter,cs2_vm_init_ns,,,,,789943638,789943.638000
counter,cs2_frame_pool_hit,,,,,115871,115.871000
counter,cs2_frame_pool_miss,,,,,10,0.010000
counter,cache_model_hit,,,,,24543,24.543000
counter,cache_model_miss,,,,,194,0.194000
counter,cache_model_evict,,,,,0,0.000000
counter,cache_sprite_hit,,,,,18144,18.144000
counter,cache_sprite_miss,,,,,1134,1.134000
counter,cache_sprite_evict,,,,,0,0.000000
counter,cache_texture_hit,,,,,0,0.000000
counter,cache_texture_miss,,,,,0,0.000000
counter,cache_objtype_hit,,,,,0,0.000000
counter,cache_objtype_miss,,,,,0,0.000000
counter,cache_npctype_hit,,,,,0,0.000000
counter,cache_npctype_miss,,,,,0,0.000000
counter,cache_loc_hit,,,,,0,0.000000
counter,cache_loc_miss,,,,,0,0.000000
counter,cache_other_hit,,,,,0,0.000000
counter,cache_other_miss,,,,,0,0.000000
counter,cache_group_hit,,,,,0,0.000000
counter,cache_group_miss,,,,,0,0.000000
counter,cache_group_evict,,,,,0,0.000000
counter,cache_archive_hit,,,,,0,0.000000
counter,cache_archive_miss,,,,,0,0.000000
counter,cache_archive_evict,,,,,0,0.000000
counter,model_inst_hit,,,,,150,0.150000
counter,model_inst_miss,,,,,135,0.135000
counter,model_inst_evict,,,,,36,0.036000
counter,painter_pops,,,,,5930046,5930.046000
counter,painter_gate_rejects,,,,,2391850,2391.850000
counter,painter_pushes,,,,,5930046,5930.046000
counter,painter_push_dedup,,,,,5999654,5999.654000
counter,painter_drain_events,,,,,0,0.000000
counter,painter_commands,,,,,1055935,1055.935000
counter,painter_tiles_remaining_set,,,,,3149208,3149.208000
counter,scene_elements,,,,,16966773,16966.773000
counter,scene_anim_list,,,,,187008,187.008000
counter,zone_map_count,,,,,0,0.000000
counter,zone_map_capacity,,,,,0,0.000000
counter,npc_slot_max,,,,,0,0.000000
counter,cache_model_size,,,,,109919,109.919000
counter,cache_sprite_size,,,,,725309,725.309000
counter,iface_open,,,,,92,0.092000
counter,iface_close,,,,,50,0.050000
counter,iface_bake,,,,,64,0.064000
counter,iface_bake_reuse,,,,,28,0.028000
counter,iface_mount_ns,,,,,257362875,257362.875000
counter,iface_close_ns,,,,,72176776,72176.776000
counter,iface_groups_resident,,,,,25228,25.228000
counter,uitree_hidden,,,,,3147240,3147.240000
counter,uitree_unmounted,,,,,1021,1.021000
counter,uitree_freed,,,,,5286,5.286000
counter,uitree_hook_blocks,,,,,2094725,2094.725000
counter,uitree_hook_bytes,,,,,1675780000,1675780.000000
counter,host_inv_hooks,,,,,19201,19.201000
counter,host_var_hooks,,,,,165289,165.289000
counter,host_stat_hooks,,,,,65704,65.704000
counter,bridge_sprite_map,,,,,526601,526.601000
counter,bridge_model_map,,,,,0,0.000000
counter,bridge_obj_icon_map,,,,,10606,10.606000
counter,cache_clientscript_size,,,,,555432,555.432000
counter,uitree_anim_scan,,,,,6826,6.826000
counter,uitree_anim_scan_nodes,,,,,0,0.000000
counter,uitree_anim_model_nodes,,,,,0,0.000000
