kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame,window
window_stage,frame,253783357,100730400,1312185767,6732338886,,,0
window_stage,async,24278616,1765867,2709842,2106579189,,,0
window_stage,logic,193855372,57583855,1237563712,6496321739,,,0
window_stage,cs2,193108425,56836275,1237059459,6495018500,,,0
window_stage,layout,13932,17042,23468,31849,,,0
window_stage,interact,58459,69562,71518,78222,,,0
window_stage,emit,1852489,2229613,2315658,13601729,,,0
window_stage,paint,1709854,1072482,1306870,50062787,,,0
window_stage,build,1715787,1079188,1314134,50070330,,,0
window_stage,render,21382357,19957565,37349161,69737354,,,0
window_stage,pick_finish,0,0,0,0,,,0
window_stage,present,1554823,1018844,1116343,16591773,,,0
window_stage,server,0,0,0,0,,,0
window_stage,platform_poll,177441,87441,553981,3407137,,,0
window_stage,command_drain,768251,6425,1741562,33121248,,,0
window_stage,app_run,220254331,63030916,1267446840,6634601604,,,0
window_stage,frame_post,1293007,949283,1096787,21649679,,,0
window_stage,input_prep,198949,107555,576330,3430045,,,0
window_stage,surface_sync,23413,7264,7823,1629816,,,0
window_stage,display,27468468,26923813,47590685,86084404,,,0
window_stage,window_sync,1246013,716851,1535391,59776592,,,0
window_stage,pace,1694910,4000,11628000,14981000,,,0
window_stage,period,254138190,100748000,1312214000,6732400000,,,0
window_stage,cs2_settle,50583465,19651939,54580400,1234927345,,,0
window_stage,ui_icon,24824,0,0,1541817,,,0
window_stage,tick_packets,128291137,9990098,93542335,5642268779,,,0
window_cpu,main_thread,220312500,78125000,1171875000,6031250000,,,0
window_cpu_info,coarse_direct,,,,,,,0
window_cpu_raw,main_thread_calibration_clock_total,,,,,22031250000,220312500.000000,0
window_counter,uitree_find_id,,,,,555595,5555.950000,0
window_counter,uitree_find_id_probes,,,,,2525736,25257.360000,0
window_counter,uitree_find_id_linear,,,,,333,3.330000,0
window_counter,uitree_id_rebuild,,,,,21,0.210000,0
window_counter,uitree_find_child,,,,,53269,532.690000,0
window_counter,uitree_find_child_hit,,,,,27284,272.840000,0
window_counter,uitree_find_child_ceil_miss,,,,,23220,232.200000,0
window_counter,uitree_walk_emit,,,,,203263,2032.630000,0
window_counter,uitree_walk_hit,,,,,49267,492.670000,0
window_counter,uitree_walk_hover,,,,,9006,90.060000,0
window_counter,uitree_emit_skip,,,,,157026,1570.260000,0
window_counter,uitree_layout_resolve,,,,,1365,13.650000,0
window_counter,uitree_layout_skip,,,,,747,7.470000,0
window_counter,uitree_layout_nodes,,,,,4201752,42017.520000,0
window_counter,uitree_layout_node_skip,,,,,3477707,34777.070000,0
window_counter,uitree_layout_depth_recompute,,,,,587,5.870000,0
window_counter,uitree_ensure_layout,,,,,13176,131.760000,0
window_counter,uitree_cc_create,,,,,27653,276.530000,0
window_counter,uitree_cc_delete,,,,,10,0.100000,0
window_counter,uitree_cc_deleteall,,,,,1073,10.730000,0
window_counter,uitree_cc_deleteall_rows,,,,,7280,72.800000,0
window_counter,uitree_apply_geo,,,,,40729,407.290000,0
window_counter,uitree_apply_content,,,,,62119,621.190000,0
