kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame,window
window_stage,frame,169129696,67442371,204622096,6646465403,,,0
window_stage,async,16052819,222934,2253638,890034628,,,0
window_stage,logic,110316802,10306897,72770422,6031312639,,,0
window_stage,cs2,109554949,9529423,70616797,6029296740,,,0
window_stage,layout,7503,9219,15086,16203,,,0
window_stage,interact,429135,378820,423518,15534935,,,0
window_stage,emit,2219891,2817677,2893106,19017501,,,0
window_stage,paint,716722,1063822,1107682,1571149,,,0
window_stage,build,722264,1071924,1115504,1588470,,,0
window_stage,render,31012399,33148906,51416032,178239134,,,0
window_stage,pick_finish,0,0,0,0,,,0
window_stage,present,1285462,1178362,1423365,5375543,,,0
window_stage,server,0,0,0,0,,,0
window_stage,platform_poll,354413,16482,481067,24959318,,,0
window_stage,command_drain,1040981,6146,6763989,49224133,,,0
window_stage,app_run,131457492,15428497,164484034,6628698061,,,0
window_stage,frame_post,1492541,1074718,1142324,27959699,,,0
window_stage,input_prep,375648,36597,550629,24984181,,,0
window_stage,surface_sync,24561,6705,7822,1777042,,,0
window_stage,display,32885506,35993122,54073911,179328658,,,0
window_stage,window_sync,940918,432737,451733,53238889,,,0
window_stage,pace,2954250,4000,16493000,23856000,,,0
window_stage,period,171445310,67463000,204681000,6646537000,,,0
window_stage,cs2_settle,17666432,6926578,32129224,510474097,,,0
window_stage,ui_icon,1275821,0,0,127582139,,,0
window_stage,tick_packets,91476235,132140,33899001,5515330579,,,0
window_stage,cs2_settle_layout,6989,8660,14248,17320,,,0
window_stage,present_fill,3447,3352,3632,10337,,,0
window_stage,present_blit,1290504,1162159,2160889,5358503,,,0
window_stage,cs2_host_op,13210518,1627304,17504744,911712996,,,0
window_stage,cs2_settle_followups,7978,9220,15924,29334,,,0
window_stage,cs2_script,24507893,3817522,21596041,1699018149,,,0
window_stage,task_queue_run,64977369,8991645,65349929,3898520863,,,0
window_stage,cs2_task_start,1353188,1003480,1872014,19010792,,,0
window_stage,cs2_script_in,23813465,4408101,22542537,1598903508,,,0
window_stage,task_io,59549767,334120,47774508,2701525222,,,0
window_stage,r_clear,646129,700927,762387,16164345,,,0
window_stage,r_model,20978986,23408559,40805490,42682256,,,0
window_stage,r_sprite,1909932,2345825,2433539,19889959,,,0
window_stage,r_font,210118,310933,325182,392507,,,0
window_stage,r_rect,26408,38551,40508,98616,,,0
window_stage,r_other,909016,110350,118450,83480836,,,0
window_cpu,main_thread,137187500,46875000,140625000,5625000000,,,0
window_cpu_info,coarse_direct,,,,,,,0
window_cpu_raw,main_thread_calibration_clock_total,,,,,13718750000,137187500.000000,0
window_counter,uitree_find_id,,,,,203644,2036.440000,0
window_counter,uitree_find_id_probes,,,,,304243,3042.430000,0
window_counter,uitree_find_id_linear,,,,,56,0.560000,0
window_counter,uitree_id_rebuild,,,,,9,0.090000,0
window_counter,uitree_find_child,,,,,20138,201.380000,0
window_counter,uitree_find_child_hit,,,,,10750,107.500000,0
window_counter,uitree_find_child_ceil_miss,,,,,8705,87.050000,0
window_counter,uitree_walk_emit,,,,,188561,1885.610000,0
window_counter,uitree_walk_hit,,,,,53628,536.280000,0
window_counter,uitree_walk_hover,,,,,9432,94.320000,0
window_counter,uitree_emit_skip,,,,,146481,1464.810000,0
window_counter,uitree_layout_resolve,,,,,705,7.050000,0
window_counter,uitree_layout_skip,,,,,548,5.480000,0
window_counter,uitree_layout_nodes,,,,,944122,9441.220000,0
window_counter,uitree_layout_node_skip,,,,,848726,8487.260000,0
window_counter,uitree_layout_depth_recompute,,,,,69,0.690000,0
window_counter,uitree_ensure_layout,,,,,6577,65.770000,0
window_counter,uitree_cc_create,,,,,9162,91.620000,0
window_counter,uitree_cc_deleteall,,,,,526,5.260000,0
window_counter,uitree_cc_deleteall_rows,,,,,3644,36.440000,0
window_counter,uitree_apply_geo,,,,,14191,141.910000,0
window_counter,uitree_apply_content,,,,,18554,185.540000,0
window_counter,uitree_apply_hook,,,,,10435,104.350000,0
window_counter,uitree_apply_hook_skip,,,,,7106,71.060000,0
window_counter,uitree_apply_other,,,,,20153,201.530000,0
window_counter,uitree_apply_nochange,,,,,20045,200.450000,0
window_gauge,uitree_components,,,,,7128,7128.000000,0
window_gauge,uitree_capacity,,,,,8192,8192.000000,0
window_gauge,uitree_node_bytes,,,,,5636096,5636096.000000,0
window_counter,cs2_scripts,,,,,10898,108.980000,0
window_counter,cs2_opcodes,,,,,1426995,14269.950000,0
window_counter,cs2_host_ops,,,,,217516,2175.160000,0
window_counter,cs2_cycles,,,,,1426995,14269.950000,0
window_counter,cs2_vm_acquire,,,,,8635,86.350000,0
window_counter,cs2_vm_pool_hit,,,,,8634,86.340000,0
window_counter,cs2_vm_pool_miss,,,,,1,0.010000,0
window_counter,cs2_vm_init_ns,,,,,43255237,432552.370000,0
window_counter,cs2_vm_release_ns,,,,,63577349,635773.490000,0
window_counter,cs2_frame_pool_hit,,,,,12491,124.910000,0
window_counter,cs2_frame_pool_miss,,,,,10,0.100000,0
window_counter,cs2_frame_push,,,,,41849,418.490000,0
window_counter,cs2_frame_clear_bytes,,,,,681428,6814.280000,0
window_counter,cs2_frame_locals_bytes,,,,,2976,29.760000,0
window_counter,cache_model_hit,,,,,10916,109.160000,0
window_counter,cache_model_miss,,,,,1927,19.270000,0
window_counter,cache_sprite_hit,,,,,5110,51.100000,0
window_counter,cache_sprite_miss,,,,,1089,10.890000,0
window_counter,model_inst_hit,,,,,1120,11.200000,0
window_counter,model_inst_miss,,,,,946,9.460000,0
window_counter,model_inst_evict,,,,,835,8.350000,0
window_counter,painter_pops,,,,,419182,4191.820000,0
window_counter,painter_gate_rejects,,,,,186605,1866.050000,0
window_counter,painter_pushes,,,,,419182,4191.820000,0
window_counter,painter_push_dedup,,,,,391070,3910.700000,0
window_gauge,painter_commands,,,,,1647,1647.000000,0
window_gauge,painter_tiles_remaining_set,,,,,3252,3252.000000,0
window_gauge,scene_elements,,,,,23183,23183.000000,0
window_gauge,scene_anim_list,,,,,110,110.000000,0
window_gauge,cache_model_size,,,,,993,993.000000,0
window_gauge,cache_sprite_size,,,,,703,703.000000,0
window_counter,iface_open,,,,,23,0.230000,0
window_counter,iface_close,,,,,2,0.020000,0
window_counter,iface_bake,,,,,20,0.200000,0
window_counter,iface_bake_reuse,,,,,3,0.030000,0
window_counter,iface_mount_ns,,,,,213130999,2131309.990000,0
window_counter,iface_close_ns,,,,,6426,64.260000,0
window_gauge,iface_groups_resident,,,,,25,25.000000,0
window_gauge,uitree_hidden,,,,,3212,3212.000000,0
window_gauge,uitree_unmounted,,,,,1,1.000000,0
window_gauge,uitree_hook_blocks,,,,,2144,2144.000000,0
window_gauge,uitree_hook_bytes,,,,,1715200,1715200.000000,0
window_gauge,host_inv_hooks,,,,,9,9.000000,0
window_gauge,host_var_hooks,,,,,193,193.000000,0
window_gauge,host_stat_hooks,,,,,70,70.000000,0
window_gauge,bridge_sprite_map,,,,,500,500.000000,0
window_gauge,bridge_obj_icon_map,,,,,17,17.000000,0
window_gauge,cache_clientscript_size,,,,,563,563.000000,0
window_counter,uitree_anim_scan,,,,,578,5.780000,0
window_counter,iface_group_scan_nodes,,,,,2364,23.640000,0
window_counter,logic_ticks,,,,,292,2.920000,0
window_counter,proto_packets,,,,,403,4.030000,0
window_counter,ui_icon_raster,,,,,17,0.170000,0
window_counter,npc_model_cache_hit,,,,,4,0.040000,0
window_counter,npc_model_cache_miss,,,,,17,0.170000,0
window_counter,present_blit_1to1,,,,,102,1.020000,0
window_counter,present_blit_pixels,,,,,40622280,406222.800000,0
window_counter,present_fill_pixels,,,,,21126,211.260000,0
window_counter,chrome_strip_vischeck,,,,,134,1.340000,0
window_counter,emit_list_same,,,,,66,0.660000,0
window_counter,emit_list_diff,,,,,3,0.030000,0
window_counter,emit_desc_diff,,,,,143,1.430000,0
window_counter,emit_dirty_bumps,,,,,54877,548.770000,0
window_counter,emit_dirty_unreached,,,,,9664,96.640000,0
window_counter,emit_dirty_mark,,,,,31722,317.220000,0
window_counter,emit_dirty_topo,,,,,23136,231.360000,0
window_counter,emit_gen_quiet,,,,,1,0.010000,0
window_counter,task_steps,,,,,4181,41.810000,0
window_counter,task_resumes,,,,,12300,123.000000,0
window_counter,task_ends,,,,,9157,91.570000,0
window_counter,gate_tree_quiet,,,,,59,0.590000,0
window_counter,gate_hover_quiet,,,,,68,0.680000,0
window_counter,r_cmds,,,,,141159,1411.590000,0
window_counter,r_cmds_model,,,,,108702,1087.020000,0
window_counter,r_cmds_sprite,,,,,5411,54.110000,0
window_counter,r_cmds_font,,,,,1848,18.480000,0
window_counter,r_cmds_rect,,,,,594,5.940000,0
window_counter,r_model_culled,,,,,44745,447.450000,0
window_counter,r_model_drawn,,,,,63957,639.570000,0
window_counter,r_model_sort_empty,,,,,5214,52.140000,0
window_counter,r_model_faces,,,,,1210426,12104.260000,0
window_stage,frame,69347643,66716859,83508099,107412534,,,1
window_stage,async,365395,222933,233829,14260192,,,1
window_stage,logic,11759642,10444623,25051788,49618038,,,1
window_stage,cs2,10565449,9616027,24219000,47602697,,,1
window_stage,layout,10677,9219,15085,15645,,,1
window_stage,interact,679337,386362,432736,25850492,,,1
window_stage,emit,3284054,2827455,3668902,16129145,,,1
window_stage,paint,1507719,1084495,1142324,26521807,,,1
window_stage,build,1515854,1092876,1150426,26529908,,,1
window_stage,render,45949228,46951498,58912516,84656849,,,1
window_stage,pick_finish,0,0,0,0,,,1
window_stage,present,1224191,1182832,1211885,5089195,,,1
window_stage,server,0,0,0,0,,,1
window_stage,platform_poll,166473,15644,59784,14514694,,,1
window_stage,command_drain,325717,6146,102248,13519316,,,1
window_stage,app_run,17912748,15576281,31421312,54793277,,,1
window_stage,frame_post,1252329,1084495,1112712,15550579,,,1
