0.001950 sym403
0.002925 sym403
0.001954 sym403
0.046840 sym403
0.015603 sym2 sym563
0.001950 sym401 sym407
0.025389 sym401 sym407
0.044924 sym404 sym407
0.032181 sym574 sym589
0.002925 sym574 sym409 sym363
0.001957 sym32 sym2 sym2 sym563
0.002931 sym98 sym2 sym2 sym563
0.002931 sym99 sym2 sym2 sym563
0.031251 sym406 sym2 sym2 sym563
0.005860 sym527 sym2 sym2 sym563
0.015628 sym54 sym406 sym2 sym2 sym563
0.015622 sym54 sym406 sym2 sym2 sym563
0.021491 sym77 sym406 sym2 sym2 sym563
0.001958 sym99 sym406 sym2 sym2 sym563
0.006831 sym99 sym406 sym2 sym2 sym563
0.002924 sym99 sym406 sym2 sym2 sym563
0.015629 sym101 sym406 sym2 sym2 sym563
0.002928 sym103 sym406 sym2 sym2 sym563
0.015617 sym120 sym406 sym2 sym2 sym563
0.001955 sym400 sym406 sym2 sym2 sym563
0.041013 sym527 sym406 sym2 sym2 sym563
0.003909 sym527 sym406 sym2 sym2 sym563
0.001950 sym577 sym406 sym2 sym2 sym563
0.001954 sym583 sym406 sym2 sym2 sym563
0.029303 sym584 sym406 sym2 sym2 sym563
0.080032 sym584 sym415 sym552 sym552 sym411
0.002929 sym584 sym569 sym568 sym558 sym611
0.004881 sym14 sym99 sym406 sym2 sym2 sym563
0.014643 sym24 sym32 sym406 sym2 sym2 sym563
0.013678 sym37 sym99 sym406 sym2 sym2 sym563
0.010741 sym46 sym32 sym406 sym2 sym2 sym563
0.001954 sym46 sym99 sym406 sym2 sym2 sym563
0.071299 sym46 sym99 sym406 sym2 sym2 sym563
0.002924 sym46 sym99 sym406 sym2 sym2 sym563
0.001948 sym46 sym99 sym406 sym2 sym2 sym563
0.001944 sym46 sym99 sym406 sym2 sym2 sym563
0.002924 sym46 sym99 sym406 sym2 sym2 sym563
0.001971 sym46 sym99 sym406 sym2 sym2 sym563
0.002920 sym46 sym99 sym406 sym2 sym2 sym563
0.013670 sym49 sym98 sym406 sym2 sym2 sym563
0.160148 sym52 sym99 sym406 sym2 sym2 sym563
0.010739 sym52 sym99 sym406 sym2 sym2 sym563
0.001943 sym71 sym32 sym406 sym2 sym2 sym563
0.015627 sym89 sym54 sym406 sym2 sym2 sym563
0.014640 sym115 sym99 sym406 sym2 sym2 sym563
0.001944 sym125 sym99 sym406 sym2 sym2 sym563
0.001948 sym133 sym32 sym406 sym2 sym2 sym563
0.009777 sym152 sym32 sym406 sym2 sym2 sym563
0.001948 sym155 sym32 sym406 sym2 sym2 sym563
0.001949 sym166 sym100 sym406 sym2 sym2 sym563
0.003901 sym166 sym100 sym406 sym2 sym2 sym563
0.001947 sym166 sym100 sym406 sym2 sym2 sym563
0.001951 sym188 sym32 sym406 sym2 sym2 sym563
0.013679 sym278 sym32 sym406 sym2 sym2 sym563
0.025381 sym278 sym32 sym406 sym2 sym2 sym563
0.001952 sym278 sym32 sym406 sym2 sym2 sym563
0.001941 sym278 sym32 sym406 sym2 sym2 sym563
0.001952 sym278 sym32 sym406 sym2 sym2 sym563
0.001952 sym278 sym32 sym406 sym2 sym2 sym563
0.001954 sym278 sym32 sym406 sym2 sym2 sym563
0.015619 sym301 sym32 sym406 sym2 sym2 sym563
0.001943 sym304 sym32 sym406 sym2 sym2 sym563
0.001949 sym311 sym32 sym406 sym2 sym2 sym563
0.001957 sym358 sym32 sym406 sym2 sym2 sym563
0.066405 sym400 sym400 sym489 sym400 sym1 sym410
0.015624 sym402 sym54 sym406 sym2 sym2 sym563
0.015626 sym505 sym506 sym406 sym2 sym2 sym563
0.009771 sym525 sym32 sym406 sym2 sym2 sym563
0.082030 sym527 sym99 sym406 sym2 sym2 sym563
0.046772 sym527 sym99 sym406 sym2 sym2 sym563
0.003906 sym528 sym32 sym406 sym2 sym2 sym563
0.001953 sym583 sym544 sym406 sym2 sym2 sym563
0.035656 sym584 sym100 sym406 sym2 sym2 sym563
0.011721 sym584 sym544 sym406 sym2 sym2 sym563
0.006836 sym13 sym46 sym99 sym406 sym2 sym2 sym563
0.004868 sym23 sym46 sym99 sym406 sym2 sym2 sym563
0.001957 sym23 sym46 sym99 sym406 sym2 sym2 sym563
0.002920 sym23 sym46 sym99 sym406 sym2 sym2 sym563
0.002923 sym23 sym46 sym99 sym406 sym2 sym2 sym563
0.002925 sym25 sym46 sym99 sym406 sym2 sym2 sym563
0.003926 sym32 sym46 sym99 sym406 sym2 sym2 sym563
0.016602 sym35 sym46 sym99 sym406 sym2 sym2 sym563
0.001951 sym36 sym46 sym99 sym406 sym2 sym2 sym563
0.005842 sym36 sym46 sym99 sym406 sym2 sym2 sym563
0.001950 sym36 sym46 sym99 sym406 sym2 sym2 sym563
0.002928 sym36 sym46 sym99 sym406 sym2 sym2 sym563
0.010727 sym36 sym46 sym99 sym406 sym2 sym2 sym563
0.005851 sym36 sym46 sym99 sym406 sym2 sym2 sym563
0.018556 sym36 sym46 sym99 sym406 sym2 sym2 sym563
0.002924 sym36 sym46 sym99 sym406 sym2 sym2 sym563
0.001949 sym36 sym46 sym99 sym406 sym2 sym2 sym563
0.002930 sym36 sym46 sym99 sym406 sym2 sym2 sym563
0.006827 sym36 sym46 sym99 sym406 sym2 sym2 sym563
0.001955 sym36 sym46 sym99 sym406 sym2 sym2 sym563
0.002925 sym36 sym46 sym99 sym406 sym2 sym2 sym563
0.002923 sym36 sym46 sym99 sym406 sym2 sym2 sym563
0.003902 sym36 sym46 sym99 sym406 sym2 sym2 sym563
0.001962 sym44 sym46 sym99 sym406 sym2 sym2 sym563
0.001962 sym44 sym46 sym99 sym406 sym2 sym2 sym563
0.001953 sym44 sym46 sym99 sym406 sym2 sym2 sym563
0.017587 sym44 sym46 sym99 sym406 sym2 sym2 sym563
0.021551 sym44 sym46 sym99 sym406 sym2 sym2 sym563
0.001964 sym44 sym46 sym99 sym406 sym2 sym2 sym563
0.001963 sym44 sym46 sym99 sym406 sym2 sym2 sym563
0.007852 sym44 sym46 sym99 sym406 sym2 sym2 sym563
0.003906 sym44 sym46 sym99 sym406 sym2 sym2 sym563
0.001959 sym44 sym46 sym99 sym406 sym2 sym2 sym563
0.001965 sym44 sym46 sym99 sym406 sym2 sym2 sym563
0.001960 sym44 sym46 sym99 sym406 sym2 sym2 sym563
0.001971 sym44 sym46 sym99 sym406 sym2 sym2 sym563
0.010737 sym46 sym46 sym99 sym406 sym2 sym2 sym563
0.001954 sym49 sym98 sym99 sym406 sym2 sym2 sym563
0.002932 sym60 sym103 sym99 sym406 sym2 sym2 sym563
0.008793 sym79 sym358 sym32 sym406 sym2 sym2 sym563
0.010752 sym79 sym71 sym32 sym406 sym2 sym2 sym563
0.015621 sym85 sym126 sym100 sym406 sym2 sym2 sym563
0.001953 sym90 sym126 sym100 sym406 sym2 sym2 sym563
0.005868 sym90 sym126 sym100 sym406 sym2 sym2 sym563
0.028321 sym97 sym105 sym32 sym406 sym2 sym2 sym563
0.001953 sym124 sym46 sym99 sym406 sym2 sym2 sym563
0.001955 sym126 sym125 sym99 sym406 sym2 sym2 sym563
0.001944 sym126 sym125 sym99 sym406 sym2 sym2 sym563
0.002924 sym126 sym125 sym99 sym406 sym2 sym2 sym563
0.017578 sym131 sym133 sym32 sym406 sym2 sym2 sym563
0.001959 sym164 sym167 sym32 sym406 sym2 sym2 sym563
0.011299 sym165 sym167 sym32 sym406 sym2 sym2 sym563
0.006339 sym165 sym167 sym32 sym406 sym2 sym2 sym563
0.001955 sym165 sym167 sym32 sym406 sym2 sym2 sym563
0.001955 sym165 sym167 sym32 sym406 sym2 sym2 sym563
0.001968 sym165 sym167 sym32 sym406 sym2 sym2 sym563
0.003904 sym165 sym167 sym32 sym406 sym2 sym2 sym563
0.001959 sym165 sym167 sym32 sym406 sym2 sym2 sym563
0.001954 sym165 sym167 sym32 sym406 sym2 sym2 sym563
0.001951 sym165 sym167 sym32 sym406 sym2 sym2 sym563
