59.882145
0x40102a 0.015603         "[unknown]" 0
0x4017a0 0.001962         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\plugin\torirs_plugin_bridge.u.c" 932
0x404bbc 0.001954         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 3982
0x404bbf 0.001952         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 3982
0x408acc 0.002932         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\entity_registry.c" 42
0x408adb 0.002912         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\entity_pool.c" 71
0x408d56 0.004936         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 1078
0x40936a 0.002941         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 27000
0x40936c 0.002939         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 27001
0x409382 0.002919         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 2236
0x4093ad 0.019542         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 2236
0x4093bb 0.001961         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 2239
0x4093ca 0.001955         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 2242
0x4093d1 0.005935         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 2242
0x409fc8 0.001964         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\entity_pool.h" 82
0x40a009 0.005871         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\entity_pool.c" 71
0x40a00f 0.011716         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\entity_pool.c" 71
0x40a019 0.043950         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\entity_pool.c" 71
0x40a028 0.090734         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\plugin\torirs_plugin_bridge.u.c" 553
