kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,1000,
meta,frames_over_20ms,,,,,978,
meta,eff_fps,,,,,10.759,
stage,frame,92946873,78262182,104942109,6336432423,,
stage,async,2601138,221257,246959,2026664282,,
stage,logic,34443846,22578847,40271040,6046704819,,
stage,cs2,33454197,21677616,39468425,6044705123,,
stage,layout,14473,14526,18159,31287,,
stage,interact,469098,415975,443911,16194517,,
stage,emit,3602791,2857067,15573767,32461668,,
stage,paint,1495726,1088686,1164394,33614608,,
stage,build,1503384,1096508,1172495,33622988,,
stage,render,42818141,46222913,54158838,331270595,,
stage,pick_finish,0,0,0,0,,
stage,present,1471782,1172495,1236470,41200208,,
stage,server,0,0,0,0,,
stage,platform_poll,122671,16483,88559,93911656,,
stage,command_drain,487957,6146,121524,106477778,,
stage,app_run,43891590,30964271,49478355,6275188327,,
stage,frame_post,1437378,1078070,1151823,26391622,,
stage,input_prep,158950,36597,108952,94133193,,
stage,surface_sync,73007,6984,7263,53160108,,
stage,display,46264394,49074394,59206128,333396563,,
stage,window_sync,536079,435531,460673,17625145,,
stage,pace,301915,4000,4000,22728000,,
stage,period,93251267,78364000,105661000,6336492000,,
stage,cs2_settle,23063707,20125741,36623369,487943858,,
stage,ui_icon,40554,0,0,40554593,,
stage,tick_packets,9501805,183265,513753,5552953238,,
stage,cs2_settle_layout,11585,11454,14805,53079,,
stage,present_fill,3450,3353,3632,39669,,
stage,present_blit,1457170,1155734,1220267,41183167,,
stage,cs2_host_op,5564521,3171896,16959983,990059854,,
stage,cs2_settle_followups,17393,17320,21791,100571,,
stage,cs2_script,11733838,7007318,22794519,1863816255,,
stage,task_queue_run,21661576,11702885,29416866,3821747462,,
stage,cs2_task_start,2032065,1389561,2496126,29418265,,
stage,cs2_script_in,12535916,7830325,23772018,1806491068,,
stage,task_io,6090621,376026,515986,2408693275,,
stage,r_clear,951041,725511,797029,27953274,,
stage,r_model,29971607,24240237,42609034,132884781,,
stage,r_sprite,3130182,2422089,5963046,26715408,,
stage,r_font,448609,350601,385247,22461233,,
stage,r_rect,110534,64813,69004,16382805,,
stage,r_other,260625,109791,117333,100397631,,
cpu,main_thread,74281250,62500000,78125000,5312500000,,
cpu_info,coarse_direct,,,,,,
cpu_raw,main_thread_calibration_clock_total,,,,,74281250000,74281250.000000
counter,uitree_find_id,,,,,867559,867.559000
counter,uitree_find_id_probes,,,,,1354675,1354.675000
counter,uitree_find_id_linear,,,,,59,0.059000
counter,uitree_id_rebuild,,,,,39,0.039000
counter,uitree_find_child,,,,,64839,64.839000
counter,uitree_find_child_hit,,,,,21733,21.733000
counter,uitree_find_child_ceil_miss,,,,,42369,42.369000
counter,uitree_walk_emit,,,,,2765648,2765.648000
counter,uitree_walk_emit_drag,,,,,0,0.000000
counter,uitree_walk_hit,,,,,832870,832.870000
counter,uitree_walk_hover,,,,,146008,146.008000
counter,uitree_walk_drop,,,,,0,0.000000
counter,uitree_emit_skip,,,,,2143130,2143.130000
counter,uitree_layout_resolve,,,,,9119,9.119000
counter,uitree_layout_skip,,,,,4119,4.119000
counter,uitree_layout_nodes,,,,,35478464,35478.464000
counter,uitree_layout_node_skip,,,,,35335293,35335.293000
counter,uitree_layout_depth_recompute,,,,,4020,4.020000
counter,uitree_ensure_layout,,,,,90455,90.455000
counter,uitree_cc_create,,,,,42534,42.534000
counter,uitree_cc_delete,,,,,8,0.008000
counter,uitree_cc_deleteall,,,,,4259,4.259000
counter,uitree_cc_deleteall_rows,,,,,36092,36.092000
counter,uitree_apply_geo,,,,,95643,95.643000
counter,uitree_apply_content,,,,,92051,92.051000
counter,uitree_apply_hook,,,,,16545,16.545000
counter,uitree_apply_hook_skip,,,,,13165,13.165000
counter,uitree_apply_other,,,,,24090,24.090000
counter,uitree_apply_nochange,,,,,39956,39.956000
counter,uitree_key_scan,,,,,0,0.000000
counter,uitree_key_scan_nodes,,,,,0,0.000000
counter,uitree_components,,,,,6895593,6895.593000
counter,uitree_capacity,,,,,7915520,7915.520000
counter,uitree_free_list,,,,,1930,1.930000
counter,uitree_node_bytes,,,,,5445877760,5445877.760000
counter,cs2_scripts,,,,,141543,141.543000
counter,cs2_opcodes,,,,,7357952,7357.952000
counter,cs2_host_ops,,,,,1133258,1133.258000
counter,cs2_cycles,,,,,7357952,7357.952000
counter,cs2_aborts,,,,,0,0.000000
counter,cs2_vm_acquire,,,,,139272,139.272000
counter,cs2_vm_pool_hit,,,,,139271,139.271000
counter,cs2_vm_pool_miss,,,,,1,0.001000
counter,cs2_vm_init_ns,,,,,642232168,642232.168000
counter,cs2_vm_release_ns,,,,,592229594,592229.594000
counter,cs2_frame_pool_hit,,,,,181060,181.060000
counter,cs2_frame_pool_miss,,,,,10,0.010000
counter,cs2_frame_push,,,,,275916,275.916000
counter,cs2_frame_clear_bytes,,,,,6862000,6862.000000
counter,cs2_frame_locals_bytes,,,,,3104,3.104000
counter,cache_model_hit,,,,,10960,10.960000
counter,cache_model_miss,,,,,1943,1.943000
counter,cache_model_evict,,,,,0,0.000000
counter,cache_sprite_hit,,,,,49989,49.989000
counter,cache_sprite_miss,,,,,1097,1.097000
counter,cache_sprite_evict,,,,,0,0.000000
counter,cache_texture_hit,,,,,0,0.000000
counter,cache_texture_miss,,,,,0,0.000000
counter,cache_objtype_hit,,,,,0,0.000000
counter,cache_objtype_miss,,,,,0,0.000000
counter,cache_npctype_hit,,,,,0,0.000000
counter,cache_npctype_miss,,,,,0,0.000000
counter,cache_loc_hit,,,,,0,0.000000
counter,cache_loc_miss,,,,,0,0.000000
counter,cache_other_hit,,,,,0,0.000000
counter,cache_other_miss,,,,,0,0.000000
counter,cache_group_hit,,,,,0,0.000000
counter,cache_group_miss,,,,,0,0.000000
counter,cache_group_evict,,,,,0,0.000000
counter,cache_archive_hit,,,,,0,0.000000
counter,cache_archive_miss,,,,,0,0.000000
counter,cache_archive_evict,,,,,0,0.000000
counter,model_inst_hit,,,,,1124,1.124000
counter,model_inst_miss,,,,,948,0.948000
counter,model_inst_evict,,,,,835,0.835000
counter,painter_pops,,,,,6165087,6165.087000
counter,painter_gate_rejects,,,,,2750632,2750.632000
counter,painter_pushes,,,,,6165087,6165.087000
counter,painter_push_dedup,,,,,5728977,5728.977000
counter,painter_drain_events,,,,,0,0.000000
counter,painter_commands,,,,,1593950,1593.950000
counter,painter_tiles_remaining_set,,,,,3149208,3149.208000
counter,scene_elements,,,,,22605327,22605.327000
counter,scene_anim_list,,,,,107250,107.250000
counter,zone_map_count,,,,,0,0.000000
counter,zone_map_capacity,,,,,0,0.000000
counter,npc_slot_max,,,,,0,0.000000
counter,cache_model_size,,,,,979312,979.312000
