kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame,window
window_stage,frame,191575331,74766765,226202772,6336432423,,,0
window_stage,async,23392129,222654,2355886,2026664282,,,0
window_stage,logic,115147553,18117386,85564785,6046704819,,,0
window_stage,cs2,114477781,17370365,85535732,6044705123,,,0
window_stage,layout,12082,14248,18160,24863,,,0
window_stage,interact,339705,404800,414578,1292901,,,0
window_stage,emit,2460296,2850642,2923556,27632003,,,0
window_stage,paint,1257732,1081143,1239823,15967393,,,0
window_stage,build,1264490,1089244,1247924,15975494,,,0
window_stage,render,36715068,45854152,52430127,331270595,,,0
window_stage,pick_finish,0,0,0,0,,,0
window_stage,present,1796795,1174451,2777727,18109285,,,0
window_stage,server,0,0,0,0,,,0
window_stage,platform_poll,997615,16762,132140,93911656,,,0
window_stage,command_drain,2703133,6146,18973920,106477778,,,0
window_stage,app_run,145167089,27663292,121466555,6275188327,,,0
window_stage,frame_post,1397881,1083099,1256584,17371482,,,0
window_stage,input_prep,1020333,37434,152813,94133193,,,0
window_stage,surface_sync,538621,6984,8381,53160108,,,0
window_stage,display,40143236,48710380,54880160,333396563,,,0
window_stage,window_sync,477393,431340,483581,9216814,,,0
window_stage,pace,2314740,4000,13814000,22728000,,,0
window_stage,period,193189540,74808000,226261000,6336492000,,,0
window_stage,cs2_settle,23055558,16395659,35706772,487943858,,,0
window_stage,ui_icon,405545,0,0,40554593,,,0
window_stage,tick_packets,90818657,184660,41136794,5552953238,,,0
window_stage,cs2_settle_layout,9889,11454,14807,19277,,,0
window_stage,present_fill,3466,3352,3632,7542,,,0
window_stage,present_blit,1802209,1158527,2760965,18092523,,,0
window_stage,cs2_host_op,15204331,3125536,17049928,990059854,,,0
window_stage,cs2_settle_followups,14222,17042,22070,27100,,,0
window_stage,cs2_script,29412906,6896126,20954622,1863816255,,,0
window_stage,task_queue_run,74524483,10940776,50889433,3821747462,,,0
window_stage,cs2_task_start,1389690,1336209,1739319,21396575,,,0
window_stage,cs2_script_in,27416060,7668299,21573130,1806491068,,,0
window_stage,task_io,56726793,401728,54311929,2408693275,,,0
window_stage,r_clear,908665,720203,750375,19150199,,,0
window_stage,r_model,24063868,23231978,41500207,132884781,,,0
window_stage,r_sprite,2797497,2410922,4218688,17244930,,,0
window_stage,r_font,377064,347530,365692,13267889,,,0
window_stage,r_rect,46204,64533,71239,74030,,,0
window_stage,r_other,1341360,109511,115378,100397631,,,0
window_cpu,main_thread,150312500,62500000,140625000,5312500000,,,0
window_cpu_info,coarse_direct,,,,,,,0
window_cpu_raw,main_thread_calibration_clock_total,,,,,15031250000,150312500.000000,0
window_counter,uitree_find_id,,,,,253396,2533.960000,0
window_counter,uitree_find_id_probes,,,,,384815,3848.150000,0
window_counter,uitree_find_id_linear,,,,,57,0.570000,0
window_counter,uitree_id_rebuild,,,,,12,0.120000,0
window_counter,uitree_find_child,,,,,26388,263.880000,0
window_counter,uitree_find_child_hit,,,,,12850,128.500000,0
window_counter,uitree_find_child_ceil_miss,,,,,12808,128.080000,0
window_counter,uitree_walk_emit,,,,,204050,2040.500000,0
window_counter,uitree_walk_hit,,,,,62550,625.500000,0
window_counter,uitree_walk_hover,,,,,11612,116.120000,0
window_counter,uitree_emit_skip,,,,,158162,1581.620000,0
window_counter,uitree_layout_resolve,,,,,906,9.060000,0
window_counter,uitree_layout_skip,,,,,460,4.600000,0
window_counter,uitree_layout_nodes,,,,,2960664,29606.640000,0
window_counter,uitree_layout_node_skip,,,,,2857129,28571.290000,0
window_counter,uitree_layout_depth_recompute,,,,,356,3.560000,0
window_counter,uitree_ensure_layout,,,,,8136,81.360000,0
window_counter,uitree_cc_create,,,,,13256,132.560000,0
window_counter,uitree_cc_deleteall,,,,,584,5.840000,0
window_counter,uitree_cc_deleteall_rows,,,,,6814,68.140000,0
window_counter,uitree_apply_geo,,,,,21335,213.350000,0
window_counter,uitree_apply_content,,,,,25268,252.680000,0
window_counter,uitree_apply_hook,,,,,12034,120.340000,0
window_counter,uitree_apply_hook_skip,,,,,8662,86.620000,0
window_counter,uitree_apply_other,,,,,24084,240.840000,0
window_counter,uitree_apply_nochange,,,,,24401,244.010000,0
window_gauge,uitree_components,,,,,7136,7136.000000,0
window_gauge,uitree_capacity,,,,,8192,8192.000000,0
window_gauge,uitree_node_bytes,,,,,5636096,5636096.000000,0
window_counter,cs2_scripts,,,,,12837,128.370000,0
window_counter,cs2_opcodes,,,,,1679574,16795.740000,0
window_counter,cs2_host_ops,,,,,260040,2600.400000,0
window_counter,cs2_cycles,,,,,1679574,16795.740000,0
window_counter,cs2_vm_acquire,,,,,10566,105.660000,0
window_counter,cs2_vm_pool_hit,,,,,10565,105.650000,0
window_counter,cs2_vm_pool_miss,,,,,1,0.010000,0
window_counter,cs2_vm_init_ns,,,,,32920378,329203.780000,0
window_counter,cs2_vm_release_ns,,,,,36023505,360235.050000,0
window_counter,cs2_frame_pool_hit,,,,,15037,150.370000,0
window_counter,cs2_frame_pool_miss,,,,,10,0.100000,0
window_counter,cs2_frame_push,,,,,46095,460.950000,0
window_counter,cs2_frame_clear_bytes,,,,,775796,7757.960000,0
window_counter,cs2_frame_locals_bytes,,,,,3104,31.040000,0
window_counter,cache_model_hit,,,,,10916,109.160000,0
window_counter,cache_model_miss,,,,,1927,19.270000,0
window_counter,cache_sprite_hit,,,,,6006,60.060000,0
window_counter,cache_sprite_miss,,,,,1097,10.970000,0
window_counter,model_inst_hit,,,,,1120,11.200000,0
window_counter,model_inst_miss,,,,,946,9.460000,0
window_counter,model_inst_evict,,,,,835,8.350000,0
window_counter,painter_pops,,,,,471747,4717.470000,0
window_counter,painter_gate_rejects,,,,,209708,2097.080000,0
window_counter,painter_pushes,,,,,471747,4717.470000,0
window_counter,painter_push_dedup,,,,,441571,4415.710000,0
window_gauge,painter_commands,,,,,1647,1647.000000,0
window_gauge,painter_tiles_remaining_set,,,,,3252,3252.000000,0
window_gauge,scene_elements,,,,,23183,23183.000000,0
window_gauge,scene_anim_list,,,,,110,110.000000,0
window_gauge,cache_model_size,,,,,993,993.000000,0
window_gauge,cache_sprite_size,,,,,710,710.000000,0
window_counter,iface_open,,,,,23,0.230000,0
window_counter,iface_close,,,,,2,0.020000,0
window_counter,iface_bake,,,,,20,0.200000,0
window_counter,iface_bake_reuse,,,,,3,0.030000,0
window_counter,iface_mount_ns,,,,,205453490,2054534.900000,0
window_counter,iface_close_ns,,,,,6705,67.050000,0
window_gauge,iface_groups_resident,,,,,25,25.000000,0
window_gauge,uitree_hidden,,,,,3212,3212.000000,0
window_gauge,uitree_unmounted,,,,,1,1.000000,0
window_gauge,uitree_hook_blocks,,,,,2144,2144.000000,0
window_gauge,uitree_hook_bytes,,,,,1715200,1715200.000000,0
window_gauge,host_inv_hooks,,,,,9,9.000000,0
window_gauge,host_var_hooks,,,,,193,193.000000,0
window_gauge,host_stat_hooks,,,,,70,70.000000,0
window_gauge,bridge_sprite_map,,,,,507,507.000000,0
window_gauge,bridge_obj_icon_map,,,,,17,17.000000,0
window_gauge,cache_clientscript_size,,,,,566,566.000000,0
window_counter,uitree_anim_scan,,,,,678,6.780000,0
window_counter,iface_group_scan_nodes,,,,,2364,23.640000,0
window_counter,logic_ticks,,,,,340,3.400000,0
window_counter,proto_packets,,,,,407,4.070000,0
window_counter,ui_icon_raster,,,,,17,0.170000,0
window_counter,npc_model_cache_hit,,,,,4,0.040000,0
window_counter,npc_model_cache_miss,,,,,17,0.170000,0
window_counter,present_blit_1to1,,,,,102,1.020000,0
window_counter,present_blit_pixels,,,,,40706784,407067.840000,0
window_counter,present_fill_pixels,,,,,21126,211.260000,0
window_counter,chrome_strip_vischeck,,,,,142,1.420000,0
window_counter,emit_list_same,,,,,26,0.260000,0
window_counter,emit_list_diff,,,,,73,0.730000,0
window_counter,emit_desc_diff,,,,,765,7.650000,0
window_counter,emit_dirty_bumps,,,,,66132,661.320000,0
window_counter,emit_dirty_unreached,,,,,12830,128.300000,0
window_counter,emit_dirty_mark,,,,,44239,442.390000,0
window_counter,emit_dirty_topo,,,,,29890,298.900000,0
window_counter,emit_gen_quiet,,,,,23,0.230000,0
window_counter,task_steps,,,,,4350,43.500000,0
window_counter,task_resumes,,,,,14325,143.250000,0
window_counter,task_ends,,,,,11157,111.570000,0
window_counter,gate_tree_quiet,,,,,25,0.250000,0
window_counter,gate_hover_quiet,,,,,98,0.980000,0
window_counter,emit_retained,,,,,23,0.230000,0
window_counter,r_cmds,,,,,156119,1561.190000,0
window_counter,r_cmds_model,,,,,122132,1221.320000,0
window_counter,r_cmds_sprite,,,,,6131,61.310000,0
window_counter,r_cmds_font,,,,,2123,21.230000,0
window_counter,r_cmds_rect,,,,,917,9.170000,0
window_stage,frame,80965862,76748861,98877651,117976726,,,1
window_stage,async,367633,221258,247797,14443456,,,1
window_stage,logic,25176839,22454530,37818214,54461391,,,1
window_stage,cs2,24270531,21639343,37060575,53697609,,,1
window_stage,layout,14675,14526,17881,26261,,,1
window_stage,interact,412974,406477,447822,550908,,,1
window_stage,emit,4276202,2856788,16823088,32461668,,,1
window_stage,paint,1236947,1089244,1187581,15160866,,,1
window_stage,build,1244806,1097067,1195404,15168688,,,1
window_stage,render,43356585,46920488,51799601,61981062,,,1
window_stage,pick_finish,0,0,0,0,,,1
window_stage,present,1190623,1173613,1197638,2743924,,,1
