kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,1000,
meta,frames_over_20ms,,,,,996,
meta,eff_fps,,,,,6.233,
stage,frame,160434180,67845215,97898196,11038903268,,
stage,async,8595667,220419,243327,7776933661,,
stage,logic,92403877,10342376,36215497,10775882409,,
stage,cs2,91471398,9550098,35487471,10773926854,,
stage,layout,11100,9778,15365,59505,,
stage,interact,469578,384686,418489,18275786,,
stage,emit,3244807,2894782,6900878,40433910,,
stage,paint,1475336,1074717,1134223,32510836,,
stage,build,1483038,1082261,1142045,32518099,,
stage,render,47160294,47505479,60372198,317210986,,
stage,pick_finish,0,0,0,0,,
stage,present,1746701,1202667,1286197,33483585,,
stage,server,0,0,0,0,,
stage,platform_poll,243148,16203,96660,101721867,,
stage,command_drain,315115,6146,136889,63785202,,
stage,app_run,107033708,15653107,43319752,10939109859,,
stage,frame_post,1606706,1096508,1181994,36057097,,
stage,input_prep,263923,36318,117334,101745054,,
stage,surface_sync,8771,6984,7264,1731226,,
stage,display,50455355,50146318,64185532,336491369,,
stage,window_sync,597856,460393,513752,19136511,,
stage,pace,55712,4000,4000,16603000,,
stage,period,160503758,67941000,97732000,11038968000,,
stage,cs2_settle,13864335,9134960,30631546,1459738039,,
stage,ui_icon,11582,0,0,10163025,,
stage,tick_packets,77226924,130743,456203,9304790134,,
stage,cs2_settle_layout,10221,8939,14526,53359,,
stage,present_fill,18024,3352,3353,14714161,,
stage,present_blit,1718887,1186464,1269714,33467102,,
stage,cs2_host_op,4631994,2160613,4392462,879290419,,
stage,cs2_settle_followups,26267,10616,16762,14797132,,
stage,cs2_script,9736162,5040586,19125899,1721112594,,
stage,task_queue_run,75284653,9007289,29241984,7867035056,,
stage,cs2_task_start,1467020,1039236,1667817,31621896,,
stage,cs2_script_in,10346028,5814437,20149204,1651559924,,
stage,task_io,23428268,319316,442793,7116295499,,
stage,r_clear,1018942,735009,809042,27310175,,
stage,r_model,31196307,26961242,45089514,127548316,,
stage,r_sprite,3559538,2818514,15381282,23565837,,
stage,r_font,498737,384685,447262,16216307,,
stage,r_rect,52308,38553,66487,13028193,,
stage,r_other,1317274,111469,118453,115820936,,
cpu,main_thread,115750000,62500000,78125000,5828125000,,
cpu_info,coarse_direct,,,,,,
cpu_raw,main_thread_calibration_clock_total,,,,,115750000000,115750000.000000
counter,uitree_find_id,,,,,690779,690.779000
counter,uitree_find_id_probes,,,,,1106354,1106.354000
counter,uitree_find_id_linear,,,,,118,0.118000
counter,uitree_id_rebuild,,,,,17,0.017000
