kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame,window
window_stage,frame,417769663,155221404,553675677,14447143142,,,0
window_stage,async,46652641,229080,19224790,3901184648,,,0
window_stage,logic,261549766,55946775,171092416,13782201928,,,0
window_stage,cs2,259590562,54609736,171026205,13779701610,,,0
window_stage,layout,16292,18159,18439,18719,,,0
window_stage,interact,876547,412901,1631213,25058771,,,0
window_stage,emit,7522961,4986109,25841553,110577461,,,0
window_stage,paint,2161461,1830121,2370413,21865069,,,0
window_stage,build,2176326,1837943,2378235,21874009,,,0
window_stage,render,81047887,75808238,111344319,584808404,,,0
window_stage,pick_finish,0,0,0,0,,,0
window_stage,present,2789927,1757765,3504915,33747586,,,0
window_stage,server,0,0,0,0,,,0
window_stage,platform_poll,1074069,96940,965485,79496975,,,0
window_stage,command_drain,3601315,19555,28163356,96804482,,,0
window_stage,app_run,322569089,66514598,263572325,14248030127,,,0
window_stage,frame_post,1662736,928889,3152915,25977883,,,0
window_stage,input_prep,1100313,117613,985600,79593356,,,0
window_stage,surface_sync,28283,6705,7543,2160610,,,0
window_stage,display,86609926,79791706,115233919,589034640,,,0
window_stage,window_sync,1999773,370997,859048,120467825,,,0
window_stage,pace,711000,4000,9739000,18783000,,,0
window_stage,period,417318700,155373000,553827000,14448349000,,,0
window_stage,cs2_settle,60811080,50710076,86988150,1425930949,,,0
window_stage,ui_icon,649361,0,0,64936187,,,0
window_stage,tick_packets,195480651,335517,77429396,12346588184,,,0
window_stage,cs2_settle_layout,31562,14246,14806,1205182,,,0
window_stage,present_fill,3341,3352,3353,7822,,,0
window_stage,present_blit,2799126,1742121,3487314,35857350,,,0
window_stage,cs2_host_op,35181552,6947803,45321403,2072061186,,,0
window_stage,cs2_settle_followups,18879,20953,21512,39670,,,0
window_stage,cs2_script,65539257,14883455,101066472,3878172271,,,0
window_stage,task_queue_run,154617008,24310631,140932436,7958248310,,,0
window_stage,cs2_task_start,3444678,2470993,10381209,31519647,,,0
window_stage,cs2_script_in,61921763,16509914,52593562,3809493921,,,0
window_stage,task_io,134393938,540576,117622210,6199799395,,,0
window_stage,r_clear,1503489,1312458,1406603,17390758,,,0
window_stage,r_model,53402560,58752745,78622270,349908153,,,0
window_stage,r_sprite,5964171,3861391,21593525,62905480,,,0
window_stage,r_font,874010,353958,1264966,19588526,,,0
window_stage,r_rect,113089,63976,806530,1381463,,,0
window_stage,r_other,2236049,113146,911011,199308272,,,0
window_cpu,main_thread,229375000,109375000,203125000,7671875000,,,0
window_cpu_info,coarse_direct,,,,,,,0
window_cpu_raw,main_thread_calibration_clock_total,,,,,22937500000,229375000.000000,0
window_counter,uitree_find_id,,,,,262360,2623.600000,0
window_counter,uitree_find_id_probes,,,,,404148,4041.480000,0
window_counter,uitree_find_id_linear,,,,,59,0.590000,0
window_counter,uitree_id_rebuild,,,,,12,0.120000,0
window_counter,uitree_find_child,,,,,25714,257.140000,0
window_counter,uitree_find_child_hit,,,,,11175,111.750000,0
window_counter,uitree_find_child_ceil_miss,,,,,13809,138.090000,0
window_counter,uitree_walk_emit,,,,,238574,2385.740000,0
window_counter,uitree_walk_hit,,,,,72678,726.780000,0
window_counter,uitree_walk_hover,,,,,13076,130.760000,0
window_counter,uitree_emit_skip,,,,,184939,1849.390000,0
window_counter,uitree_layout_resolve,,,,,1151,11.510000,0
window_counter,uitree_layout_skip,,,,,567,5.670000,0
window_counter,uitree_layout_nodes,,,,,3946422,39464.220000,0
window_counter,uitree_layout_node_skip,,,,,3841857,38418.570000,0
window_counter,uitree_layout_depth_recompute,,,,,483,4.830000,0
window_counter,uitree_ensure_layout,,,,,10878,108.780000,0
window_counter,uitree_cc_create,,,,,14244,142.440000,0
window_counter,uitree_cc_delete,,,,,2,0.020000,0
window_counter,uitree_cc_deleteall,,,,,714,7.140000,0
window_counter,uitree_cc_deleteall_rows,,,,,7802,78.020000,0
window_counter,uitree_apply_geo,,,,,23361,233.610000,0
window_counter,uitree_apply_content,,,,,26023,260.230000,0
window_counter,uitree_apply_hook,,,,,10706,107.060000,0
window_counter,uitree_apply_hook_skip,,,,,7329,73.290000,0
window_counter,uitree_apply_other,,,,,22104,221.040000,0
window_counter,uitree_apply_nochange,,,,,20961,209.610000,0
window_gauge,uitree_components,,,,,7140,7140.000000,0
window_gauge,uitree_capacity,,,,,8192,8192.000000,0
window_gauge,uitree_free_list,,,,,2,2.000000,0
window_gauge,uitree_node_bytes,,,,,5636096,5636096.000000,0
window_counter,cs2_scripts,,,,,17444,174.440000,0
window_counter,cs2_opcodes,,,,,1829205,18292.050000,0
window_counter,cs2_host_ops,,,,,281507,2815.070000,0
window_counter,cs2_cycles,,,,,1829205,18292.050000,0
window_counter,cs2_vm_acquire,,,,,15173,151.730000,0
window_counter,cs2_vm_pool_hit,,,,,15172,151.720000,0
window_counter,cs2_vm_pool_miss,,,,,1,0.010000,0
window_counter,cs2_vm_init_ns,,,,,77806279,778062.790000,0
window_counter,cs2_vm_release_ns,,,,,115983406,1159834.060000,0
window_counter,cs2_frame_pool_hit,,,,,20907,209.070000,0
window_counter,cs2_frame_pool_miss,,,,,10,0.100000,0
window_counter,cs2_frame_push,,,,,54067,540.670000,0
window_counter,cs2_frame_clear_bytes,,,,,985776,9857.760000,0
window_counter,cs2_frame_locals_bytes,,,,,2912,29.120000,0
window_counter,cache_model_hit,,,,,10935,109.350000,0
window_counter,cache_model_miss,,,,,1940,19.400000,0
window_counter,cache_sprite_hit,,,,,6745,67.450000,0
window_counter,cache_sprite_miss,,,,,1097,10.970000,0
window_counter,model_inst_hit,,,,,1120,11.200000,0
window_counter,model_inst_miss,,,,,948,9.480000,0
window_counter,model_inst_evict,,,,,835,8.350000,0
window_counter,painter_pops,,,,,546327,5463.270000,0
window_counter,painter_gate_rejects,,,,,245068,2450.680000,0
window_counter,painter_pushes,,,,,546327,5463.270000,0
window_counter,painter_push_dedup,,,,,502383,5023.830000,0
window_gauge,painter_commands,,,,,1647,1647.000000,0
window_gauge,painter_tiles_remaining_set,,,,,3252,3252.000000,0
window_gauge,scene_elements,,,,,23185,23185.000000,0
window_gauge,scene_anim_list,,,,,110,110.000000,0
window_gauge,cache_model_size,,,,,1006,1006.000000,0
window_gauge,cache_sprite_size,,,,,710,710.000000,0
window_counter,iface_open,,,,,23,0.230000,0
window_counter,iface_close,,,,,2,0.020000,0
window_counter,iface_bake,,,,,20,0.200000,0
window_counter,iface_bake_reuse,,,,,3,0.030000,0
window_counter,iface_mount_ns,,,,,416492317,4164923.170000,0
window_counter,iface_close_ns,,,,,6146,61.460000,0
window_gauge,iface_groups_resident,,,,,25,25.000000,0
window_gauge,uitree_hidden,,,,,3212,3212.000000,0
window_gauge,uitree_unmounted,,,,,1,1.000000,0
window_gauge,uitree_hook_blocks,,,,,2146,2146.000000,0
window_gauge,uitree_hook_bytes,,,,,1716800,1716800.000000,0
window_gauge,host_inv_hooks,,,,,9,9.000000,0
window_gauge,host_var_hooks,,,,,197,197.000000,0
window_gauge,host_stat_hooks,,,,,70,70.000000,0
window_gauge,bridge_sprite_map,,,,,507,507.000000,0
window_gauge,bridge_obj_icon_map,,,,,17,17.000000,0
window_gauge,cache_clientscript_size,,,,,566,566.000000,0
window_counter,uitree_anim_scan,,,,,912,9.120000,0
window_counter,iface_group_scan_nodes,,,,,2364,23.640000,0
window_counter,logic_ticks,,,,,459,4.590000,0
