kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,1000,
meta,frames_over_20ms,,,,,970,
meta,eff_fps,,,,,10.518,
stage,frame,95078395,81301954,111864218,6561308770,,
stage,async,2268105,221257,247517,1625251534,,
stage,logic,35584972,22660701,42713250,6295477777,,
stage,cs2,34534623,21801095,41876551,6278416951,,
stage,layout,15222,14528,18438,65650,,
stage,interact,626132,410108,447543,29976157,,
stage,emit,3853480,2841143,16921145,34750506,,
stage,paint,1534101,1098185,1159924,34226417,,
stage,build,1554988,1106006,1169143,34234240,,
stage,render,43323456,46670178,56042319,215092980,,
stage,pick_finish,0,0,0,0,,
stage,present,1582593,1123048,1246248,48702279,,
stage,server,0,0,0,0,,
stage,platform_poll,39562,16483,96102,6091557,,
stage,command_drain,134784,6146,136609,24197489,,
stage,app_run,45198299,32792436,53234140,6544082279,,
stage,frame_post,1600308,1081702,1219428,35525186,,
stage,input_prep,82233,37156,117333,18005082,,
stage,surface_sync,8613,6705,6985,1740724,,
stage,display,47296036,49935118,60949646,217357514,,
stage,window_sync,638014,436089,485537,24346111,,
stage,pace,483812,4000,4000,34796000,,
stage,period,95576156,81404000,112026000,6561373000,,
stage,cs2_settle,23559480,20404549,38901870,366851374,,
stage,ui_icon,80628,0,0,80628402,,
stage,tick_packets,9768070,181308,513475,5908146428,,
stage,cs2_settle_layout,11793,11454,14528,39670,,
stage,present_fill,3392,3352,3632,50286,,
stage,present_blit,1573053,1106566,1230883,48685797,,
stage,cs2_host_op,5642303,3180846,17303599,862674723,,
stage,cs2_settle_followups,31150,16762,21231,13320408,,
stage,cs2_script,11940112,7060393,24703137,1613717103,,
stage,task_queue_run,21190313,12844929,31259560,3644503715,,
stage,cs2_task_start,1933442,1352977,1754960,33745350,,
stage,cs2_script_in,12699892,7932284,25849098,1550802711,,
stage,task_io,6774545,385525,524643,2819097987,,
stage,r_clear,912246,714896,779708,29213769,,
stage,r_model,30495078,27863054,43739061,70146363,,
stage,r_sprite,3307178,2435501,15196621,64912163,,
stage,r_font,469593,364294,394185,32021950,,
stage,r_rect,93377,67884,74032,14776739,,
stage,r_other,217827,109792,117052,68909027,,
cpu,main_thread,75484375,62500000,78125000,5515625000,,
cpu_info,coarse_direct,,,,,,
cpu_raw,main_thread_calibration_clock_total,,,,,75484375000,75484375.000000
counter,uitree_find_id,,,,,867379,867.379000
counter,uitree_find_id_probes,,,,,1366705,1366.705000
counter,uitree_find_id_linear,,,,,59,0.059000
counter,uitree_id_rebuild,,,,,40,0.040000
counter,uitree_find_child,,,,,63979,63.979000
counter,uitree_find_child_hit,,,,,20024,20.024000
counter,uitree_find_child_ceil_miss,,,,,43220,43.220000
counter,uitree_walk_emit,,,,,2743955,2743.955000
counter,uitree_walk_emit_drag,,,,,0,0.000000
counter,uitree_walk_hit,,,,,818935,818.935000
counter,uitree_walk_hover,,,,,143518,143.518000
counter,uitree_walk_drop,,,,,0,0.000000
counter,uitree_emit_skip,,,,,2125945,2125.945000
counter,uitree_layout_resolve,,,,,9341,9.341000
counter,uitree_layout_skip,,,,,4238,4.238000
counter,uitree_layout_nodes,,,,,36202396,36202.396000
counter,uitree_layout_node_skip,,,,,36060923,36060.923000
counter,uitree_layout_depth_recompute,,,,,4128,4.128000
counter,uitree_ensure_layout,,,,,92863,92.863000
counter,uitree_cc_create,,,,,43378,43.378000
counter,uitree_cc_delete,,,,,6,0.006000
counter,uitree_cc_deleteall,,,,,4364,4.364000
counter,uitree_cc_deleteall_rows,,,,,36936,36.936000
counter,uitree_apply_geo,,,,,97309,97.309000
counter,uitree_apply_content,,,,,92463,92.463000
counter,uitree_apply_hook,,,,,15196,15.196000
counter,uitree_apply_hook_skip,,,,,11815,11.815000
counter,uitree_apply_other,,,,,22110,22.110000
counter,uitree_apply_nochange,,,,,36429,36.429000
counter,uitree_key_scan,,,,,0,0.000000
counter,uitree_key_scan_nodes,,,,,0,0.000000
counter,uitree_components,,,,,6844516,6844.516000
counter,uitree_capacity,,,,,7860224,7860.224000
counter,uitree_free_list,,,,,1387,1.387000
counter,uitree_node_bytes,,,,,5407834112,5407834.112000
counter,cs2_scripts,,,,,141827,141.827000
counter,cs2_opcodes,,,,,7478674,7478.674000
counter,cs2_host_ops,,,,,1147009,1147.009000
counter,cs2_cycles,,,,,7478674,7478.674000
counter,cs2_aborts,,,,,0,0.000000
counter,cs2_vm_acquire,,,,,139556,139.556000
counter,cs2_vm_pool_hit,,,,,139555,139.555000
counter,cs2_vm_pool_miss,,,,,1,0.001000
counter,cs2_vm_init_ns,,,,,613851519,613851.519000
counter,cs2_vm_release_ns,,,,,616202614,616202.614000
counter,cs2_frame_pool_hit,,,,,182447,182.447000
counter,cs2_frame_pool_miss,,,,,10,0.010000
counter,cs2_frame_push,,,,,279116,279.116000
counter,cs2_frame_clear_bytes,,,,,6954976,6954.976000
counter,cs2_frame_locals_bytes,,,,,2912,2.912000
counter,cache_model_hit,,,,,10941,10.941000
counter,cache_model_miss,,,,,1935,1.935000
counter,cache_model_evict,,,,,0,0.000000
counter,cache_sprite_hit,,,,,49913,49.913000
counter,cache_sprite_miss,,,,,1097,1.097000
