kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame,window
window_stage,frame,184267654,78932378,247436755,6561308770,,,0
window_stage,async,20052280,221258,2182959,1625251534,,,0
window_stage,logic,119893145,21750530,92400570,6295477777,,,0
window_stage,cs2,118809141,20193069,90374615,6278416951,,,0
window_stage,layout,12060,14526,18160,44697,,,0
window_stage,interact,479993,405079,424914,16783418,,,0
window_stage,emit,2667461,2833321,2968534,28669007,,,0
window_stage,paint,1476209,1091479,1161880,28541617,,,0
window_stage,build,1482361,1099023,1169143,28549159,,,0
window_stage,render,31981033,33421007,50795283,215092980,,,0
window_stage,pick_finish,0,0,0,0,,,0
window_stage,present,1443764,1126400,1259098,16278046,,,0
window_stage,server,0,0,0,0,,,0
window_stage,platform_poll,144403,23467,363454,6091557,,,0
window_stage,command_drain,545583,6146,448940,24197489,,,0
window_stage,app_run,145575686,29421337,193838323,6544082279,,,0
window_stage,frame_post,1637032,1084774,1287314,22291939,,,0
window_stage,input_prep,167264,43861,387200,6115303,,,0
window_stage,surface_sync,24419,6705,7264,1740724,,,0
window_stage,display,35482272,39358075,53728337,217357514,,,0
window_stage,window_sync,683313,431060,1916444,16439798,,,0
window_stage,pace,3215970,4000,14355000,28319000,,,0
window_stage,period,186833640,78990000,247499000,6561373000,,,0
window_stage,cs2_settle,23780913,16418568,45494051,366851374,,,0
window_stage,ui_icon,806284,0,0,80628402,,,0
window_stage,tick_packets,94157352,224331,55304234,5908146428,,,0
window_stage,cs2_settle_layout,9660,11453,14806,17043,,,0
window_stage,present_fill,3413,3352,3632,10616,,,0
window_stage,present_blit,1497187,1110756,1246248,16261285,,,0
window_stage,cs2_host_op,14347487,3134195,20699275,862674723,,,0
window_stage,cs2_settle_followups,13758,16761,20954,29611,,,0
window_stage,cs2_script,27059980,6921551,31513223,1613717103,,,0
window_stage,task_queue_run,67509471,10975697,58363284,3644503715,,,0
window_stage,cs2_task_start,1475701,1336762,1733740,17536025,,,0
window_stage,cs2_script_in,25389272,7699862,26498900,1550802711,,,0
window_stage,task_io,62874820,437484,46424335,2819097987,,,0
window_stage,r_clear,1033567,712101,778591,17693310,,,0
window_stage,r_model,20895759,23362483,40338668,55546435,,,0
window_stage,r_sprite,2748016,2413151,2553683,19031193,,,0
window_stage,r_font,238625,359263,380775,422399,,,0
window_stage,r_rect,44963,67328,68446,180747,,,0
window_stage,r_other,896082,109232,117334,68909027,,,0
window_cpu,main_thread,149687500,62500000,171875000,5515625000,,,0
window_cpu_info,coarse_direct,,,,,,,0
window_cpu_raw,main_thread_calibration_clock_total,,,,,14968750000,149687500.000000,0
window_counter,uitree_find_id,,,,,240248,2402.480000,0
window_counter,uitree_find_id_probes,,,,,369570,3695.700000,0
window_counter,uitree_find_id_linear,,,,,59,0.590000,0
window_counter,uitree_id_rebuild,,,,,11,0.110000,0
window_counter,uitree_find_child,,,,,24304,243.040000,0
window_counter,uitree_find_child_hit,,,,,10856,108.560000,0
