0.002924 sym317
0.001951 sym317
0.001945 sym317
0.001952 sym315 sym321
0.001950 sym318 sym321
0.050777 sym429 sym438
0.005853 sym401 sym3 sym3 sym423
0.002171 sym435 sym3 sym3 sym423
0.003907 sym19 sym320 sym3 sym3 sym423
0.001944 sym78 sym320 sym3 sym3 sym423
0.002937 sym78 sym320 sym3 sym3 sym423
0.001953 sym364 sym320 sym3 sym3 sym423
0.001938 sym382 sym320 sym3 sym3 sym423
0.019495 sym401 sym320 sym3 sym3 sym423
0.003908 sym401 sym320 sym3 sym3 sym423
0.027342 sym435 sym320 sym3 sym3 sym423
0.011701 sym435 sym320 sym3 sym3 sym423
0.004878 sym435 sym327 sym416 sym416 sym323
0.001955 sym32 sym78 sym320 sym3 sym3 sym423
0.029298 sym36 sym78 sym320 sym3 sym3 sym423
0.001958 sym40 sym19 sym320 sym3 sym3 sym423
0.001951 sym40 sym19 sym320 sym3 sym3 sym423
0.001951 sym40 sym19 sym320 sym3 sym3 sym423
0.001956 sym130 sym19 sym320 sym3 sym3 sym423
0.001960 sym130 sym79 sym320 sym3 sym3 sym423
0.001953 sym151 sym19 sym320 sym3 sym3 sym423
0.001949 sym217 sym19 sym320 sym3 sym3 sym423
0.001955 sym217 sym19 sym320 sym3 sym3 sym423
0.001951 sym231 sym19 sym320 sym3 sym3 sym423
0.003906 sym232 sym19 sym320 sym3 sym3 sym423
0.001958 sym253 sym19 sym320 sym3 sym3 sym423
0.001952 sym364 sym19 sym320 sym3 sym3 sym423
0.001954 sym364 sym19 sym320 sym3 sym3 sym423
0.001955 sym364 sym79 sym320 sym3 sym3 sym423
0.001953 sym382 sym19 sym320 sym3 sym3 sym423
0.001951 sym382 sym19 sym320 sym3 sym3 sym423
0.001953 sym382 sym79 sym320 sym3 sym3 sym423
0.001955 sym382 sym19 sym320 sym3 sym3 sym423
0.002928 sym401 sym19 sym320 sym3 sym3 sym423
0.007810 sym401 sym19 sym320 sym3 sym3 sym423
0.002817 sym401 sym77 sym320 sym3 sym3 sym423
0.090812 sym401 sym78 sym320 sym3 sym3 sym423
0.001947 sym401 sym78 sym320 sym3 sym3 sym423
0.003905 sym434 sym412 sym320 sym3 sym3 sym423
0.001949 sym435 sym78 sym320 sym3 sym3 sym423
0.001951 sym435 sym78 sym320 sym3 sym3 sym423
0.002945 sym435 sym96 sym320 sym3 sym3 sym423
0.014648 sym435 sym412 sym320 sym3 sym3 sym423
0.002924 sym22 sym32 sym78 sym320 sym3 sym3 sym423
0.001954 sym22 sym32 sym78 sym320 sym3 sym3 sym423
0.001950 sym22 sym32 sym78 sym320 sym3 sym3 sym423
0.001949 sym22 sym32 sym78 sym320 sym3 sym3 sym423
0.002930 sym22 sym32 sym78 sym320 sym3 sym3 sym423
0.001951 sym31 sym32 sym78 sym320 sym3 sym3 sym423
0.005869 sym31 sym32 sym78 sym320 sym3 sym3 sym423
0.002936 sym60 sym52 sym19 sym320 sym3 sym3 sym423
0.001952 sym62 sym32 sym78 sym320 sym3 sym3 sym423
0.001954 sym98 sym32 sym78 sym320 sym3 sym3 sym423
0.001942 sym116 sym32 sym78 sym320 sym3 sym3 sym423
0.002939 sym128 sym131 sym19 sym320 sym3 sym3 sym423
0.001953 sym129 sym131 sym19 sym320 sym3 sym3 sym423
0.001968 sym129 sym131 sym19 sym320 sym3 sym3 sym423
0.013715 sym129 sym131 sym19 sym320 sym3 sym3 sym423
0.001954 sym129 sym131 sym19 sym320 sym3 sym3 sym423
0.001957 sym129 sym131 sym19 sym320 sym3 sym3 sym423
0.001967 sym129 sym131 sym19 sym320 sym3 sym3 sym423
0.001951 sym129 sym131 sym19 sym320 sym3 sym3 sym423
0.003923 sym129 sym131 sym19 sym320 sym3 sym3 sym423
0.003921 sym129 sym131 sym19 sym320 sym3 sym3 sym423
0.001948 sym129 sym131 sym19 sym320 sym3 sym3 sym423
0.003906 sym129 sym131 sym19 sym320 sym3 sym3 sym423
0.001951 sym129 sym131 sym19 sym320 sym3 sym3 sym423
0.005860 sym129 sym131 sym19 sym320 sym3 sym3 sym423
0.001966 sym129 sym131 sym19 sym320 sym3 sym3 sym423
0.001950 sym129 sym131 sym19 sym320 sym3 sym3 sym423
0.009790 sym129 sym131 sym19 sym320 sym3 sym3 sym423
0.001962 sym129 sym131 sym19 sym320 sym3 sym3 sym423
0.001964 sym129 sym131 sym19 sym320 sym3 sym3 sym423
0.001953 sym143 sym151 sym19 sym320 sym3 sym3 sym423
0.001950 sym186 sym32 sym78 sym320 sym3 sym3 sym423
0.001952 sym231 sym232 sym19 sym320 sym3 sym3 sym423
0.001955 sym231 sym232 sym19 sym320 sym3 sym3 sym423
0.001955 sym278 sym32 sym78 sym320 sym3 sym3 sym423
0.003898 sym278 sym32 sym78 sym320 sym3 sym3 sym423
0.001952 sym316 sym217 sym19 sym320 sym3 sym3 sym423
