module,function,source,line,exclusive_seconds,exclusive_percent,inclusive_seconds,inclusive_percent
kernel32,RegisterWaitForInputIdle,[unknown],0,0.000000,0.000000,27.040880,99.339976
torirs-profile,public_all,[unknown],0,0.000000,0.000000,27.040880,99.339976
torirs-profile,main,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\main.c,3155,0.000000,0.000000,27.025149,99.282185
torirs-profile,frame_loop_step,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\<artificial>,800,0.004881,0.017931,24.509131,90.039100
torirs-profile,App_PlaySound,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,24235,0.001955,0.007182,22.692692,83.366055
torirs-profile,app_dispatch_clientscript,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,11476,0.017574,0.064562,19.049054,69.980436
torirs-profile,PlatformXIOJs5Cache_Tick,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_x_io_js5_cache.c,107,0.236251,0.867914,10.237503,37.609475
torirs-profile,PlatformXIO_Js5Pump,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_x_io.c,1015,0.012686,0.046605,9.715984,35.693573
torirs-profile,js5_validate_local_group,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5.c,1017,0.047851,0.175790,9.054959,33.265168
torirs-profile,dat2_file_store_get,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\dat2disk.c,767,0.019509,0.071670,8.217313,30.187911
torirs-profile,js5_rscache_read_raw,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5_rscache.c,17,0.022451,0.082478,8.044478,29.552968
torirs-profile,RSCache_Dat2DiskDat2FileReadArchive,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\dat2disk.c,147,0.148617,0.545974,6.932250,25.466980
ntdll,RtlInitializeCriticalSection,[unknown],0,0.325091,1.194286,6.137420,22.547016
ntdll,KiFastSystemCallRet,[unknown],0,6.007421,22.069439,6.007421,22.069439
ntdll,RtlReAllocateHeap,[unknown],0,5.755716,21.144752,5.935365,21.804727
msvcrt,fread,[unknown],0,0.022458,0.082504,4.910387,18.039270
msvcrt,free,[unknown],0,0.194265,0.713671,4.846207,17.803492
msvcrt,fputws,[unknown],0,0.435464,1.599762,4.732664,17.386369
msvcrt,filbuf,[unknown],0,0.056657,0.208141,4.285492,15.743595
msvcrt,read,[unknown],0,0.046864,0.172164,4.167264,15.309262
torirs-profile,Task_GameProtoExec_Run,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\task_gameproto_exec.c,146,0.000000,0.000000,4.152610,15.255427
msvcrt,putch,[unknown],0,0.062557,0.229815,3.976882,14.609856
msvcrt,malloc,[unknown],0,0.023443,0.086122,3.809888,13.996371
msvcrt,calloc,[unknown],0,0.036111,0.132661,3.562390,13.087138
torirs-profile,Task_CS2Run_Run,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\task_cs2_run.c,962,0.007807,0.028681,3.372266,12.388681
torirs-profile,Task_OpenSubRefresh_Run,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\<artificial>,11246,0.002930,0.010764,3.212353,11.801209
torirs-profile,Task_InterfaceOpen_Run,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\uitree_builder\task_interface_open.c,518,0.005964,0.021910,3.191827,11.725803
torirs-profile,RSCache_ArchiveDecryptDecompress,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\archive.c,157,0.013707,0.050355,3.130631,11.500987
torirs-profile,PlatformSDL2_SetWindowSize,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_win32gdi.c,809,0.002926,0.010749,3.113450,11.437869
torirs-profile,load_cache_item_dat2,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_x_io.c,557,0.011724,0.043070,2.942518,10.809917
torirs-profile,RSCache_CompressionBzipDecompress,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\compression.c,164,0.774455,2.845112,2.707857,9.947844
torirs-profile,Task_WorldLoad_Run,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\world_builder\task_world_load.c,203,0.020517,0.075373,2.297920,8.441860
torirs-profile,__udivmoddi4,R:\winlibs_staging_msvcrt32\gcc-15.2.0\build_mingw\i686-w64-mingw32\libgcc\..\..\..\libgcc\libgcc2.c,996,0.180635,0.663598,2.261242,8.307116
torirs-profile,get_next_block,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,89,0.977495,3.591020,1.908982,7.013020
torirs-profile,cs2vm2_run_script_body_timed,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,12033,0.007808,0.028684,1.868328,6.863669
msvcrt,wscanf,[unknown],0,0.115202,0.423217,1.813230,6.661256
torirs-profile,cs2vm2_run_script_body,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,11889,0.098610,0.362263,1.766819,6.490756
msvcrt,fsetpos,[unknown],0,0.005863,0.021539,1.759464,6.463736
torirs-profile,CS2VM2_RunOp,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\<artificial>,10101,0.166001,0.609837,1.602795,5.888182
msvcrt,lseeki64,[unknown],0,0.063494,0.233258,1.406865,5.168395
torirs-profile,luaZ_fill,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\lua\lzio.c,24,0.000000,0.000000,1.331969,4.893249
torirs-profile,Task_ExecNpcInfo_Run,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\task_exec_entity_info.c,1584,0.000000,0.000000,1.303784,4.789706
torirs-profile,App_Render,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,28104,0.002919,0.010724,1.280288,4.703389
torirs-profile,RSCache_Dat2DiskIndexFileReadRecord,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\dat2disk.c,555,0.002929,0.010760,1.252865,4.602645
msvcrt,lseek,[unknown],0,0.032225,0.118385,1.227237,4.508496
torirs-profile,app_update_world_viewport,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,10669,0.003907,0.014353,1.173857,4.312394
torirs-profile,RS_CS2Host_Exec,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\rs_cs2_host.c,7460,0.001952,0.007171,1.173058,4.309459
torirs-profile,ToriRS_Soft3D_RenderFrame,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_sdl2_renderer_soft3d.c,1436,0.026425,0.097077,1.156306,4.247917
torirs-profile,rs_cs2_host_exec_dispatch,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\rs_cs2_host.c,7500,0.086886,0.319193,1.091025,4.008094
ntdll,wcsncpy,[unknown],0,0.807193,2.965382,1.073671,3.944341
