source,line,exclusive_seconds,exclusive_percent
[unknown],0,18.575502,68.240750
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\checksum.c,108,0.401264,1.474122
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,549,0.278284,1.022331
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,431,0.216905,0.796843
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,404,0.191419,0.703215
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,493,0.180876,0.664483
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,533,0.164096,0.602839
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\checksum.c,105,0.162083,0.595444
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\checksum.c,109,0.146331,0.537576
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,357,0.144751,0.531771
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_lighting.c,87,0.123994,0.455516
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\dat2disk.c,269,0.122270,0.449183
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,358,0.119872,0.440373
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,409,0.093765,0.344464
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_emit.c,228,0.093757,0.344435
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,469,0.093702,0.344233
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\checksum.c,106,0.086909,0.319277
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5.c,1310,0.084957,0.312106
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,340,0.080080,0.294190
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,6101,0.070342,0.258415
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,555,0.066521,0.244378
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\hmap\hmap.h,241,0.065467,0.240506
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree.c,1527,0.063489,0.233239
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,537,0.063485,0.233225
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_lighting.c,177,0.060550,0.222442
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\reference_table.c,74,0.059711,0.219360
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\plugin\torirs_plugin_bridge.u.c,557,0.059603,0.218963
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,531,0.058569,0.215165
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_lighting.c,322,0.055666,0.204500
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\world.c,1353,0.055656,0.204463
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\rsbuffer.c,761,0.053680,0.197204
R:\winlibs_staging_msvcrt32\gcc-15.2.0\build_mingw\i686-w64-mingw32\libgcc\..\..\..\libgcc\libgcc2.c,1029,0.052794,0.193949
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,802,0.052734,0.193729
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,102,0.051751,0.190117
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5.c,1308,0.049765,0.182821
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\reference_table.c,138,0.047908,0.175999
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\world_cycle.c,1549,0.046909,0.172329
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_lighting.c,167,0.046880,0.172223
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\hmap\hmap.h,420,0.045875,0.168531
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\dat2\dat2_group_cache.c,247,0.043936,0.161408
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,556,0.042960,0.157822
