0.001956 sym367
0.034145 sym367
0.002925 sym367
0.001954 sym367
0.001950 sym367
0.002926 sym365 sym371
0.033174 sym368 sym371
0.002926 sym519 sym371
0.053709 sym519 sym534
0.007805 sym474 sym1 sym1 sym511
0.001944 sym95 sym370 sym1 sym1 sym511
0.001961 sym95 sym370 sym1 sym1 sym511
0.001944 sym95 sym370 sym1 sym1 sym511
0.001954 sym95 sym370 sym1 sym1 sym511
0.002925 sym275 sym370 sym1 sym1 sym511
0.023426 sym474 sym370 sym1 sym1 sym511
0.002929 sym474 sym370 sym1 sym1 sym511
0.001946 sym482 sym376 sym500 sym500 sym372
0.001954 sym524 sym370 sym1 sym1 sym511
0.039068 sym525 sym370 sym1 sym1 sym511
0.052689 sym525 sym376 sym500 sym500 sym372
0.001947 sym22 sym95 sym370 sym1 sym1 sym511
0.001954 sym45 sym95 sym370 sym1 sym1 sym511
0.002928 sym45 sym95 sym370 sym1 sym1 sym511
0.002921 sym45 sym95 sym370 sym1 sym1 sym511
0.001955 sym45 sym95 sym370 sym1 sym1 sym511
0.002920 sym45 sym95 sym370 sym1 sym1 sym511
0.001945 sym45 sym95 sym370 sym1 sym1 sym511
0.001949 sym45 sym95 sym370 sym1 sym1 sym511
0.094723 sym50 sym95 sym370 sym1 sym1 sym511
0.004892 sym50 sym95 sym370 sym1 sym1 sym511
0.002929 sym94 sym95 sym370 sym1 sym1 sym511
0.001955 sym94 sym95 sym370 sym1 sym1 sym511
0.017577 sym94 sym95 sym370 sym1 sym1 sym511
0.001954 sym119 sym117 sym370 sym1 sym1 sym511
0.001952 sym156 sym96 sym370 sym1 sym1 sym511
0.001952 sym156 sym96 sym370 sym1 sym1 sym511
0.003915 sym156 sym96 sym370 sym1 sym1 sym511
0.001958 sym253 sym30 sym370 sym1 sym1 sym511
0.001953 sym253 sym30 sym370 sym1 sym1 sym511
0.002927 sym364 sym95 sym370 sym1 sym1 sym511
0.002925 sym433 sym95 sym370 sym1 sym1 sym511
0.001951 sym474 sym30 sym370 sym1 sym1 sym511
0.002931 sym474 sym94 sym370 sym1 sym1 sym511
0.004864 sym474 sym95 sym370 sym1 sym1 sym511
0.001953 sym474 sym95 sym370 sym1 sym1 sym511
0.072270 sym525 sym95 sym370 sym1 sym1 sym511
0.015623 sym525 sym96 sym370 sym1 sym1 sym511
0.018551 sym525 sym493 sym370 sym1 sym1 sym511
0.002920 sym12 sym45 sym95 sym370 sym1 sym1 sym511
0.001951 sym13 sym45 sym95 sym370 sym1 sym1 sym511
0.019527 sym21 sym45 sym95 sym370 sym1 sym1 sym511
0.002924 sym21 sym45 sym95 sym370 sym1 sym1 sym511
0.002925 sym23 sym45 sym95 sym370 sym1 sym1 sym511
0.005856 sym30 sym45 sym95 sym370 sym1 sym1 sym511
0.002923 sym32 sym45 sym95 sym370 sym1 sym1 sym511
0.001949 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001953 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001955 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001956 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.010737 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.003904 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.003913 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001956 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001955 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001956 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.002929 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001946 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.002934 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.001958 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.001954 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.001954 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.019526 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.001951 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.001953 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.015629 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.001953 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.001949 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.025390 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.001955 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.003906 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.001954 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.001954 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.001956 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.001955 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.001913 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.017574 sym48 sym94 sym95 sym370 sym1 sym1 sym511
0.001962 sym78 sym70 sym30 sym370 sym1 sym1 sym511
0.001953 sym78 sym70 sym30 sym370 sym1 sym1 sym511
0.001959 sym88 sym45 sym95 sym370 sym1 sym1 sym511
0.001953 sym89 sym119 sym96 sym370 sym1 sym1 sym511
0.001905 sym89 sym119 sym96 sym370 sym1 sym1 sym511
0.002926 sym117 sym45 sym95 sym370 sym1 sym1 sym511
0.002931 sym117 sym45 sym95 sym370 sym1 sym1 sym511
0.001944 sym119 sym117 sym95 sym370 sym1 sym1 sym511
0.001945 sym119 sym117 sym95 sym370 sym1 sym1 sym511
0.001944 sym119 sym117 sym95 sym370 sym1 sym1 sym511
0.002927 sym119 sym117 sym95 sym370 sym1 sym1 sym511
0.001958 sym154 sym157 sym30 sym370 sym1 sym1 sym511
0.019566 sym155 sym157 sym30 sym370 sym1 sym1 sym511
0.009776 sym155 sym157 sym30 sym370 sym1 sym1 sym511
0.007835 sym155 sym157 sym30 sym370 sym1 sym1 sym511
0.001953 sym155 sym157 sym30 sym370 sym1 sym1 sym511
0.001952 sym155 sym157 sym30 sym370 sym1 sym1 sym511
0.001952 sym155 sym157 sym30 sym370 sym1 sym1 sym511
0.001956 sym155 sym157 sym30 sym370 sym1 sym1 sym511
0.005868 sym155 sym157 sym30 sym370 sym1 sym1 sym511
0.003908 sym155 sym157 sym30 sym370 sym1 sym1 sym511
0.001955 sym155 sym157 sym30 sym370 sym1 sym1 sym511
0.001958 sym155 sym157 sym30 sym370 sym1 sym1 sym511
0.001964 sym155 sym157 sym30 sym370 sym1 sym1 sym511
0.002928 sym155 sym157 sym30 sym370 sym1 sym1 sym511
0.001952 sym155 sym157 sym30 sym370 sym1 sym1 sym511
0.003913 sym155 sym157 sym30 sym370 sym1 sym1 sym511
0.001952 sym155 sym157 sym30 sym370 sym1 sym1 sym511
0.003928 sym155 sym157 sym30 sym370 sym1 sym1 sym511
0.003909 sym155 sym157 sym30 sym370 sym1 sym1 sym511
0.001956 sym155 sym157 sym30 sym370 sym1 sym1 sym511
0.001960 sym155 sym157 sym30 sym370 sym1 sym1 sym511
0.001954 sym155 sym157 sym30 sym370 sym1 sym1 sym511
0.001955 sym253 sym45 sym95 sym370 sym1 sym1 sym511
0.002930 sym319 sym45 sym95 sym370 sym1 sym1 sym511
0.002926 sym319 sym45 sym95 sym370 sym1 sym1 sym511
0.002926 sym326 sym45 sym95 sym370 sym1 sym1 sym511
0.001959 sym326 sym45 sym95 sym370 sym1 sym1 sym511
0.003904 sym326 sym45 sym95 sym370 sym1 sym1 sym511
0.001954 sym326 sym45 sym95 sym370 sym1 sym1 sym511
0.005867 sym326 sym45 sym95 sym370 sym1 sym1 sym511
0.001951 sym337 sym45 sym95 sym370 sym1 sym1 sym511
0.002916 sym337 sym45 sym95 sym370 sym1 sym1 sym511
0.001953 sym342 sym45 sym95 sym370 sym1 sym1 sym511
0.002930 sym364 sym94 sym95 sym370 sym1 sym1 sym511
0.001954 sym366 sym253 sym30 sym370 sym1 sym1 sym511
0.001952 sym366 sym253 sym30 sym370 sym1 sym1 sym511
0.001949 sym366 sym253 sym30 sym370 sym1 sym1 sym511
0.003904 sym366 sym253 sym30 sym370 sym1 sym1 sym511
0.001954 sym366 sym253 sym30 sym370 sym1 sym1 sym511
0.001952 sym366 sym253 sym30 sym370 sym1 sym1 sym511
0.001952 sym366 sym253 sym30 sym370 sym1 sym1 sym511
0.001954 sym369 sym253 sym30 sym370 sym1 sym1 sym511
0.001954 sym369 sym253 sym30 sym370 sym1 sym1 sym511
0.003905 sym369 sym253 sym30 sym370 sym1 sym1 sym511
0.001954 sym369 sym253 sym30 sym370 sym1 sym1 sym511
0.001954 sym369 sym253 sym30 sym370 sym1 sym1 sym511
0.007815 sym369 sym253 sym30 sym370 sym1 sym1 sym511
0.005859 sym369 sym253 sym30 sym370 sym1 sym1 sym511
0.003906 sym369 sym253 sym30 sym370 sym1 sym1 sym511
0.001953 sym369 sym253 sym30 sym370 sym1 sym1 sym511
0.001953 sym369 sym253 sym30 sym370 sym1 sym1 sym511
0.001952 sym369 sym253 sym30 sym370 sym1 sym1 sym511
0.003906 sym369 sym253 sym30 sym370 sym1 sym1 sym511
0.001954 sym369 sym253 sym30 sym370 sym1 sym1 sym511
0.001953 sym369 sym253 sym30 sym370 sym1 sym1 sym511
0.001955 sym369 sym253 sym30 sym370 sym1 sym1 sym511
0.007814 sym369 sym253 sym30 sym370 sym1 sym1 sym511
0.001954 sym369 sym253 sym30 sym370 sym1 sym1 sym511
0.003904 sym369 sym253 sym30 sym370 sym1 sym1 sym511
0.003900 sym452 sym453 sym95 sym370 sym1 sym1 sym511
0.003903 sym452 sym453 sym95 sym370 sym1 sym1 sym511
0.001955 sym455 sym94 sym95 sym370 sym1 sym1 sym511
0.001954 sym471 sym45 sym95 sym370 sym1 sym1 sym511
0.001950 sym474 sym45 sym95 sym370 sym1 sym1 sym511
0.001944 sym474 sym45 sym95 sym370 sym1 sym1 sym511
0.004857 sym474 sym45 sym95 sym370 sym1 sym1 sym511
0.001954 sym493 sym492 sym493 sym370 sym1 sym1 sym511
0.005847 sym525 sym113 sym95 sym370 sym1 sym1 sym511
0.002924 sym525 sym113 sym95 sym370 sym1 sym1 sym511
0.001961 sym525 sym114 sym94 sym370 sym1 sym1 sym511
0.039149 sym525 sym114 sym95 sym370 sym1 sym1 sym511
0.006836 sym525 sym116 sym95 sym370 sym1 sym1 sym511
0.163973 sym525 sym493 sym95 sym370 sym1 sym1 sym511
0.053218 sym525 sym493 sym96 sym370 sym1 sym1 sym511
0.021462 sym525 sym568 sym95 sym370 sym1 sym1 sym511
0.002934 sym536 sym435 sym30 sym370 sym1 sym1 sym511
0.002919 sym9 sym21 sym45 sym95 sym370 sym1 sym1 sym511
0.002920 sym9 sym21 sym45 sym95 sym370 sym1 sym1 sym511
0.002927 sym22 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.004881 sym22 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.007819 sym22 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001956 sym22 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001948 sym24 sym21 sym45 sym95 sym370 sym1 sym1 sym511
0.002920 sym24 sym21 sym45 sym95 sym370 sym1 sym1 sym511
0.001951 sym33 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.015622 sym33 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.002929 sym33 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.002930 sym33 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001953 sym34 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.001955 sym38 sym48 sym94 sym95 sym370 sym1 sym1 sym511
0.002923 sym42 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001964 sym46 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.001949 sym46 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.001943 sym48 sym21 sym45 sym95 sym370 sym1 sym1 sym511
0.002929 sym50 sym48 sym94 sym95 sym370 sym1 sym1 sym511
0.001952 sym50 sym48 sym94 sym95 sym370 sym1 sym1 sym511
0.001951 sym50 sym48 sym94 sym95 sym370 sym1 sym1 sym511
0.002929 sym50 sym48 sym94 sym95 sym370 sym1 sym1 sym511
0.002929 sym50 sym48 sym94 sym95 sym370 sym1 sym1 sym511
0.001953 sym50 sym48 sym94 sym95 sym370 sym1 sym1 sym511
0.001946 sym78 sym53 sym54 sym30 sym370 sym1 sym1 sym511
0.002909 sym90 sym119 sym117 sym95 sym370 sym1 sym1 sym511
0.001963 sym105 sym48 sym94 sym95 sym370 sym1 sym1 sym511
0.005846 sym105 sym48 sym94 sym95 sym370 sym1 sym1 sym511
0.001955 sym106 sym48 sym94 sym95 sym370 sym1 sym1 sym511
0.042154 sym107 sym48 sym94 sym95 sym370 sym1 sym1 sym511
0.092976 sym107 sym48 sym94 sym95 sym370 sym1 sym1 sym511
0.013719 sym107 sym48 sym94 sym95 sym370 sym1 sym1 sym511
0.108531 sym107 sym48 sym94 sym95 sym370 sym1 sym1 sym511
0.043114 sym107 sym48 sym94 sym95 sym370 sym1 sym1 sym511
0.007802 sym107 sym48 sym94 sym95 sym370 sym1 sym1 sym511
0.001953 sym107 sym48 sym94 sym95 sym370 sym1 sym1 sym511
0.001954 sym117 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.002925 sym119 sym117 sym45 sym95 sym370 sym1 sym1 sym511
0.007804 sym119 sym117 sym45 sym95 sym370 sym1 sym1 sym511
0.001944 sym119 sym117 sym45 sym95 sym370 sym1 sym1 sym511
0.002922 sym119 sym117 sym45 sym95 sym370 sym1 sym1 sym511
0.002926 sym119 sym117 sym45 sym95 sym370 sym1 sym1 sym511
0.004873 sym119 sym117 sym45 sym95 sym370 sym1 sym1 sym511
0.005834 sym119 sym117 sym45 sym95 sym370 sym1 sym1 sym511
0.007803 sym119 sym117 sym45 sym95 sym370 sym1 sym1 sym511
0.002928 sym119 sym117 sym45 sym95 sym370 sym1 sym1 sym511
0.001951 sym119 sym117 sym45 sym95 sym370 sym1 sym1 sym511
0.002926 sym119 sym117 sym45 sym95 sym370 sym1 sym1 sym511
0.001956 sym126 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001953 sym126 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.003899 sym146 sym154 sym157 sym30 sym370 sym1 sym1 sym511
0.001950 sym146 sym154 sym157 sym30 sym370 sym1 sym1 sym511
0.003874 sym146 sym154 sym157 sym30 sym370 sym1 sym1 sym511
0.003890 sym146 sym154 sym157 sym30 sym370 sym1 sym1 sym511
0.001953 sym146 sym154 sym157 sym30 sym370 sym1 sym1 sym511
0.001947 sym146 sym154 sym157 sym30 sym370 sym1 sym1 sym511
0.001952 sym146 sym154 sym157 sym30 sym370 sym1 sym1 sym511
0.001952 sym146 sym154 sym157 sym30 sym370 sym1 sym1 sym511
0.007808 sym146 sym154 sym157 sym30 sym370 sym1 sym1 sym511
0.001953 sym146 sym154 sym157 sym30 sym370 sym1 sym1 sym511
0.001953 sym146 sym154 sym157 sym30 sym370 sym1 sym1 sym511
0.015337 sym155 sym157 sym158 sym96 sym370 sym1 sym1 sym511
0.001958 sym155 sym116 sym45 sym95 sym370 sym1 sym1 sym511
0.015614 sym155 sym157 sym158 sym96 sym370 sym1 sym1 sym511
0.001964 sym155 sym116 sym45 sym95 sym370 sym1 sym1 sym511
0.001965 sym155 sym116 sym45 sym95 sym370 sym1 sym1 sym511
0.001952 sym177 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.003904 sym177 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001949 sym178 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001952 sym178 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001952 sym178 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.018510 sym178 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001948 sym178 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001957 sym178 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.003919 sym178 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001949 sym178 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.003902 sym178 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001951 sym178 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001951 sym178 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.002927 sym178 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001953 sym178 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001957 sym215 sym32 sym45 sym95 sym370 sym1 sym1 sym511
0.001950 sym253 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.001952 sym253 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.001954 sym253 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.001954 sym253 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.001955 sym253 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.001949 sym264 sym43 sym45 sym95 sym370 sym1 sym1 sym511
0.007816 sym309 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.018556 sym309 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.003915 sym309 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.010755 sym314 sym319 sym45 sym95 sym370 sym1 sym1 sym511
0.001952 sym314 sym319 sym45 sym95 sym370 sym1 sym1 sym511
0.001953 sym314 sym319 sym45 sym95 sym370 sym1 sym1 sym511
0.003904 sym316 sym319 sym45 sym95 sym370 sym1 sym1 sym511
0.001951 sym318 sym319 sym45 sym95 sym370 sym1 sym1 sym511
0.001955 sym320 sym326 sym45 sym95 sym370 sym1 sym1 sym511
1.125425 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001959 sym326 sym319 sym45 sym95 sym370 sym1 sym1 sym511
0.001956 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.003912 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.009790 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.036212 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.008803 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.009789 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.037127 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001957 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.040041 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.023452 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.003910 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.002934 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
2.360232 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.003926 sym326 sym319 sym45 sym95 sym370 sym1 sym1 sym511
0.001969 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001961 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001957 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001956 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001956 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.005864 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001956 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.003909 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.007819 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001959 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.005877 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.032274 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.023435 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001958 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.019532 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.008807 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.031279 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.001957 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.010753 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.005873 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
0.011745 sym326 sym33 sym45 sym95 sym370 sym1 sym1 sym511
