module,function,source,line,exclusive_seconds,exclusive_percent,inclusive_seconds,inclusive_percent
kernel32,RegisterWaitForInputIdle,[unknown],0,0.000000,0.000000,59.740314,99.675975
torirs-profile,public_all,[unknown],0,0.000000,0.000000,59.740314,99.675975
torirs-profile,main,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\main.c,3155,0.000000,0.000000,59.699304,99.607550
torirs-profile,frame_loop_step,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\<artificial>,800,0.007803,0.013019,57.876823,96.566763
torirs-profile,App_PlaySound,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,24235,0.016572,0.027650,36.431967,60.786286
torirs-profile,app_dispatch_clientscript,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,11476,0.060541,0.101012,27.642768,46.121616
torirs-profile,luaZ_fill,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\lua\lzio.c,24,0.022461,0.037476,20.055181,33.461821
torirs-profile,App_Render,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,28104,0.019517,0.032564,19.039613,31.767359
torirs-profile,ToriRS_Soft3D_RenderFrame,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_sdl2_renderer_soft3d.c,1436,0.310249,0.517647,17.989678,30.015555
torirs-profile,ToriRS_Soft3D_Execute,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_sdl2_renderer_soft3d.c,1058,0.571129,0.952922,17.010737,28.382204
torirs-profile,project_vertices_array_ortho_fused_clip,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\projection_ortho.u.c,317,4.914405,8.199624,11.326933,18.898848
torirs-profile,PlatformXIOJs5Cache_Tick,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_x_io_js5_cache.c,107,0.281116,0.469039,10.478490,17.483231
torirs-profile,PlatformXIO_Js5Pump,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_x_io.c,1015,0.066404,0.110794,10.053677,16.774436
ntdll,KiFastSystemCallRet,[unknown],0,9.850616,16.435631,9.850616,16.435631
torirs-profile,js5_validate_local_group,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5.c,1017,0.046859,0.078184,9.282757,15.488165
torirs-profile,dat2_file_store_get,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\dat2disk.c,767,0.018539,0.030932,8.830809,14.734096
torirs-profile,js5_rscache_read_raw,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5_rscache.c,17,0.006829,0.011394,8.565182,14.290900
torirs-profile,RSCache_Dat2DiskDat2FileReadArchive,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\dat2disk.c,147,0.168834,0.281697,7.519495,12.546184
ntdll,RtlInitializeCriticalSection,[unknown],0,0.184482,0.307806,7.113022,11.867989
ntdll,RtlReAllocateHeap,[unknown],0,6.938337,11.576529,7.023365,11.718398
torirs-profile,Task_CS2Run_Run,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\task_cs2_run.c,962,0.049746,0.083001,5.916456,9.871534
torirs-profile,UITree_LayoutSetRootSize,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,16,5.729928,9.560314,5.750463,9.594576
torirs-profile,__udivmoddi4,R:\winlibs_staging_msvcrt32\gcc-15.2.0\build_mingw\i686-w64-mingw32\libgcc\..\..\..\libgcc\libgcc2.c,996,0.253857,0.423557,4.914740,8.200183
msvcrt,free,[unknown],0,0.161083,0.268765,4.457381,7.437085
msvcrt,calloc,[unknown],0,0.027344,0.045623,4.436736,7.402639
msvcrt,fread,[unknown],0,0.041985,0.070051,4.393162,7.329936
