source,line,exclusive_seconds,exclusive_percent
[unknown],0,27.587356,46.029162
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,431,2.488344,4.151771
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,493,1.471669,2.455462
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\plugin\torirs_plugin_bridge.u.c,557,1.299458,2.168130
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,404,1.164610,1.943137
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness_barycentric_steps.h,18,0.553634,0.923731
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1063,0.488069,0.814337
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\world_cycle.c,1549,0.361709,0.603507
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_emit.c,2038,0.304043,0.507292
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_2d.c,404,0.297650,0.496625
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,116,0.275439,0.459567
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\toolchains\mingw32\lib\gcc\i686-w64-mingw32\15.2.0\include\emmintrin.h,608,0.255841,0.426868
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\triangles\toridraw_triangle_gouraud.u.c,37,0.248034,0.413842
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,549,0.246080,0.410581
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_sdl2_renderer_soft3d.c,1455,0.244621,0.408147
