kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame,window
window_stage,frame,171509541,61016414,225642645,7060767500,,,0
window_stage,async,17222644,222933,13011709,899771619,,,0
window_stage,logic,112197731,7959112,70069800,6357544883,,,0
window_stage,cs2,111592355,7220470,70049685,6355535968,,,0
window_stage,layout,7182,9219,12292,15923,,,0
window_stage,interact,200464,259809,269588,336914,,,0
window_stage,emit,2348021,2811809,2921600,18953806,,,0
window_stage,paint,1428885,1060191,1624229,18027990,,,0
window_stage,build,1434782,1068013,1632051,18036650,,,0
window_stage,render,29532979,29191140,46142457,181112684,,,0
window_stage,pick_finish,0,0,0,0,,,0
window_stage,present,2151533,1222222,1980419,30325083,,,0
window_stage,server,0,0,0,0,,,0
window_stage,platform_poll,105605,17320,398933,2515124,,,0
window_stage,command_drain,1504339,6425,115099,119284714,,,0
window_stage,app_run,133926588,12629818,189455084,7001537346,,,0
window_stage,frame_post,1591596,1090641,1176127,17964015,,,0
window_stage,input_prep,127164,38832,419886,2538032,,,0
window_stage,surface_sync,31227,6984,7822,2406730,,,0
window_stage,display,32859707,43910329,51141416,182202486,,,0
window_stage,window_sync,898765,453969,538616,34253516,,,0
window_stage,pace,2460770,4000,16500000,21665000,,,0
window_stage,period,173040990,60946000,225705000,7060839000,,,0
window_stage,cs2_settle,15333714,6868751,29216282,484851287,,,0
window_stage,ui_icon,1299947,0,0,129994737,,,0
window_stage,tick_packets,95875702,114540,52172832,5866773570,,,0
window_stage,cs2_settle_layout,6891,8660,11734,17599,,,0
window_stage,present_fill,3405,3352,3353,7263,,,0
window_stage,present_blit,2156964,1206578,2306718,30308601,,,0
window_stage,cs2_host_op,12353311,1630653,18650410,848557210,,,0
window_stage,cs2_settle_followups,7718,9219,15086,28496,,,0
window_stage,cs2_script,23504683,3798810,21378976,1581804379,,,0
window_stage,task_queue_run,63867396,6805894,92274578,3901417071,,,0
window_stage,cs2_task_start,985304,991466,1639599,17637721,,,0
window_stage,cs2_script_in,22123420,4383793,21925132,1494705595,,,0
window_stage,task_io,63477095,323224,52176184,3057063692,,,0
window_stage,r_clear,690185,710425,724115,16188370,,,0
window_stage,r_model,19077688,19107159,35852878,53132735,,,0
window_stage,r_sprite,2529676,2356169,4311170,19770945,,,0
window_stage,r_font,347259,297241,314287,13352813,,,0
window_stage,r_rect,36814,38274,38833,944535,,,0
window_stage,r_other,1009971,94145,101410,94077884,,,0
window_cpu,main_thread,140312500,46875000,140625000,5968750000,,,0
window_cpu_info,coarse_direct,,,,,,,0
window_cpu_raw,main_thread_calibration_clock_total,,,,,14031250000,140312500.000000,0
window_counter,uitree_find_id,,,,,208888,2088.880000,0
window_counter,uitree_find_id_probes,,,,,314030,3140.300000,0
window_counter,uitree_find_id_linear,,,,,56,0.560000,0
window_counter,uitree_id_rebuild,,,,,9,0.090000,0
window_counter,uitree_find_child,,,,,20124,201.240000,0
window_counter,uitree_find_child_hit,,,,,10734,107.340000,0
window_counter,uitree_find_child_ceil_miss,,,,,8707,87.070000,0
window_counter,uitree_walk_emit,,,,,205693,2056.930000,0
window_counter,uitree_walk_hit,,,,,40462,404.620000,0
window_counter,uitree_walk_hover,,,,,2364,23.640000,0
window_counter,uitree_emit_skip,,,,,159791,1597.910000,0
window_counter,uitree_layout_resolve,,,,,695,6.950000,0
window_counter,uitree_layout_skip,,,,,531,5.310000,0
window_counter,uitree_layout_nodes,,,,,994022,9940.220000,0
window_counter,uitree_layout_node_skip,,,,,898624,8986.240000,0
window_counter,uitree_layout_depth_recompute,,,,,70,0.700000,0
window_counter,uitree_ensure_layout,,,,,6415,64.150000,0
window_counter,uitree_cc_create,,,,,9162,91.620000,0
