module,function,source,line,exclusive_seconds,exclusive_percent,inclusive_seconds,inclusive_percent
kernel32,RegisterWaitForInputIdle,[unknown],0,0.000000,0.000000,25.942838,99.819690
torirs-profile,public_all,[unknown],0,0.000000,0.000000,25.942838,99.819690
torirs-profile,main,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\main.c,3155,0.001953,0.007515,25.925268,99.752086
torirs-profile,frame_loop_step,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\<artificial>,800,0.000000,0.000000,23.436813,90.177313
torirs-profile,App_PlaySound,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,24235,0.008788,0.033813,21.985598,84.593504
torirs-profile,app_dispatch_clientscript,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,11476,0.008791,0.033825,18.447353,70.979476
torirs-profile,PlatformXIOJs5Cache_Tick,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_x_io_js5_cache.c,107,0.174855,0.672786,10.426798,40.118963
torirs-profile,PlatformXIO_Js5Pump,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_x_io.c,1015,0.040019,0.153980,9.951131,38.288749
torirs-profile,js5_validate_local_group,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5.c,1017,0.108436,0.417227,9.374770,36.071097
torirs-profile,dat2_file_store_get,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\dat2disk.c,767,0.007811,0.030054,8.510732,32.746557
torirs-profile,js5_rscache_read_raw,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5_rscache.c,17,0.012679,0.048785,8.368194,32.198117
torirs-profile,RSCache_Dat2DiskDat2FileReadArchive,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\dat2disk.c,147,0.103502,0.398242,7.145709,27.494388
ntdll,RtlInitializeCriticalSection,[unknown],0,0.192101,0.739143,6.263259,24.099005
