source,line,exclusive_seconds,exclusive_percent
[unknown],0,18.339437,70.564250
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\checksum.c,108,0.317325,1.220964
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,549,0.240280,0.924520
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\checksum.c,109,0.223467,0.859829
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,533,0.203162,0.781702
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,469,0.167022,0.642647
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\checksum.c,105,0.162073,0.623605
R:\winlibs_staging_msvcrt32\gcc-15.2.0\build_mingw\i686-w64-mingw32\libgcc\..\..\..\libgcc\libgcc2.c,1029,0.146537,0.563827
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\checksum.c,106,0.116187,0.447050
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,358,0.111310,0.428285
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,357,0.110413,0.424834
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\rs_cs2_host.c,5156,0.102528,0.394495
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_lighting.c,167,0.092863,0.357307
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\uitree_from_component.c,126,0.092749,0.356868
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_lighting.c,87,0.090704,0.349000
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,6101,0.084983,0.326987
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,409,0.084042,0.323367
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,361,0.080061,0.308049
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,493,0.078156,0.300719
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\dat2disk.c,269,0.068363,0.263039
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\reference_table.c,74,0.063608,0.244743
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,370,0.056645,0.217952
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,431,0.055807,0.214727
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5.c,1310,0.054657,0.210303
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,340,0.053686,0.206566
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness_barycentric_steps.h,18,0.050758,0.195300
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,531,0.046853,0.180275
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_lighting.c,174,0.045890,0.176570
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\plugin\torirs_plugin_bridge.u.c,557,0.044951,0.172957
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,468,0.042990,0.165412
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_model_transform.c,701,0.041018,0.157824
R:\winlibs_staging_msvcrt32\gcc-15.2.0\build_mingw\i686-w64-mingw32\libgcc\..\..\..\libgcc\config\i386\cygwin.S,153,0.039053,0.150263
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\toolchains\mingw32\lib\gcc\i686-w64-mingw32\15.2.0\include\xmmintrin.h,224,0.039052,0.150260
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,537,0.039027,0.150163
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_lighting.c,173,0.039022,0.150144
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\reference_table.c,138,0.038124,0.146689
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,351,0.037119,0.142822
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\datatypes\cs2_script.c,65,0.034197,0.131579
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_lighting.c,177,0.034191,0.131556
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\<artificial>,10101,0.033136,0.127497
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,345,0.031251,0.120244
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,133,0.031251,0.120244
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,11953,0.031202,0.120055
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\hmap\hmap.h,420,0.030285,0.116527
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\archive.c,92,0.030276,0.116492
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5.c,794,0.030271,0.116473
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\checksum.c,111,0.030262,0.116438
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree.c,1527,0.029323,0.112825
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\checksum.c,110,0.028316,0.108951
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\hmap\hmap.h,241,0.028305,0.108909
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,346,0.027403,0.105438
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\reference_table.c,294,0.027364,0.105288
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5.c,1308,0.027364,0.105288
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\rsbuffer.c,761,0.027362,0.105280
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,399,0.027352,0.105242
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,431,0.027351,0.105238
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_lighting.c,147,0.027351,0.105238
R:\winlibs_staging_msvcrt32\gcc-15.2.0\build_mingw\i686-w64-mingw32\libgcc\..\..\..\libgcc\libgcc2.c,1287,0.027347,0.105222
