0.002926 sym373
0.048784 sym373
0.001951 sym370 sym1
0.005849 sym371 sym377
0.029323 sym374 sym377
0.004881 sym374 sym377
0.001952 sym554 sym566
0.002925 sym554 sym566
0.023423 sym554 sym566
0.002927 sym554 sym378 sym178
0.007801 sym506 sym2 sym2 sym543
0.002924 sym560 sym2 sym2 sym543
0.002925 sym97 sym376 sym2 sym2 sym543
0.001951 sym97 sym376 sym2 sym2 sym543
0.001954 sym97 sym376 sym2 sym2 sym543
0.002924 sym97 sym376 sym2 sym2 sym543
0.016099 sym371 sym376 sym2 sym2 sym543
0.002925 sym493 sym376 sym2 sym2 sym543
0.023431 sym506 sym376 sym2 sym2 sym543
0.005858 sym506 sym376 sym2 sym2 sym543
0.001951 sym559 sym376 sym2 sym2 sym543
0.058612 sym560 sym376 sym2 sym2 sym543
0.109275 sym560 sym390 sym533 sym533 sym379
0.004878 sym560 sym548 sym547 sym539 sym584
0.001944 sym46 sym97 sym376 sym2 sym2 sym543
0.003906 sym49 sym97 sym376 sym2 sym2 sym543
0.001946 sym49 sym97 sym376 sym2 sym2 sym543
0.001945 sym49 sym97 sym376 sym2 sym2 sym543
0.002931 sym49 sym97 sym376 sym2 sym2 sym543
0.001965 sym49 sym97 sym376 sym2 sym2 sym543
0.001965 sym49 sym97 sym376 sym2 sym2 sym543
0.005850 sym49 sym97 sym376 sym2 sym2 sym543
0.001931 sym49 sym97 sym376 sym2 sym2 sym543
0.001944 sym49 sym97 sym376 sym2 sym2 sym543
0.001943 sym49 sym97 sym376 sym2 sym2 sym543
0.152390 sym57 sym97 sym376 sym2 sym2 sym543
0.007833 sym57 sym97 sym376 sym2 sym2 sym543
0.001954 sym96 sym97 sym376 sym2 sym2 sym543
0.002930 sym119 sym97 sym376 sym2 sym2 sym543
0.015626 sym121 sym98 sym376 sym2 sym2 sym543
0.001947 sym121 sym119 sym376 sym2 sym2 sym543
0.001958 sym158 sym98 sym376 sym2 sym2 sym543
0.001955 sym260 sym33 sym376 sym2 sym2 sym543
0.001952 sym260 sym33 sym376 sym2 sym2 sym543
0.001955 sym260 sym33 sym376 sym2 sym2 sym543
0.001943 sym370 sym97 sym376 sym2 sym2 sym543
0.001954 sym372 sym33 sym376 sym2 sym2 sym543
0.001948 sym466 sym97 sym376 sym2 sym2 sym543
0.001954 sym469 sym98 sym376 sym2 sym2 sym543
0.001953 sym506 sym33 sym376 sym2 sym2 sym543
0.005857 sym506 sym97 sym376 sym2 sym2 sym543
0.068209 sym506 sym97 sym376 sym2 sym2 sym543
0.003898 sym560 sym97 sym376 sym2 sym2 sym543
0.002927 sym560 sym97 sym376 sym2 sym2 sym543
0.001965 sym560 sym98 sym376 sym2 sym2 sym543
0.018538 sym560 sym527 sym376 sym2 sym2 sym543
0.001943 sym11 sym49 sym97 sym376 sym2 sym2 sym543
0.001943 sym11 sym49 sym97 sym376 sym2 sym2 sym543
0.013608 sym23 sym49 sym97 sym376 sym2 sym2 sym543
0.001945 sym23 sym49 sym97 sym376 sym2 sym2 sym543
0.001945 sym23 sym49 sym97 sym376 sym2 sym2 sym543
0.001949 sym23 sym49 sym97 sym376 sym2 sym2 sym543
0.001940 sym23 sym49 sym97 sym376 sym2 sym2 sym543
0.001952 sym23 sym49 sym97 sym376 sym2 sym2 sym543
0.002919 sym25 sym49 sym97 sym376 sym2 sym2 sym543
0.001963 sym33 sym49 sym97 sym376 sym2 sym2 sym543
0.005876 sym33 sym49 sym97 sym376 sym2 sym2 sym543
0.002941 sym33 sym49 sym97 sym376 sym2 sym2 sym543
0.001962 sym33 sym49 sym97 sym376 sym2 sym2 sym543
0.001951 sym36 sym49 sym97 sym376 sym2 sym2 sym543
0.001951 sym36 sym49 sym97 sym376 sym2 sym2 sym543
0.002926 sym36 sym49 sym97 sym376 sym2 sym2 sym543
0.001948 sym36 sym49 sym97 sym376 sym2 sym2 sym543
0.012676 sym36 sym49 sym97 sym376 sym2 sym2 sym543
0.003900 sym36 sym49 sym97 sym376 sym2 sym2 sym543
0.002930 sym36 sym49 sym97 sym376 sym2 sym2 sym543
0.001950 sym47 sym49 sym97 sym376 sym2 sym2 sym543
0.001964 sym47 sym49 sym97 sym376 sym2 sym2 sym543
0.001952 sym47 sym49 sym97 sym376 sym2 sym2 sym543
0.002941 sym47 sym49 sym97 sym376 sym2 sym2 sym543
0.001964 sym47 sym49 sym97 sym376 sym2 sym2 sym543
0.034230 sym47 sym49 sym97 sym376 sym2 sym2 sym543
0.001963 sym47 sym49 sym97 sym376 sym2 sym2 sym543
0.001955 sym47 sym49 sym97 sym376 sym2 sym2 sym543
0.041139 sym47 sym49 sym97 sym376 sym2 sym2 sym543
0.001962 sym47 sym49 sym97 sym376 sym2 sym2 sym543
0.001964 sym47 sym49 sym97 sym376 sym2 sym2 sym543
0.001965 sym47 sym49 sym97 sym376 sym2 sym2 sym543
0.001961 sym47 sym49 sym97 sym376 sym2 sym2 sym543
0.001963 sym47 sym49 sym97 sym376 sym2 sym2 sym543
0.001951 sym47 sym49 sym97 sym376 sym2 sym2 sym543
0.001950 sym52 sym96 sym97 sym376 sym2 sym2 sym543
0.001948 sym52 sym96 sym97 sym376 sym2 sym2 sym543
0.001955 sym80 sym73 sym33 sym376 sym2 sym2 sym543
0.001951 sym80 sym73 sym33 sym376 sym2 sym2 sym543
0.001953 sym91 sym121 sym98 sym376 sym2 sym2 sym543
0.003920 sym91 sym121 sym98 sym376 sym2 sym2 sym543
0.001952 sym116 sym96 sym97 sym376 sym2 sym2 sym543
