module,function,source,line,exclusive_seconds,exclusive_percent,inclusive_seconds,inclusive_percent
kernel32,RegisterWaitForInputIdle,[unknown],0,0.000000,0.000000,59.492741,99.427419
torirs-profile,public_all,[unknown],0,0.000000,0.000000,59.492741,99.427419
torirs-profile,main,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\main.c,3155,0.000000,0.000000,59.461495,99.375199
torirs-profile,frame_loop_step,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\<artificial>,800,0.009754,0.016301,57.619054,96.296014
torirs-profile,App_PlaySound,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,24235,0.026326,0.043997,31.981134,53.448564
torirs-profile,luaZ_fill,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\lua\lzio.c,24,0.001954,0.003266,23.168572,38.720544
torirs-profile,app_dispatch_clientscript,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,11476,0.057586,0.096241,22.472059,37.556495
torirs-profile,App_Render,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,28104,0.019468,0.032536,21.783396,36.405565
torirs-profile,ToriRS_Soft3D_RenderFrame,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_sdl2_renderer_soft3d.c,1436,0.432188,0.722295,20.415959,34.120232
torirs-profile,ToriRS_Soft3D_Execute,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_sdl2_renderer_soft3d.c,1058,0.580402,0.969999,19.254752,32.179561
torirs-profile,project_vertices_array_ortho_fused_clip,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\projection_ortho.u.c,317,7.151064,11.951237,15.972516,26.694114
ntdll,KiFastSystemCallRet,[unknown],0,11.189389,18.700299,11.189389,18.700299
torirs-profile,PlatformXIOJs5Cache_Tick,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_x_io_js5_cache.c,107,0.398332,0.665714,10.223888,17.086703
torirs-profile,PlatformXIO_Js5Pump,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_x_io.c,1015,0.029266,0.048911,9.772690,16.332637
torirs-profile,js5_validate_local_group,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5.c,1017,0.027323,0.045664,8.906672,14.885302
torirs-profile,dat2_file_store_get,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\dat2disk.c,767,0.013664,0.022836,8.265258,13.813337
torirs-profile,js5_rscache_read_raw,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5_rscache.c,17,0.010734,0.017939,8.006523,13.380925
torirs-profile,RSCache_Dat2DiskDat2FileReadArchive,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\dat2disk.c,147,0.224569,0.375312,7.172549,11.987144
ntdll,RtlInitializeCriticalSection,[unknown],0,0.221638,0.370413,6.497275,10.858590
ntdll,RtlReAllocateHeap,[unknown],0,6.208231,10.375524,6.343014,10.600781
torirs-profile,Task_CS2Run_Run,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\task_cs2_run.c,962,0.059544,0.099513,5.963497,9.966512
torirs-profile,raster_gouraudhsllightness_screen_opaque_bary_branching_s4_ordered,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,158,5.730898,9.577780,5.730898,9.577780
msvcrt,fread,[unknown],0,0.037093,0.061992,4.836346,8.082758
msvcrt,fputws,[unknown],0,0.319218,0.533494,4.709472,7.870719
msvcrt,free,[unknown],0,0.148342,0.247917,4.631076,7.739699
torirs-profile,__udivmoddi4,R:\winlibs_staging_msvcrt32\gcc-15.2.0\build_mingw\i686-w64-mingw32\libgcc\..\..\..\libgcc\libgcc2.c,996,0.248777,0.415769,4.542507,7.591678
torirs-profile,Task_GameProtoExec_Run,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\task_gameproto_exec.c,146,0.004887,0.008167,4.541265,7.589603
msvcrt,filbuf,[unknown],0,0.065444,0.109373,4.408809,7.368235
msvcrt,read,[unknown],0,0.061523,0.102820,4.266205,7.129908
msvcrt,malloc,[unknown],0,0.027333,0.045680,4.188776,7.000504
msvcrt,putch,[unknown],0,0.066378,0.110934,4.072825,6.806721
msvcrt,calloc,[unknown],0,0.076203,0.127354,4.064900,6.793476
torirs-profile,UITree_EmitWalk,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_emit.c,2788,0.008782,0.014677,3.541915,5.919436
torirs-profile,PlatformSDL2_SetWindowSize,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_win32gdi.c,809,0.033178,0.055449,3.296832,5.509840
torirs-profile,cs2vm2_run_script_body_timed,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,12033,0.033205,0.055494,3.258679,5.446077
torirs-profile,Task_OpenSubRefresh_Run,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\<artificial>,11246,0.003913,0.006540,3.189905,5.331138
torirs-profile,Task_InterfaceOpen_Run,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\uitree_builder\task_interface_open.c,518,0.000000,0.000000,3.171334,5.300101
torirs-profile,emit_walk_node,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_emit.c,2012,0.808561,1.351310,3.120588,5.215292
torirs-profile,load_cache_item_dat2,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_x_io.c,557,0.005852,0.009780,2.990352,4.997635
torirs-profile,RSCache_ArchiveDecryptDecompress,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\archive.c,157,0.028334,0.047353,2.963839,4.953325
torirs-profile,RSCache_CompressionBzipDecompress,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\compression.c,164,0.690575,1.154126,2.585994,4.321850
