module,function,source,line,exclusive_seconds,exclusive_percent,inclusive_seconds,inclusive_percent
torirs-profile,public_all,[unknown],0,0.015603,0.026056,59.557055,99.457149
kernel32,RegisterWaitForInputIdle,[unknown],0,0.000000,0.000000,59.557055,99.457149
torirs-profile,main,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\main.c,3155,0.031251,0.052188,59.497490,99.357678
torirs-profile,frame_loop_step,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\<artificial>,800,0.014644,0.024455,57.110263,95.371135
torirs-profile,App_PlaySound,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,24235,0.109362,0.182629,32.743019,54.679119
torirs-profile,luaZ_fill,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\lua\lzio.c,24,0.002931,0.004895,22.820264,38.108640
torirs-profile,app_dispatch_clientscript,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,11476,0.079988,0.133576,21.900355,36.572441
torirs-profile,App_Render,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,28104,0.019515,0.032589,21.769360,36.353686
torirs-profile,ToriRS_Soft3D_RenderFrame,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_sdl2_renderer_soft3d.c,1425,0.376188,0.628214,20.530391,34.284673
torirs-profile,ToriRS_Soft3D_Execute,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_sdl2_renderer_soft3d.c,1047,0.568561,0.949467,19.461105,32.499021
torirs-profile,project_vertices_array_ortho_fused_clip,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\projection_ortho.u.c,317,5.622498,9.389276,12.675528,21.167465
torirs-profile,PlatformXIOJs5Cache_Tick,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_x_io_js5_cache.c,107,0.331756,0.554015,10.303847,17.206882
torirs-profile,PlatformXIO_Js5Pump,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_x_io.c,1015,0.053672,0.089629,9.868263,16.479480
ntdll,KiFastSystemCallRet,[unknown],0,9.716032,16.225262,9.716032,16.225262
torirs-profile,js5_validate_local_group,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5.c,1017,0.027351,0.045675,8.996494,15.023672
torirs-profile,dat2_file_store_get,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\dat2disk.c,767,0.017575,0.029349,8.282822,13.831877
torirs-profile,js5_rscache_read_raw,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5_rscache.c,17,0.016610,0.027738,8.052364,13.447024
torirs-profile,RSCache_Dat2DiskDat2FileReadArchive,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\dat2disk.c,147,0.170912,0.285414,7.165767,11.966454
ntdll,RtlInitializeCriticalSection,[unknown],0,0.279219,0.466281,7.053276,11.778600
ntdll,RtlReAllocateHeap,[unknown],0,6.764371,11.296144,6.851296,11.441304
torirs-profile,Task_CS2Run_Run,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\task_cs2_run.c,962,0.067296,0.112381,5.252520,8.771432
msvcrt,free,[unknown],0,0.165942,0.277114,4.921249,8.218227
torirs-profile,__udivmoddi4,R:\winlibs_staging_msvcrt32\gcc-15.2.0\build_mingw\i686-w64-mingw32\libgcc\..\..\..\libgcc\libgcc2.c,996,0.336835,0.562497,4.882845,8.154094
torirs-profile,Task_GameProtoExec_Run,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\task_gameproto_exec.c,146,0.000000,0.000000,4.649745,7.764830
msvcrt,fread,[unknown],0,0.008787,0.014674,4.615552,7.707729
msvcrt,malloc,[unknown],0,0.039048,0.065208,4.517722,7.544358
msvcrt,fputws,[unknown],0,0.472521,0.789085,4.511042,7.533203
torirs-profile,raster_gouraudhsllightness_screen_opaque_bary_branching_s4_ordered,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,158,4.322511,7.218366,4.322511,7.218366
msvcrt,filbuf,[unknown],0,0.056686,0.094663,4.035591,6.739225
msvcrt,calloc,[unknown],0,0.042940,0.071708,3.977631,6.642435
