source,line,exclusive_seconds,exclusive_percent
[unknown],0,28.849750,48.177565
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\plugin\torirs_plugin_bridge.u.c,557,1.684957,2.813790
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness_barycentric_steps.h,18,0.868137,1.449743
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1063,0.732109,1.222584
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,493,0.550093,0.918626
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\world_cycle.c,1549,0.505064,0.843430
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_2d.c,404,0.335924,0.560975
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\int_wrap.h,49,0.335825,0.560810
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\checksum.c,108,0.330985,0.552728
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\triangles\toridraw_triangle_gouraud.u.c,37,0.316062,0.527807
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,116,0.305204,0.509675
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,549,0.249977,0.417448
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_sdl2_renderer_soft3d.c,1444,0.233251,0.389517
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_emit.c,2038,0.217339,0.362945
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\checksum.c,105,0.216791,0.362030
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,120,0.201208,0.336007
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1060,0.197697,0.330144
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\checksum.c,109,0.196227,0.327689
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\render\torirs_frame.c,1985,0.195296,0.326134
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1072,0.183545,0.306510
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,228,0.175777,0.293538
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\world.c,1353,0.172003,0.287236
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,24510,0.170887,0.285372
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1108,0.168614,0.281577
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\triangles\toridraw_triangle_clip.u.c,68,0.163940,0.273771
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,533,0.158210,0.264202
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\toolchains\mingw32\lib\gcc\i686-w64-mingw32\15.2.0\include\emmintrin.h,608,0.158189,0.264167
R:\winlibs_staging_msvcrt32\gcc-15.2.0\build_mingw\i686-w64-mingw32\libgcc\..\..\..\libgcc\libgcc2.c,1029,0.153324,0.256043
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,220,0.151276,0.252623
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\dat2disk.c,269,0.146505,0.244656
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,2567,0.144523,0.241346
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\texture\span\tex.span_uv.h,165,0.143337,0.239365
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1140,0.140663,0.234900
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_sdl2_renderer_soft3d.c,1446,0.139035,0.232181
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,357,0.136733,0.228337
R:\winlibs_staging_msvcrt32\gcc-15.2.0\build_mingw\i686-w64-mingw32\libgcc\..\..\..\libgcc\libgcc2.c,1016,0.135728,0.226659
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,431,0.134948,0.225356
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,130,0.134737,0.225004
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1646,0.134731,0.224994
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,236,0.130868,0.218543
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_2d.c,405,0.130053,0.217182
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1639,0.128953,0.215345
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\reference_table.c,74,0.125243,0.209149
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1059,0.121044,0.202137
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_emit.c,223,0.118191,0.197373
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_lighting.c,87,0.118161,0.197323
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5.c,1308,0.116142,0.193951
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\toolchains\mingw32\lib\gcc\i686-w64-mingw32\15.2.0\include\emmintrin.h,1181,0.109297,0.182520
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\projection.h,33,0.109256,0.182452
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_2d.c,73,0.105601,0.176348
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_2d.c,645,0.103645,0.173082
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,477,0.103501,0.172841
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,446,0.101579,0.169632
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\toolchains\mingw32\lib\gcc\i686-w64-mingw32\15.2.0\include\emmintrin.h,596,0.101577,0.169628
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,358,0.101547,0.169578
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\texture\span\tex.span.sse2.u.c,668,0.101537,0.169561
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1649,0.095700,0.159814
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\triangles\toridraw_triangle_clip.u.c,35,0.093710,0.156491
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_sprite.c,511,0.092168,0.153916
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,111,0.091791,0.153286
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,322,0.091765,0.153243
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\plugin\torirs_plugin_bridge.u.c,553,0.090734,0.151521
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_sprite.c,482,0.088134,0.147179
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_2d.c,76,0.086171,0.143901
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,355,0.085941,0.143517
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,136,0.084001,0.140277
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\triangles\toridraw_triangle_gouraud.u.c,1127,0.082064,0.137043
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,139,0.082011,0.136954
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,469,0.081074,0.135389
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,6101,0.079153,0.132181
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\plugin\torirs_plugin_bridge.u.c,567,0.078170,0.130540
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\world.c,626,0.078166,0.130533
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1049,0.076195,0.127242
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\triangles\toridraw_triangle_gouraud.u.c,824,0.076126,0.127126
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\entity_pool.h,88,0.075228,0.125627
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,77,0.075203,0.125585
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\painters\painters_bucket.u.c,895,0.075167,0.125525
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_2d.c,647,0.074340,0.124144
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\texture\span\tex.span_uv.h,76,0.074154,0.123833
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\texture\span\tex.span_uv.h,79,0.074117,0.123771
