module,function,source,line,exclusive_seconds,exclusive_percent,inclusive_seconds,inclusive_percent
torirs-profile,public_all,[unknown],0,0.062495,0.104246,59.400036,99.083007
kernel32,RegisterWaitForInputIdle,[unknown],0,0.000000,0.000000,59.400036,99.083007
torirs-profile,main,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\main.c,3146,0.001954,0.003259,59.287759,98.895722
torirs-profile,frame_loop_step,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\<artificial>,800,0.006825,0.011385,56.962018,95.016240
torirs-profile,App_PlaySound,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,23899,0.056634,0.094469,39.211489,65.407237
torirs-profile,app_dispatch_clientscript,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,11470,0.155307,0.259062,31.354459,52.301216
ntdll,KiFastSystemCallRet,[unknown],0,19.749111,32.942763,19.749111,32.942763
torirs-profile,luaZ_fill,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\lua\lzio.c,24,0.004875,0.008132,16.874945,28.148473
torirs-profile,__udivmoddi4,R:\winlibs_staging_msvcrt32\gcc-15.2.0\build_mingw\i686-w64-mingw32\libgcc\..\..\..\libgcc\libgcc2.c,996,0.412841,0.688645,16.497818,27.519401
torirs-profile,App_Render,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,27768,0.003906,0.006515,16.226954,27.067583
torirs-profile,ToriRS_Soft3D_RenderFrame,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_sdl2_renderer_soft3d.c,1425,0.339285,0.565949,15.684953,26.163491
torirs-profile,soft3d_execute_measured,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_sdl2_renderer_soft3d.c,1390,0.050777,0.084699,14.894645,24.845207
torirs-profile,Task_CS2Run_Run,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\task_cs2_run.c,962,0.037108,0.061898,11.674465,19.473744
torirs-profile,PlatformXIOJs5Cache_Tick,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_x_io_js5_cache.c,107,0.349583,0.583126,11.291632,18.835155
torirs-profile,PlatformXIO_Js5Pump,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_x_io.c,1015,0.006833,0.011398,10.810180,18.032062
torirs-profile,js5_validate_local_group,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5.c,1017,0.030237,0.050437,10.029947,16.730584
torirs-profile,ToriRS_Soft3D_Execute,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_sdl2_renderer_soft3d.c,1047,0.209013,0.348647,9.718322,16.210774
torirs-profile,dat2_file_store_get,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\dat2disk.c,767,0.006835,0.011401,9.452163,15.766804
torirs-profile,cs2vm2_run_script_body_timed,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,12033,0.008782,0.014649,9.227095,15.391377
torirs-profile,js5_rscache_read_raw,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5_rscache.c,17,0.008783,0.014651,9.187503,15.325335
torirs-profile,RSCache_Dat2DiskDat2FileReadArchive,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\dat2disk.c,147,0.208008,0.346970,8.405481,14.020873
torirs-profile,cs2vm2_run_script_body,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,11889,0.137557,0.229454,8.113937,13.534559
torirs-profile,CS2VM2_RunOp,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\<artificial>,10101,0.320139,0.534012,7.860262,13.111413
torirs-profile,RS_CS2Host_Exec,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\rs_cs2_host.c,7427,0.038089,0.063535,7.252027,12.096839
ntdll,RtlInitializeCriticalSection,[unknown],0,0.241075,0.402128,7.105217,11.851950
ntdll,RtlReAllocateHeap,[unknown],0,6.854432,11.433625,6.996957,11.671366
torirs-profile,project_vertices_array_ortho_fused_clip,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\projection_ortho.u.c,317,2.846281,4.747776,6.325005,10.550507
torirs-profile,Task_OpenSubRefresh_Run,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\<artificial>,11240,0.006879,0.011475,4.809980,8.023350
msvcrt,calloc,[unknown],0,0.035173,0.058671,4.763024,7.945025
torirs-profile,Task_InterfaceOpen_Run,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\uitree_builder\task_interface_open.c,518,0.000000,0.000000,4.743531,7.912509
torirs-profile,Task_GameProtoExec_Run,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\task_gameproto_exec.c,146,0.000000,0.000000,4.635895,7.732965
msvcrt,fread,[unknown],0,0.009763,0.016285,4.414587,7.363810
msvcrt,fputws,[unknown],0,0.396473,0.661342,4.299400,7.171670
msvcrt,free,[unknown],0,0.170855,0.284997,4.281338,7.141542
msvcrt,filbuf,[unknown],0,0.010732,0.017902,3.897067,6.500554
msvcrt,read,[unknown],0,0.013675,0.022811,3.817936,6.368558
msvcrt,malloc,[unknown],0,0.038094,0.063543,3.779403,6.304283
msvcrt,putch,[unknown],0,0.057598,0.096077,3.674390,6.129114
torirs-profile,UITree_LayoutSetRootSize,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,16,3.153325,5.259945,3.188493,5.318607
torirs-profile,PlatformSDL2_SetWindowSize,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_win32gdi.c,809,0.008780,0.014646,3.173942,5.294335
torirs-profile,RSCache_ArchiveDecryptDecompress,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\archive.c,157,0.025413,0.042390,3.063398,5.109941
torirs-profile,load_cache_item_dat2,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_x_io.c,557,0.001947,0.003248,2.978657,4.968588
torirs-profile,RSCache_CompressionBzipDecompress,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\compression.c,164,0.721823,1.204046,2.611290,4.355796
torirs-profile,Task_WorldLoad_Run,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\world_builder\task_world_load.c,203,0.001953,0.003258,2.400348,4.003932
